state_name,name,fips_category,fips_county_code,fips_stateandcounty_code,fips_county_sub_code,fips_place_code,fips_cons_city_code,authority_name,not_valid,requires_geoverify
Ohio,Crawford County,county,33,39033,0,0,0,Crawford County Board of Elections,N,N
Ohio,Ashland County,county,5,39005,0,0,0,Ashland County Board of Elections,N,N
Ohio,Ashtabula County,county,7,39007,0,0,0,Ashtabula County Board of Elections,N,N
Ohio,Athens County,county,9,39009,0,0,0,Athens County Board of Elections,N,N
Ohio,Belmont County,county,13,39013,0,0,0,Belmont County Board of Elections,N,N
Ohio,Brown County,county,15,39015,0,0,0,Brown County Board of Elections,N,N
Ohio,Clermont County,county,25,39025,0,0,0,Clermont County Board of Elections,N,N
Ohio,Geauga County,county,55,39055,0,0,0,Geauga County Board of Elections,N,N
Alabama,Lauderdale County,county,77,1077,0,0,0,NULL,N,N
Alabama,Lawrence County,county,79,1079,0,0,0,NULL,N,N
Alabama,Lee County,county,81,1081,0,0,0,NULL,N,N
Alabama,Limestone County,county,83,1083,0,0,0,NULL,N,N
Alabama,Lowndes County,county,85,1085,0,0,0,NULL,N,N
Alabama,Macon County,county,87,1087,0,0,0,NULL,N,N
Alabama,Madison County,county,89,1089,0,0,0,NULL,N,N
Alabama,Shelby County,county,117,1117,0,0,0,NULL,N,N
Alabama,Sumter County,county,119,1119,0,0,0,NULL,N,N
Alabama,Talladega County,county,121,1121,0,0,0,NULL,N,N
Ohio,Lucas County,county,95,39095,0,0,0,Lucas County Board of Elections,N,N
Ohio,Knox County,county,83,39083,0,0,0,Knox County Board of Elections,N,N
Ohio,Lake County,county,85,39085,0,0,0,Lake County Board of Elections,N,N
Ohio,Lawrence County,county,87,39087,0,0,0,Lawrence County Board of Elections,N,N
Alaska,Dillingham Census Area,county,70,2070,0,0,0,NULL,N,N
Alaska,Fairbanks North Star Borough,county,90,2090,0,0,0,NULL,N,N
Ohio,Wood County,county,173,39173,0,0,0,Wood County Board of Elections,N,N
Ohio,Montgomery County,county,113,39113,0,0,0,Montgomery County Board of Elections,N,N
Ohio,Richland County,county,139,39139,0,0,0,Richland County Board of Elections,N,N
Ohio,Vinton County,county,163,39163,0,0,0,Vinton County Board of Elections,N,N
Ohio,Wayne County,county,169,39169,0,0,0,Wayne County Board of Elections,N,N
Ohio,Wyandot County,county,175,39175,0,0,0,Wyandot County Board of Elections,N,N
Ohio,Allen County,county,3,39003,0,0,0,Allen County Board of Elections,N,N
Ohio,Auglaize County,county,11,39011,0,0,0,Auglaize County Board of Elections,N,N
Ohio,Butler County,county,17,39017,0,0,0,Butler County Board of Elections,N,N
Ohio,Cuyahoga County,county,35,39035,0,0,0,Cuyahoga County Board of Elections,N,N
Ohio,Darke County,county,37,39037,0,0,0,Darke County Board of Elections,N,N
Ohio,Champaign County,county,21,39021,0,0,0,Champaign County Board of Elections,N,N
Ohio,Clark County,county,23,39023,0,0,0,Clark County Board of Elections,N,N
Ohio,Clinton County,county,27,39027,0,0,0,Clinton County Board of Elections,N,N
Ohio,Columbiana County,county,29,39029,0,0,0,Columbiana County Board of Elections,N,N
Ohio,Coshocton County,county,31,39031,0,0,0,Coshocton County Board of Elections,N,N
Ohio,Defiance County,county,39,39039,0,0,0,Defiance County Board of Elections,N,N
Ohio,Fayette County,county,47,39047,0,0,0,Fayette County Board of Elections,N,N
