begindate,enddate,opentime,closetime,note
2020/10/06,2020/10/09,08:00:00,17:00:00,Ohio SOS Prescribed Early Voting Hours
2020/10/12,2020/10/16,08:00:00,17:00:00,Ohio SOS Prescribed Early Voting Hours
2020/10/19,2020/10/23,08:00:00,18:00:00,Ohio SOS Prescribed Early Voting Hours
2020/10/26,2020/10/30,08:00:00,19:00:00,Ohio SOS Prescribed Early Voting Hours
2020/10/24,2020/10/24,08:00:00,16:00:00,Ohio SOS Prescribed Early Voting Hours
2020/10/31,2020/10/31,08:00:00,16:00:00,Ohio SOS Prescribed Early Voting Hours
2020/10/25,2020/10/25,13:00:00,17:00:00,Ohio SOS Prescribed Early Voting Hours
2020/11/01,2020/11/01,13:00:00,17:00:00,Ohio SOS Prescribed Early Voting Hours
2020/11/02,2020/11/02,08:00:00,14:00:00,Ohio SOS Prescribed Early Voting Hours
2020/11/03,2020/11/03,06:30:00,19:30:00,NULL
