address_1,state ,county ,location_name,location_type,address_2,city,mail_state,zip,phone
165 W 5th Street,Alabama,Autauga,Absentee Election Manager,election official office,,Prattville,AL,36067,334-358-6718
312 Courthouse Square,Alabama,Baldwin,Absentee Election Manager,election official office,Suite 10,Bay Minette,AL,36507,251-937-0379
303 East Broad Street ,Alabama,Barbour,Absentee Election Manager,election official office,Room 201,Eufaula,AL,36027,334-689-2713
35 Court Square East,Alabama,Bibb,Absentee Election Manager,election official office,,Centreville,AL,35042,205-926-3103
220 2nd Ave East,Alabama,Blount,Absentee Election Manager,election official office,,Oneonta,AL,35121,205-625-4121
217 North Prairie Street,Alabama,Bullock,Absentee Election Manager,election official office,,Union Springs,AL,36089,334-738-2280
700 Court Square,Alabama,Butler,Absentee Election Manager,election official office,,Greenville,AL,36037,334-382-3521
1702 Noble St.,Alabama,Calhoun,Absentee Election Manager,election official office,Suite 111,Anniston,AL,36201,256-241-2822
2 Lafayette Street,Alabama,Chambers,Absentee Election Manager,election official office, Ste B-114,Lafayette,AL,36862,334-864-4348
100 Main Street,Alabama,Cherokee,Absentee Election Manager,election official office,Room 203,Centre,AL,35960,256-927-3637
500 2nd Avenue North,Alabama,Chilton,Absentee Election Manager,election official office,,Clanton,AL,35045,205-755-4275
117 South Mulberry Avenue ,Alabama,Choctaw,Absentee Election Manager,election official office,Ste 17,Butler,AL,36904,205-459-6968
114 Court Street,Alabama,Clarke,Absentee Election Manager,election official office,,Grove Hill,AL,36451,251-275-3363
25 Court Square,Alabama,Clay,Absentee Election Manager,election official office,,Ashland,AL,36251,256-354-7926
120 Vickery Street,Alabama,Cleburne,Absentee Election Manager,election official office,Suite 202,Heflin,AL,36264,256-463-2651
No 2 County Complex,Alabama,Coffee,Absentee Election Manager,election official office,,New Brockton,AL,36351,334-894-1100
201 N. Main Street,Alabama,Colbert,Absentee Election Manager,election official office,,Tuscumbia,AL,35674,256-386-8511
111 Court Street ,Alabama,Conecuh,Absentee Election Manager,election official office,Room 203,Evergreen,AL,36401,251-578-7012
9709 US Hwy 231,Alabama,Coosa,Absentee Election Manager,election official office,,Rockford,AL,35136,256-377-4919
1-K N Court Sq,Alabama,Covington,Absentee Election Manager,election official office,,Andalusia,AL,36420,334-428-2520
29 South Glenwood Avenue,Alabama,Crenshaw,Absentee Election Manager,election official office,,Luverne,AL,36049,334-335-6568
500 Second Ave SW,Alabama,Cullman,Absentee Election Manager,election official office,Room 303,Cullman,AL,35055,256-775-4654
100 E Court Square,Alabama,Dale,Absentee Election Manager,election official office,,Ozark,AL,36360,334-774-5003
105 Lauderdale Street,Alabama,Dallas,Absentee Election Manager,election official office,,Selma,AL,36701,334-874-2524
300 Grand Avenue S ,Alabama,DeKalb,Absentee Election Manager,election official office,Ste 200,Fort Payne,AL,35967,256-845-8525
8935 US Hwy 231,Alabama,Elmore,Absentee Election Manager,election official office,,Wetumpka,AL,36092,334-514-3116
314 Belleville Avenue,Alabama,Escambia,Absentee Election Manager,election official office,,Brewton,AL,36426,251-867-0225 x225
801 Forrest Avenue,Alabama,Etowah,Absentee Election Manager,election official office,Suite 202,Gadsen,AL,35901,256-549-2181
113 Temple Ave,Alabama,Fayette,Absentee Election Manager,election official office,,Fayette,AL,35555,205-932-4617
410 N Jackson Avenue,Alabama,Franklin,Absentee Election Manager,election official office,,Russellville,AL,35653,256-332-8861
200 North Commerce,Alabama,Geneva,Absentee Election Manager,election official office,,Geneva,AL,36340,334-684-5620
400 Morrow Avenue,Alabama,Greene,Absentee Election Manager,election official office,,Eutaw,AL,35462,205-372-6917
1001 Main St ,Alabama,Hale,Absentee Election Manager,election official office,# 13,Greensboro,AL,36744,334-624-4334
101 Court Square,Alabama,Henry,Absentee Election Manager,election official office,Suite J,Abbeville,AL,36310,334-585-2753
114 North Oates Street,Alabama,Houston,Absentee Election Manager,election official office,,Dothan,AL,36303,334-671-8700
102 E Laurel St.,Alabama,Jackson,Absentee Election Manager,election official office,,Scottsboro,AL,35768,256-574-9380
1851 2nd Ave. N.,Alabama,Jefferson,Absentee Election Manager (Bessemer),election official office,,Bessemer,AL,35020,205-497-8510
