address_1,state,county,location_name,location_type,address_2,city,state_2,zip,phone,email,fax
9109 Mendenhall Mall Road,Alaska,Region I,Region I Elections Office,Elections Office,Suite 3,Juneau,AK,99801-7136,(907) 465-3021,electionsr1@alaska.gov,(907) 465-2289
2525 Gambell Street,Alaska,Region II,Region II Elections Office Anchorage Office,Elections Office,Suite 100,Anchorage,AK,99503-2838,(907) 522-8683,electionsr2a@alaska.gov,(907) 522-2341
632 West 6th Avenue,Alaska,Region II,City Hall ,Elections Office,,Anchorage,AK,99501,,,
3651 O’Malley Road,Alaska,Region II,O’Malley’s on the Green,Community Venue ,,Anchorage,AK,99507,,,
7440 Creekside Center Drive,Alaska,Region II,Begich Middle School,School,,Anchorage,AK,99504,,,
1700 E. Bogard Road,Alaska,Region II,Region II Elections Office Matanuska-Susitna Office,Elections Office,Suite B 102,Wasilla,AK,99654-6565,(907) 373-8952,electionsr2m@alaska.gov,(907) 373-8953
675 7th Avenue,Alaska,Region III,Region III Elections Office,Elections Office,Suite H3,Fairbanks,AK,99701-4542,(907) 451-2835,electionsr3@alaska.gov,(907) 451-2832
214 Front St,Alaska,Region IV,Region IV Elections Office,Elections Office,Suite 130,Nome,AK,99762,(907) 443-5285,electionsr4@alaska.gov,(907) 443-2973
144 N Binkley St.,Alaska,Region I ,Kenai Peninsula Borough,Community Venue ,,Soldotna, AK ,99669,,,
350 E. Dahlia Avenue,Alaska,Region II ,Mat-Su Borough,Community Venue ,,Palmer, AK ,99645,,,
12001 Business Blvd,Alaska,Region II ,Eagle River Alaska Club,Unknown,,Eagle River , AK ,99577,,,
