state,county,location_type,address_1,address_2,city,state_2,zip,phone,email,fax,hours
Arkansas,Arkansas County Clerk,Unknown,101 Court Square,,Dewitt,AR,72042,870-946-4349,arkansasclerk@arkansasclerks.com,870-946-4399,Monday-Friday:8:30am-5pm
Arkansas,Ashley County Clerk,Unknown,205 East Jefferson,,Hamburg,AR,71646,870-853-2020,ashleyclerk@arkansasclerks.com,870-853-2082,Monday-Friday:8:30am-5pm
Arkansas,Baxter County Clerk,Unknown,#1 East 7th Street,Suite 103,Mountain Home,AR,72653,870-425-3475,baxterclerk@arkansasclerks.com,870-424-5105,Monday-Friday:8:30am-5pm
Arkansas,Benton County Clerk,Unknown,215 East Central,Suite 217,Bentonville,AR,72712,479-271-1013,bentonclerk@arkansasclerks.com,479-271-1019,Monday-Friday:8:30am-5pm
Arkansas,Boone County Clerk,Unknown,414 W. Central,Suite B,Harrison,AR,72601,870-741-8428,booneclerk@arkansasclerks.com,870-741-9724,Monday-Friday:8:30am-5pm
Arkansas,Bradley County Clerk,Unknown,101 East Cedar Street,,Warren,AR,71671,870-226-3464,bradleyclerk@arkansasclerks.com,870-226-8404,Monday-Friday:8:30am-5pm
Arkansas,Calhoun County Clerk,Unknown,309 West Main,,Hampton,AR,71744,870-798-2517,calhounclerk@arkansasclerks.com,870-798-2428,Monday-Friday:8:30am-5pm
Arkansas,Carroll County Clerk,Unknown,210 West Church Street,,Berryville,AR,72616,870-423-2022,carrollclerk@arkansasclerks.com,870-423-7400,Monday-Friday:8:30am-5pm
Arkansas,Chicot County Clerk,Unknown,108 Main Street,,Lake Village,AR,71653,870-265-8000,chicotclerk@arkansasclerks.com,870-265-8006,Monday-Friday:8:30am-5pm
Arkansas,Clark County Clerk,Unknown,401 Clay Street,,Arkadelphia,AR,71923,870-246-4491,clarkclerk@arkansasclerks.com,870-246-6505,Monday-Friday:8:30am-5pm
Arkansas,Clay County Clerk,Unknown,151 South Second Avenue,,Piggott,AR,72454,870-598-2813,clayclerk@arkansasclerks.com,870-598-2813,Monday-Friday:8:30am-5pm
Arkansas,Cleburne County Clerk,Unknown,301 West Main,,Heber Springs,AR,72543,501-362-4620,cleburneclerk@arkansasclerks.com,501-362-4622,Monday-Friday:8:30am-5pm
Arkansas,Cleveland County Clerk,Unknown,20 Magnolia St,,Rison,AR,71665,870-325-6521,clevelandclerk@arkansasclerks.com,870-325-6144,Monday-Friday:8:30am-5pm
Arkansas,Columbia County Clerk,Unknown,One Court Square,Suite 1,Magnolia,AR,71753,870-235-3774,columbiaclerk@arkansasclerks.com,870-235-3773,Monday-Friday:8:30am-5pm
Arkansas,Conway County Clerk,Unknown,117 South Moose Street,Suite 202,Morrilton,AR,72110,501-354-9621,conwayclerk@arkansasclerks.com,501-354-9610,Monday-Friday:8:30am-5pm
Arkansas,Craighead County Clerk,Unknown,511 South Main,Room 202,Jonesboro,AR,72401,870-933-4520,craigheadclerk@arkansasclerks.com,870-933-4514,Monday-Friday:8:30am-5pm
Arkansas,Crawford County Clerk,Unknown,300 Main Street,Room 7,Van Buren,AR,72956,479-474-1312,crawfordclerk @arkansasclerks.com,479-471-3236,Monday-Friday:8:30am-5pm
Arkansas,Crittenden County Clerk,Unknown,100 Court Square,,Marion,AR,72364,870-739-4434,crittendenclerk@arkansasclerks.com,870-739-3072,Monday-Friday:8:30am-5pm
Arkansas,Cross County Clerk,Unknown,705 East Union Ave,Room 8,Wynne,AR,72396,870-238-5735,crossclerk@arkansasclerks.com,870-238-5739,Monday-Friday:8:30am-5pm
Arkansas,Dallas County Clerk,Unknown,206 West 3rd,,Fordyce,AR,71742,870-352-2307,dallasclerk@arkansasclerks.com,870-352-7179,Monday-Friday:8:30am-5pm
Arkansas,Desha County Clerk,Unknown,604 President St,,Arkansas City,AR,71630,870-877-2323,deshaclerk@arkansasclerks.com,870-877-3413,Monday-Friday:8:30am-5pm
