state,county,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,hours
California,Alameda,1225 Fallon Street,Room G-1,Oakland,CA,94612,(510) 272-6973,https://www.acvote.org/index,,(510) 272-6982,Monday-Friday: 8:30 AM - 5:00 PM
California,Alpine,99 Water Street,,Markleeville,CA,96120,(530) 694-2281,http://www.alpinecountyca.gov/index.aspx?NID=388,ttremayne@alpinecountyca.gov,(530) 694-2491,Monday-Friday: 8:30 AM - 12:00 PM; Monday-Friday:1:00 PM - 5:00 PM
California,Amador,810 Court Street,,Jackson,CA,95642-2132,(209) 223-6465,https://www.amadorgov.org/government/elections,Elections@amadorgov.org,(209) 223-6467,Monday-Friday: 8:30 AM - 5:00 PM
California,Butte,155 Nelson Ave,,Oroville,CA,95965-3411,(800) 894-7761,https://clerk-recorder.buttecounty.net/#loaded,elections@buttecounty.net,(530) 538-6853,Monday-Friday: 8:30 AM - 5:00 PM
California,Calaveras,891 Mountain Ranch Road,,San Andreas,CA,95249,(209) 754-6376,http://elections.calaverasgov.us/,electionsweb@co.calaveras.ca.us,(209) 754-6733,Monday-Friday: 8:00 AM - 4:00 PM
California,Colusa,546 Jay Street,Suite 200,Colusa,CA,95932,(530) 458-0500,http://www.countyofcolusa.org/index.aspx?NID=197,clerkinfo@countyofcolusa.org,(530) 458-0512,Monday-Friday: 8:00 AM - 4:00 PM
California,Contra Costa,555 Escobar Street,,Martinez,CA,94553,(925) 335-7800,https://www.cocovote.us/,voter.services@vote.cccounty.us,(925) 335-7838,Monday-Friday: 8:00 AM - 5:00 PM
California,Del Norte,981 H Street,Room 160,Crescent City,CA,95531,(707) 464-7216,http://www.co.del-norte.ca.us/departments/clerk-recorder/elections,anorthrup@co.del-norte.ca.us,(707) 465-0321,Monday-Friday: 8:00 AM - 5:00 PM
California,El Dorado,2850 Fairlane Court,,Placerville,CA,95667,(530) 621-7480,https://www.edcgov.us/Government/Elections/Pages/elections_main_info.aspx,elections@edcgov.us,(530) 626-5514,Monday-Friday: 8:00 AM - 5:00 PM
California,Fresno,2221 Kern Street,,Fresno,CA,93721,(559) 600-8683,https://www.co.fresno.ca.us/departments/county-clerk-registrar-of-voters,clerk-elections@co.fresno.ca.us,(559) 488-3279,Monday-Friday: 8:30 AM - 4:00 PM
