state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
Colorado,Adams,Clerk ,Elections Office,4430 S. Adams County Parkway,Suite E3102,Brighton,CO,80601-8207,(720) 523-6500,http://www.adamsvotes.com/,adams.elections@adcogov.org,(720)523-6266
Colorado,Alamosa,Clerk ,Elections Office,8999 Independence Way,,Alamosa,CO,81101-0630,(719) 589-6681,http://www.alamosacounty.org/index.php?option=com_content&view=article&id=24:clerk-a-recorder-home&catid=7:clerk-a-recorder&Itemid=47,,(719)589-6118
Colorado,Archuleta,Clerk ,Elections Office,449 San Juan St.,,Pagosa Springs,CO,81147,(970) 264-8331,http://www.archuletacounty.org/index.aspx?nid=84,karchuleta@archuletacounty.org,(970)264-8357
Colorado,Baca,Clerk ,Elections Office,741 Main Street,Suite 3,Springfield,CO,81073-1548,(719) 523-4372,http://bacacountyco.gov/bacaclerk.html,bacaclerk@bacacountyco.gov,(719)523-4881
Colorado,Bent,Clerk ,Elections Office,725 Bent Ave,,Las Animas,CO,81054-1735,(719) 456-2009,http://www.bentcounty.net/,lynda.moss@bentcounty.net,(719)456-0375
Colorado,Boulder,Clerk ,Elections Office,1750 33rd Street,Suite 200,Boulder,CO,80301-2546,(303) 413-7740,https://www.bouldercounty.org/elections/,vote@bouldercountyvotes.org,(303)413-7750
Colorado,Broomfield,Clerk ,Elections Office,1 DesCombes Drive,,Broomfield,CO,80020-2495,(303) 464-5857,http://www.broomfield.org/index.aspx?nid=191,electionsdivision@broomfield.org,(303)410-3815
Colorado,Chaffee,Clerk ,Elections Office,104 Crestone Ave,,Salida,CO,81201-1566,(719) 539-4004,http://www.chaffeecountyclerk.org/general-information/,elections@chaffeecounty.org,(719)539-8588
Colorado,Cheyenne,Clerk ,Elections Office,51 S. 1st St.,,Cheyenne Wells,CO,80810,(719) 767-5685,http://www.co.cheyenne.co.us/countydepartments/clerkandrecorder.htm,cheyclerk@gmail.com,(719)767-8730
Colorado,Clear Creek,Clerk ,Elections Office,405 Argentine St.,,Georgetown,CO,80444,(303) 679-2339,http://www.clearcreekcounty.us/,clerk@co.clearcreekcounty.us,(303)679-2416
Colorado,Conejos,Clerk ,Elections Office,6683 County Road 13,,Conejos,CO,81129,(719) 376-5422,http://www.conejoscounty.org/Webpages/crhome.html,nruybal@co.conejos.co.us,(719)376-5997
Colorado,Costilla,Clerk ,Elections Office,400 Gasper St.,Suite 101,San Luis,CO,81152,(719) 937-7671,http://www.costillacounty-co.gov/,Najondine.placek@costillacounty-co.org,(719)672-6023
Colorado,Crowley,Clerk ,Elections Office,631 Main Street,Suite 102,Ordway,CO,81063,(719) 267-5225,https://www.colorado.gov/pacific/crowleycounty/clerk-and-recorder,elections@crowleycounty.net,(719)267-4608
Colorado,Custer,Clerk ,Elections Office,205 S. 6th St.,,West Cliff,CO,81252,(719) 783-2441,http://www.custercountygov.com/,custerclerk@custercountygov.com,(719)783-2885
Colorado,Delta,Clerk ,Elections Office,501 Palmer,Suite 211,Delta,CO,81416-1764,(970) 874-2449,http://www.deltacounty.com/325/Elections,elections@deltacounty.com,(970)874-2161
Colorado,Denver,Clerk ,Elections Office,200 W. 14th Ave.,Suite 100,Denver,CO,80204,(303) 653-9668,https://www.denvergov.org/content/denvergov/en/denver-elections-divison.html,elections@denvergov.org,(720)913-8600
Colorado,Dolores,Clerk ,Elections Office,409 N. Main St.,,Dove Creek,CO,81324,(970) 677-2381,http://www.dolorescounty.org/departments-and-contacts/#clerkelectionsmotorvehicle?option=clerkelectionsmotorvehicle,dcclerk@fone.net,(970)677-4144
Colorado,Douglas,Clerk ,Elections Office,125 Stephanie Place,,Castle Rock,CO,80109-1520,(303) 660-7444,http://www.douglas.co.us/elections/,elections@douglas.co.us,(720)733-6977
Colorado,Eagle,Clerk ,Elections Office,500 Broadway,Ste. 101,Eagle,CO,81631,(970) 328-8715,http://www.eaglecounty.us/Clerk/,elections@eaglecounty.us,(970)328-8716
Colorado,Elbert,Clerk ,Elections Office,440 Comanche St.,,Kiowa,CO,80117,(303) 621-3127,http://www.elbertcounty-co.gov/elections.php,elections@elbertcounty-co.gov,(303)621-3212
Colorado,El Paso,Clerk ,Elections Office,1675 W. Garden of the Gods Road,,Colorado Springs,CO,80907-9444,(719) 575-8683,https://clerkandrecorder.elpasoco.com,elections@elpasoco.com,(719)520-7327
Colorado,Fremont,Clerk ,Elections Office,615 Macon Ave.,Rm. 102,Cañon City,CO,81212-3381,(719) 276-7340,https://www.fremontco.com/clerk-and-recorder/clerk-recorder,justin.grantham@fremontco.com,(719)276-7338
Colorado,Garfield,Clerk ,Elections Office,109 8th St.,Suite 200,Glenwood Springs,CO,81601-3303,(970) 384-3700 Option 2,https://www.garfield-county.com/clerk-recorder/,elections@garfield-county.com,(970)947-1078
Colorado,Gilpin,Clerk ,Elections Office,203 Eureka St.,,Central City,CO,80427,(303) 582-5321,http://www.co.gilpin.co.us/departments/clerk_and_recorder_voting_and_elections/elections/,elections@gilpincounty.org,(303)565-1797
Colorado,Grand,Clerk ,Elections Office,308 Byers Ave.,,Hot Sulphur Springs,CO,80451,(970) 725-3065,http://co.grand.co.us/Clerk/clerkand.htm,grandelections@co.grand.co.us,(970)725-0100
Colorado,Gunnison,Clerk ,Elections Office,221 N. Wisconsin St.,Suite C,Gunnison,CO,81230-2433,(970) 641-7927,http://www.gunnisoncounty.org/143/Clerk-Recorders-Office,ksimillion@gunnisoncounty.org,(970)642-4675
Colorado,Hinsdale,Clerk ,Elections Office,317 N. Henson,,Lake City,CO,81235,(970) 944-2228,https://www.colorado.gov/pacific/hinsdalecounty/hinsdale-county-clerk,clerk@hinsdalecountycolorado.us,(970)944-2202
Colorado,Huerfano,Clerk ,Elections Office,401 Main Street,Suite 204,Walsenburg,CO,81089-2085,(719) 738-2380,http://www.huerfano.us/Clerk_s_Office.php,nancy@huerfano.us,(719)738-2060
Colorado,Jackson,Clerk ,Elections Office,396 LaFever St.,,Walden,CO,80480,(970) 723-4334,http://jacksoncountycogov.com/clerk-recorder/,jc_clerk@hotmail.com,(970)723-3214
Colorado,Jefferson,Clerk ,Elections Office,3500 Illinois St.,Ste. 1100,Golden,CO,80401,(303) 271-8111,http://jeffco.us/elections/,elections@votejeffco.com,(303)271-8197
Colorado,Kiowa,Clerk ,Elections Office,1305 Goff St.,,Eads,CO,81036,(719) 438-5421,http://www.kiowacounty-colorado.com/kiowa_county_clerk_&_recorder.htm,delisa.weeks@state.co.us,(719)438-5327
Colorado,Kit Carson,Clerk ,Elections Office,251 16th Street,Suite 203,Burlington,CO,80807-1674,(719) 346-8638,https://www.colorado.gov/pacific/kitcarsoncounty/clerk-recorder-1,elections@kitcarsoncounty.org,(719)346-8721
Colorado,Lake,Clerk ,Elections Office,505 Harrison Ave.,,Leadville,CO,80461,(719) 486-1410,http://www.lakecountyco.com/clerkandrecorder/,pberger@co.lake.co.us,(719)486-3972
Colorado,La Plata,Clerk ,Elections Office,679 Turner Drive,Ste. C,Durango,CO,81303,(970) 382-6296,https://www.co.laplata.co.us/services/elections/index.php,elections@co.laplata.co.us,(970)259-5413
Colorado,Larimer,Clerk ,Elections Office,200 W. Oak Street,,Ft. Collins,CO,80521-2713,(970) 498-7820,http://www.co.larimer.co.us/clerk/,elections@co.larimer.co.us,(970)498-7845
