state,county,location_type,address_1,address_2,city,state_2,zip,phone,email,fax
Connecticut,ANDOVER ,TOWN CLERK,17 SCHOOL ROAD ,,ANDOVER,CT,06232-0328 ,860-742-0188 x2,andovertownclerk@sbcglobal.net,860-742-7535
Connecticut,ASHFORD ,TOWN CLERK,5 TOWN HALL ROAD ,,ASHFORD,CT,06278-1530 ,860-487-4401,smutch@ashfordtownhall.org,860-487-4431
Connecticut,BARKHAMSTED ,TOWN CLERK,67 RIPLEY HILL ROAD,,BARKHAMSTED,CT,06063-3340 ,860-379-8665,hkrouse@barkhamsted.us,860-379-9284
Connecticut,BERLIN ,TOWN CLERK,240 KENSINGTON ROAD ,,BERLIN,CT,06037,860-828-7075,kwall@town.berlin.ct.us,860-828-7137
Connecticut,BETHEL ,TOWN CLERK,1 SCHOOL STREET ,,BETHEL,CT,06801-0003 ,203-794-8505,berghl@bethel-ct.gov,203-778-7516
Connecticut,BLOOMFIELD ,TOWN CLERK,800 BLOOMFIELD AVENUE ,,BLOOMFIELD,CT,06002-0337  ,860-769-3507,mphillips@bloomfieldct.org,860-769-3547
Connecticut,ANSONIA ,TOWN CLERK,253 MAIN STREET ,,ANSONIA,CT,06401-1410 ,203-736-5980,blynch@ansoniact.org,203-736-5982
Connecticut,AVON ,TOWN CLERK,60 WEST MAIN STREET ,,AVON,CT,06001-3719 ,860-409-4311,adearstyne@avonct.gov,860-677-8426
Connecticut,BEACON FALLS ,TOWN CLERK,10 MAPLE AVENUE ,,BEACON FALL,CT,06403-1198  ,203-729-8254,lgreene@townofbeaconfalls.com,203-720-8204
Connecticut,BETHANY ,TOWN CLERK,40 PECK ROAD ,,BETHANY,CT,06524-3338 ,203-393-2100 x1104,namccarthy@bethany-ct.com,203-393-0821
Connecticut,BETHLEHEM ,TOWN CLERK,,,BETHLEHEM,CT,06751-0053 ,203-266-7510,kmayer@bethlehemct.org,203-266-7670
Connecticut,BOLTON ,TOWN CLERK,222 BOLTON CENTER ROAD ,,BOLTON,CT,06043-7698 ,860-649-8066 x6106,elizabeth.waters@boltonct.or,860-643-0021
Connecticut,BOZRAH ,TOWN CLERK,1 RIVER ROAD ,,BOZRAH,CT,06334-0158 ,860-889-2689 x2,townclerk@bozrahct.org,860-887-5449
Connecticut,BRIDGEPORT ,TOWN CLERK,45 LYON TERRACE ,,BRIDGEPORT,CT,06604-4062 ,203-576-7278,charles.clemonsjr@bridgeportct.gov,203-330-2811
Connecticut,BRISTOL ,TOWN CLERK,111 NORTH MAIN STREET ,,BRISTOL,CT,06010-8184 ,860-584-6200,theresepac@bristolct.gov,860-584-6199
Connecticut,BROOKLYN ,TOWN CLERK,,,BROOKLYN,CT,06234-0356 ,860-779-3411 x36,K.Bisson@Brooklynct.org,860-774-5732
Connecticut,CANAAN ,TOWN CLERK,108 MAIN STREET ,,FALLS VILLAGE,CT,06031-0047 ,860-824-0707,townclerk@canaanfallsvillage.org,860-824-4506
Connecticut,CANTON ,TOWN CLERK,,,COLLINSVILLE,CT,06022-0168 ,860-693-7870,lsmith@townofcantonct.org,
Connecticut,BRANFORD ,TOWN CLERK,,,BRANFORD,CT,06405-0150 ,203-315-0633,larpin@branford-ct.gov,203-889-4807
Connecticut,BRIDGEWATER ,TOWN CLERK,,,BRIDGEWATER,CT,06752-0216 ,860-354-5102,cpinkos@bridgewatertownhall.org,860-350-5944
Connecticut,BROOKFIELD ,TOWN CLERK,,,BROOKFIELD,CT,06804-5106 ,203-775-7313,townclerk@brookfieldct.gov,203-775-5231
Connecticut,BURLINGTON ,TOWN CLERK,200 SPIELMAN HIGHWAY ,,BURLINGTON,CT,06013-1710 ,860-673-6789 x2,ugalde.m@burlingtonct.us,860-675-9312
Connecticut,CANTERBURY ,TOWN CLERK,,,CANTERBURY,CT,06331 ,860-546-9377 x17,nellston@canterburyct.org,860-546-9295
Connecticut,CHAPLIN ,TOWN CLERK,495 PHOENIXVILLE ROAD ,,CHAPLIN,CT,06235 ,860-455-9455 x312,townclerk@chaplinct.or,860-455-0027
Connecticut,CHESHIRE ,TOWN CLERK,84 SOUTH MAIN STREET ,,CHESHIRE,CT,06410 ,203-271-6601,lbrennan@cheshirect.org,203-271-6615
Connecticut,CLINTON ,TOWN CLERK,54 EAST MAIN STREET ,,CLINTON,CT,06413-0174 ,860-669-9101,suricchio@clintonct.org,860-669-0890
Connecticut,COLEBROOK ,TOWN CLERK,,,COLEBROOK,CT,06021-0005 ,860-379-3359 x213,dmckeon@colebrooktownhall.org,860-379-2342
Connecticut,CORNWALL ,TOWN CLERK,,,CORNWALL,CT,06753-0097 ,860-672-2709,cwltownclerk@optonline.net,860-672-4069
Connecticut,CROMWELL ,TOWN CLERK,41 WEST STREET ,1 ST FLOOR ,CROMWELL,CT,06416,860-632-3440,jdoyle@cromwellct.com,860-632-3425
Connecticut,DARIEN ,TOWN CLERK,2 RENSHAW ROAD ,,DARIEN,CT,06820 ,203-656-7305,cdiller@darienct.gov,203-656-7380
Connecticut,CHESTER ,TOWN CLERK,203 MIDDLESEX AVENUE ,,CHESTER,CT,06412 ,860-526-0013 x203,debracalamari@chesterct.org,860-526-0004
Connecticut,COLCHESTER ,TOWN CLERK,127 NORWICH AVENUE ,,COLCHESTER,CT,06415-0146 ,860-537-7217,townclerk@colchesterct.gov,860-537-0547
Connecticut,COLUMBIA ,TOWN CLERK,323 JONATHAN TRUMBULL HIGHWAY ,,COLUMBIA,CT,06237-0165  ,860-228-3284,townclerk@columbiact.org,860-228-2335
Connecticut,COVENTRY ,TOWN CLERK,1712 MAIN STREET ,,COVENTRY,CT,06238 ,860-742-7966,ltollmann@coventryct.org,860-742-8911
Connecticut,DANBURY ,TOWN CLERK,155 DEER HILL ROAD ,,DANBURY,CT,06810 ,203-797-4531,j.giegler@danbury-ct.gov,203-796-8087
Connecticut,DEEP RIVER ,TOWN CLERK,174 MAIN STREET ,,DEEP RIVER,CT,06417 ,860-526-6024,townclerk@deepriverct.u,860-526-6023
Connecticut,DERBY ,TOWN CLERK,1 ELIZABETH STREET ,,DERBY,CT,06418-1801 ,203-736-1462 x2,townclerk@derbyct.gov,203-736-1479
Connecticut,EASTFORD ,TOWN CLERK,,,EASTFORD,CT,06242-0296 ,860-974-1885 x5,townclerk@townofeastford.com,860-974-0624
Connecticut,EAST HADDAM ,TOWN CLERK,1 PLAINS ROAD ,,MOODUS,CT,06469  ,860-891-8506,townclerk@easthaddam.org,860-873-5042
Connecticut,EAST HARTFORD ,TOWN CLERK,740 MAIN STREET,,EAST HARTFORD,CT,06108-3114 ,860-291-7235,rpasek@easthartfordct.gov,860-289-0831
Connecticut,EAST LYME ,TOWN CLERK,,,NIANTIC,CT,06357-0519 ,860-739-6931 x5,KGalbo@eltownhall.com,860-739-6930
Connecticut,EAST WINDSOR ,TOWN CLERK,11 RYE STREET BROAD ,,BROOK,CT,06016 ,860-292-8255,alam@eastwindsorct.com,
Connecticut,DURHAM ,TOWN CLERK,,,DURHAM,CT,06422-0428 ,860-349-3453,kgarvis@townofdurhamct.org,860-343-6733
Connecticut,EAST GRANBY ,TOWN CLERK,,,EAST GRANBY,CT,06026-0459 ,860-653-6528,christineg@egtownhall.com,860-653-4017
Connecticut,EAST HAMPTON ,TOWN CLERK,1 COMMUNITY DRIVE ,,EAST HAMPTON,CT,06424-1091  ,860-267-2519,kbilodeau@easthamptonct.gov,860-267-1027
Connecticut,EAST HAVEN ,TOWN CLERK,250 MAIN STREET ,,EAST HAVEN,CT,06512-3004 ,203-468-3201,sgravino@townofeasthavenct.org,203-468-2422
Connecticut,EASTON ,TOWN CLERK,,,EASTON,CT,06612-1398 ,203-268-6291,townclerk@eastonct.gov,203-261-6080
Connecticut,ELLINGTON ,TOWN CLERK,,,ELLINGTON,CT,06029-0187 ,860-870-3105,dmckeegan@ellington-ct.go,860-870-3721
Connecticut,ENFIELD ,TOWN CLERK,820 ENFIELD STREET ,,ENFIELD,CT,06082-2997  ,860-253-6438,solechnicki@enfield.org,860-253-6331
Connecticut,FAIRFIELD ,TOWN CLERK,611 OLD POST ROAD ,,FAIRFIELD,CT,06824 ,203-256-3090,bbrowne@fairfieldct.org,203-256-3114
Connecticut,FRANKLIN ,TOWN CLERK,7 MEETING HOUSE HILL ROAD ,,FRANKLIN,CT,06254-9775 ,860-642-7352 x18,franklintownclerk@,860-642-6606
Connecticut,GOSHEN ,TOWN CLERK,42 C NORTH STREET ,,GOSHEN,CT,06756 ,860-491-3647 x2,bbreor@goshenct.gov,860-491-6028
Connecticut,GREENWICH ,TOWN CLERK,101 FIELD POINT ROAD ,,GREENWICH,CT,06830 ,203-622-7897,tclerk@greenwichct.org,203-861-3117
Connecticut,GROTON ,TOWN CLERK,45 FORT HILL ROAD ,,GROTON,CT,06340 ,860-441-6640,bmoukawsher@groton-ct.gov,860-441-6703
Connecticut,ESSEX ,TOWN CLERK,29 WEST AVENUE ,,ESSEX,CT,06426-1140 ,860-767-4340 x129,jmarzi@essexct.gov,860-767-4560
Connecticut,FARMINGTON ,TOWN CLERK,1 MONTIETH DRIVE ,,FARMINGTON,CT,06032-1053 ,860-675-2380,rayp@farmington-ct.org,860-675-2389
Connecticut,GLASTONBURY ,TOWN CLERK,,,GLASTONBURY,CT,06033-6523 ,860-652-7620,michelle.krampitz@glastonbury-ct.gov,860-652-7639
Connecticut,GRANBY ,TOWN CLERK,15 NORTH GRANBY ROAD ,,GRANBY,CT,06035-9442 ,860-844-5310,kihazen@granby-ct.gov,860-653-4769
Connecticut,GRISWOLD ,TOWN CLERK,28 MAIN STREET ,,GRISWOLD,CT,06351 ,860-376-7060,townclerk@griswold-ct.org,860-376-7070
Connecticut,GUILFORD ,TOWN CLERK,31 PARK STREET ,,GUILFORD,CT,06437-2629 ,203-453-8001,dwyera@ci.guilford.ct.u,203-453-8467
Connecticut,HADDAM ,TOWN CLERK,30 FIELD PARK DRIVE ,,HADDAM,CT,06438-0087  ,860-345-8531 x212,townclerk@haddam.org,860-345-3730
Connecticut,HAMPTON ,TOWN CLERK,,,HAMPTON,CT,06247-0143 ,860-455-9132 x1,townclerk@hamptonct.org,860-455-0517
Connecticut,HARTLAND ,TOWN CLERK,,,EAST HARTLAND,CT,06027 ,860-653-0285,tclerk@hartland.necoxmail.com,860-653-0452
Connecticut,HEBRON ,TOWN CLERK,15 GILEAD STREET ,,HEBRON,CT,06248 ,860-228-5971 x124,cpomprowicz@hebronct.com,860-228-4859
Connecticut,KILLINGLY ,TOWN CLERK,172 MAIN STREET ,,KILLINGLY,CT,06239-1832  ,860-779-5308,lwilson@killinglyct.gov,860-779-5316
Connecticut,LEBANON ,TOWN CLERK,579 EXETER ROAD ,,LEBANON,CT,06249 ,860-642-7319,townclerk@lebanonct.gov,860-642-7716
Connecticut,HAMDEN ,TOWN CLERK,2750 DIXWELL AVENUE ,,HAMDEN,CT,06518 ,203-287-7162,townclerk@hamden.com,203-287-7095
Connecticut,HARTFORD ,TOWN CLERK,550 MAIN STREET ,,HARTFORD,CT,06103-2992 ,860-757-9755,,860-722-8041
Connecticut,HARWINTON ,TOWN CLERK,,,HARWINTON,CT,06791-0065 ,860-485-9613,neldridge@harwinton.us,860-485-6903
Connecticut,KENT ,TOWN CLERK,,,KENT,CT,06757-0843 ,860-927-3433,townclerk@townofkentct.org,
Connecticut,KILLINGWORTH ,TOWN CLERK,323 ROUTE 81 ,,KILLINGWORTH,CT,06419-1298 ,860-663-1765 x205,dmooney@townofkillingworth.com,860-663-4050
Connecticut,LEDYARD ,TOWN CLERK,741 COLONEL LEDYARD HIGHWAY ,,LEDYARD,CT,06339-1541 ,860-464-3229,town.clerk@ledyardct.or,860-464-1126
Connecticut,LISBON ,TOWN CLERK,1 NEWENT ROAD ,,JEWETT CITY,CT,06351-2926  ,860-376-2708,ltirocchi@lisbonct.com,860-376-6545
Connecticut,LYME ,TOWN CLERK,480 HAMBURG ROAD ,,LYME,CT,06371 ,860-434-7733,townclerk@townlyme.org,860-434-2989
Connecticut,MANCHESTER ,TOWN CLERK,,,MANCHESTER,CT,06045-0191 ,860-647-3036,jcampose@manchesterct.gov,860-647-3029
Connecticut,MARLBOROUGH ,TOWN CLERK,,,MARLBOROUGH,CT,06447-0029 ,860-295-6206,townclerk@marlboroughct.net,860-295-0317
Connecticut,MIDDLEBURY ,TOWN CLERK,1212 WHITTEMORE ROAD ,,MIDDLEBURY,CT,06762-2425 ,203-758-2557,townclerk@middlebury-ct.org,203-758-2915
Connecticut,MIDDLETOWN ,TOWN CLERK,245 DEKOVEN DRIVE ,ROOM 110 ,MIDDLETOWN,CT,06457-1300 ,860-638-4910,townclerk@middletownct.gov,860-638-1910
Connecticut,LITCHFIELD ,TOWN CLERK,,,LITCHFIELD,CT,06759-9602 ,860-567-7561,townclerk@townoflitchfield.org,860-567-7552
Connecticut,MADISON ,TOWN CLERK,8 CAMPUS DRIVE ,,MADISON,CT,06443-2563 ,203-245-5670,martuccin@madisonct.org,203-245-5675
Connecticut,MANSFIELD ,TOWN CLERK,4 SOUTH EAGLEVILLE ROAD RT.275 ,,STORRS,CT,06268-2503 ,860-429-3302 x4,TownClerk@mansfieldct.org,860-429-7785
Connecticut,MERIDEN ,TOWN CLERK,142 EAST MAIN STREET ,ROOM 124 ,MERIDEN,CT,06450-5605 ,203-630-4030,dgrandy@meridenct.gov,203-630-4059
Connecticut,MIDDLEFIELD ,TOWN CLERK,393 JACKSON HILL ROAD ,,MIDDLEFIELD,CT,06455 ,860-349-7116,dgolub@middlefieldct.org,860-349-7115
Connecticut,MILFORD ,TOWN CLERK,70 WEST RIVER STREET ,,MILFORD,CT,06460 ,203-783-3210,kfortunati@milfordct.go,203-783-4586
Connecticut,MONROE ,TOWN CLERK,7 FAN HILL ROAD ,,MONROE,CT,06468-1823 ,203-452-2811,vstone@monroect.org,203-452-2253
Connecticut,MORRIS ,TOWN CLERK,,,MORRIS,CT,06763-0066 ,860-567-7433,townclerk@townofmorrisct.com,860-567-7432
Connecticut,NEW BRITAIN ,TOWN CLERK,27 WEST MAIN STREET ,,NEW BRITAIN,CT,06051-2298 ,860-826-3343,mark.bernacki@newbritainct.gov,860-826-3348
Connecticut,NEW FAIRFIELD ,TOWN CLERK,4 BRUSH HILL ROAD ,,NEW FAIRFIELD,CT,06812 ,203-312-5615,pdohan@newfairfield.org,203-312-5618
Connecticut,NEW HAVEN ,TOWN CLERK,200 ORANGE ST ,ROOM 202 ,NEW HAVEN,CT,06510-2067 ,203-946-8339,msmart@newhavenct.net,203-946-6974
Connecticut,NEW LONDON ,TOWN CLERK,181 STATE STREET ,,NEW LONDON,CT,06320-6302 ,860-447-5205,jayala@ci.new-london.ct.us,860-447-1644
Connecticut,MONTVILLE ,TOWN CLERK,310 NORWICH-NEW LONDON TURNPIKE ,,UNCASVILLE,CT,06382-2599 ,860-848-6784,ksandberg@montville-ct.org,860-848-9784
Connecticut,NAUGATUCK ,TOWN CLERK,229 CHURCH STREET ,,NAUGATUCK,CT,06770-4199 ,203-720-7055,MDowling@naugatuck-ct.gov,203-720-7099
Connecticut,NEW CANAAN ,TOWN CLERK,,,NEW CANAAN,CT,06840 ,203-594-3070,claudia.weber@newcanaanct.gov,203-594-3073
