state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,source_data,email,fax
GA,Appling,Board of Registrars,Elections Office,69 TIPPINS,SUITE 205,BAXLEY,GA,31513,(912) 367-8113,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,shonda@applingco.com,(912) 367-5377
GA,Atkinson,Board of Registrars,Elections Office,636 AUSTIN AVENUE E.,,PEARSON,GA,31642,(912) 422-3003,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,atcoelections@hotmail.com,(912) 422-6710
GA,Bacon,Board of Registrars,Elections Office,232 WEST 12TH ST,,ALMA,GA,31510,(912) 632-5551,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,arussell@baconcounty.org,(912) 632-0232
GA,Baker,Board of Registrars,Elections Office,167 BAKER PLACE,,NEWTON,GA,39870,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,,
GA,Baldwin,Board of Registrars,Elections Office,121 N. WILKINSON STREET,SUITE 102,MILLEDGEVILLE,GA,31061,(478) 445-4526,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,vrbaldc@baldwincountyga.com,(478) 445-5756
GA,Banks,Board of Registrars,Elections Office,226 CANDLER STREET,,HOMER,GA,30547,(706) 677-6260,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,registrars@co.banks.ga.us,(888) 294-0416
GA,Barrow,Board of Registrars,Elections Office,233 E. BROAD STREET,,WINDER,GA,30680,(770) 307-3110,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,mfranklin@barrowga.org,(770) 307-1054
GA,Bartow,Board of Registrars,Elections Office,1300 JOE FRANK HARRIS PKWY,,CARTERSVILLE,GA,30120,(770) 387-5098,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,absentee@bartowga.org,(770) 606-2245
GA,Ben Hill,Board of Registrars,Elections Office,602 S GRANT ST,,FITZGERALD,GA,31750,(229) 922-0241,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,electionsbenhill@aol.com,(229) 233-6162
GA,Berrien,Board of Registrars,Elections Office,201 N. DAVIS ST.,,NASHVILLE,GA,31639,(229) 686-6162,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,belections@windstream.net,(229) 686-3442
GA,Bibb,Board of Registrars,Elections Office,2525 PIO NONO AVENUE,SUITE 1200,MACON,GA,31206,(478) 621-6622,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,vseals@maconbibb.us,(478) 621-6119
GA,Bleckley,Board of Registrars,Elections Office,112 NORTH SECOND ST,COURTHOUSE 2ND FLOOR,COCHRAN,GA,31014,(478) 934-3200,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,bleckleyvr@bleckley.org,(478) 298-6830
GA,Brantley,Board of Registrars,Elections Office,10305 NORTH MAIN STREET,SUITE 400,NAHUNTA,GA,31553,(912) 462-6159,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,bcelections@btconline.net,(912) 462-6197
GA,Brooks,Board of Registrars,Elections Office,610 S HIGHLAND RD,,QUITMAN,GA,31643,(229) 263-9939,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,brookscoelections@gmail.com,(229) 263-5372
GA,Bryan,Board of Registrars,Elections Office,151 S. COLLEGE ST,,PEMBROKE,GA,31321,(912) 653-3859,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cindyreynolds@bryan-county.org,(912) 653-3895
GA,Bulloch,Board of Registrars,Elections Office,113 NORTH MAIN STREET STE,STE 201,STATESBORO,GA,30458,(912) 764-6502,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voterregistrar@bullochcounty.net,(912) 764-8167
GA,Burke,Board of Registrars,Elections Office,602 N LIBERTY,,WAYNESBORO,GA,30830,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,,
GA,Butts,Board of Registrars,Elections Office,625 WEST THIRD STREET 5,,JACKSON,GA,30233,(770) 775-8202,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tlunsford@buttscounty.org,(770) 775-2765
GA,Calhoun,Board of Registrars,Elections Office,31 Court St,,MORGAN,GA,39866,(229) 849-2972,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cc.registrar@windstream.net,(229) 849-0071
GA,Camden,Board of Registrars,Elections Office,107 N GROSS RD,,WOODBINE,GA,31569,(912) 576-3245,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,ddfelix@co.camden.ga.us,(912) 576-8176
GA,Candler,Board of Registrars,Elections Office,1075 E HIAWATHA STREET,SUITE A,METTER,GA,30439,(912) 685-6687,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,kharris@candlerco-ga.gov,(912) 685-2189
GA,Carroll,Board of Registrars,Elections Office,423 COLLEGE STREET,ROOM 302,CARROLLTON,GA,30117,(770) 830-5823,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@carrollcountyga.com,(770) 214-3594
