state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
Idaho,Ada,Ada County Clerk,Elections Office,400 N Benjamin Lane ,Ste 100,Boise,ID,83704,(208)287-6860,adacounty.id.gov,elections@adaweb.net,(208)287-6939
Idaho,Bear Lake,Bear Lake County Clerk,Elections Office,7 East Center,,Paris,ID,83261,(208)945-2212,www.bearlakecounty.info,cgarner@bearlakecounty.id.gov,(208)945-2248
Idaho,Benewah,Benewah County Clerk,Elections Office,701 W College Ave,Ste 101,St Maries,ID,83861,(208)245-3212,,elections@benewahcounty.org,(208)245-9152
Idaho,Bingham,Bingham County Clerk,Elections Office,501 N Maple,St #205,Blackfoot,ID,83221,(208)782-3164,www.co.bingham.id.us,dmiller@co.bingham.id.us,(208)785-4131
Idaho,Blaine,Blaine County Clerk,Elections Office,206 1st Ave South,#200,Hailey,ID,83333,(208)788-5510,www.co.blaine.id.us,election@co.blaine.id.us,(208)788-5501
Idaho,Bonner,Bonner County Clerk,Elections Office,1500 Hwy 2 ,Ste 124,Sandpoint,ID,83864,(208)255-3631,bonnercounty.us,elections@bonnercountyid.gov,(208)263-9178
Idaho,Bonneville,Bonneville County Clerk,Elections Office,825 Shoup Ave,,Idaho Falls,ID,83402,(208)529-1363,www.co.bonneville.id.us,vote@co.bonneville.id.us,(208)529-1188
Idaho,Canyon ,Canyon County Clerk,Elections Office,1102 E. Chicago St.,,Caldwell,ID,83605,(208)454-7337,www.canyonco.org,electionsclerk@canyonco.org,208) 454-6899
Idaho,Cassia,Cassia County Clerk,Elections Office,1459 Overland Avenue ,Rm #105,Burley,ID,83318,(208)878-5240,www.cassiacounty.org,vote@cassiacounty.org,(208)878-8825
Idaho,Elmore,Elmore County Clerk,Elections Office,150 S 4th E ,#3,Mountain Home,ID,83647,(208)587-2130,elmorecounty.org,vgarcia@elmorecounty.org,(208)587-2159
Idaho,Franklin,Franklin County Clerk,Elections Office,39 W Oneida,,Preston,ID,83263,(208)852-1090,www.franklincountyidaho.org,camillel@fcidaho.us,(208)852-1094
Idaho,Fremont,Fremont County Clerk,Elections Office,151 W 1st N ,#12,St Anthony,ID,83445,(208)624-7332,www.co.fremont.id.us,awithers@co.fremont.id.us,(208)624-7335
Idaho,Gem,Gem County Clerk,Elections Office,415 E Main ,Room 202,Emmett,ID,83617,(208)365-4561,www.co.gem.id.us,elections@co.gem.id.us,(208)365-7795
Idaho,Idaho,Idaho County Clerk,Elections Office,320 W Main ,Rm 5,Grangeville,ID,83530,(208)983-2751,idahocounty.org,kackerman@idahocounty.org,(208)983-1428
Idaho,Jefferson,Jefferson County Clerk,Elections Office,210 Courthouse Way ,Ste 100,Rigby,ID,83442,(208)745-7756,www.co.jefferson.id.us,,(208)745-9397
Idaho,Jerome,Jerome County Clerk,Elections Office,300 N Lincoln ,Rm 301,Jerome,ID,83338,(208)644-2714,www.jeromecountyid.us,memerson@co.jerome.id.us,(208)644-2709
Idaho,Kootenai,Kootenai County Clerk,Elections Office,451 N Government Way,,Coeur d'Alene,ID,83814,(208)446-1030,www.kcgov.us,kcelections@kcgov.us,(208)446-2184
Idaho,Lemhi,Lemhi County Clerk,Elections Office,206 Courthouse Drive,,Salmon,ID,83467,(208)742-1667,lemhicountyidaho.org,clerk@lemhicountyidaho.org,(208)756-8424
Idaho,Lewis,Lewis County Clerk,Elections Office,510 Oak Street ,Room 1,Nezperce,ID,83543,(208)937-2661,lewiscountyid.us,awinner@lewiscountyid.org,(208)937-9234
Idaho,Lincoln,Lincoln County Clerk,Elections Office,111 West B Street ,Suite C,Shoshone,ID,83352,(208)886-7641,www.lincolncountyid.us,elections@lincolncountyid.us,(208)886-2798
Idaho,Oneida,Oneida County Clerk,Elections Office,10 Court Street ,,Malad,ID,83252,(208)766-4116,oneidacountyid.com,lcolton@co.oneida.id.us,(208)766-2448
Idaho,Payette,Payette County Clerk,Elections Office,1130 3rd Ave N ,Rm 104,Payette,ID,83661,(208)642-6000,www.payettecounty.org,lbratcher@payettecounty.org,(208)642-6011
Idaho,Power ,Power County Clerk,Elections Office,543 Bannock Ave,,American Falls,ID,83211,(208)226-7611,www.co.power.id.us,ssprague@co.power.id.us,(208)226-7612
Idaho,Shoshone,Shoshone County Clerk,Elections Office,700 Bank Street,#120,Wallace,ID,83873,(208)752-1264,www.shoshonecounty.org,sfeatherstone@co.shoshone.id.us,(208)752-1896
Idaho,Teton,Teton County Clerk,Elections Office,150 Courthouse Drive ,#208,Driggs,ID,83422,(208)354-8780,tetoncountyidaho.gov,clerk@co.teton.id.us,(208)354-8410
Idaho,Valley,Valley County Clerk,Elections Office,219 N Main St,,Cascade,ID,83611,(208)382-7100,www.co.valley.id.us,elections@co.valley.id.us,(208)382-7107
Idaho,Washington,Washington County Clerk,Elections Office,256 E Court St,,Weiser,ID,83672,(208)414-2092,co.washington.id.us,datwood@co.washington.id.us,(208)414-3925
