state,county,location_name,location_type,address_1,address_2,city,state_2,zip,hours,notes
Illinois ,Champaign County,"Lake of the Woods, Elks Pavilion",Community Venue,301 Senna Dr,,Mahomet,IL,61853,Saturday: 1PM-3PM, 
Illinois ,Champaign County,CU Public Health District,Community Venue,201 W Kenyon Rd,,Champaign,IL,61820,Monday-Sunday:12:00AM-12:00AM,"Ballots must be deposited by 7PM on Election Day, Tuesday, November 3, 2020"
Illinois ,Champaign County,Sholem Pool,Community Venue,2205 W Sangamon Dr,,Champaign,IL,61821,Monday-Sunday:12:00AM-12:00AM,"Ballots must be deposited by 7PM on Election Day, Tuesday, November 3, 2020"
Illinois ,Cook County,Palos Heights Recreation Center,Community Venue,6601 W 127th St,,Palos Heights,IL,60463,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Calumet Township Community Center,Community Venue,12633 S Ashland Ave,,Calumet Park,IL,60827,October 19th-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Cicero Community Center,Community Venue,2250 S 49th Ave,,Cicero,IL,60804,Oct 19th-Nov 3. 2020: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday; 9:00am-5:00pm, 
Illinois ,Cook County,Cicero PSO Building,Community Venue,5410 W 34th St,,Cicero,IL,60804,October 19th-Nov 3: Monday-Friday 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Crestwood (Andrew Biela Senior Citizen Center),Community Venue,4545 Midlothian Turnpike,,Crestwood,IL,60445,"Oct 19th-Nov 3,2020: Monday-Friday :8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm", 
Illinois ,Cook County,Evanston Civic Center,Community Venue,2100 Ridge Ave,,Evanston,IL,60201,Oct 19th-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Matteson Community Center,Community Venue,20642 Matteson Ave,,Matteson,IL,60443,Oct 19th-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Park Ridge (Centennial Activity Center),Community Venue,100 S Western Ave,,Park Ridge,IL,60068,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Schaumburg (Trickster Art Gallery),Community Venue,190 S Roselle Rd,,Schaumburg,IL,60193,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,South Chicago Heights Senior Center,Community Venue,3140 Enterprise Park Ave,,South Chicago Heights,IL,60411,October 19th-November 3: Monday-Friday: 8:30am-7:00pm: Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Wilmette (Centennial Ice Rinks),Community Venue,2300 Old Glenview Rd,,Wilmette,IL,60091,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,DuPage County,DuPage County Fairgrounds,Community Venue,2015 W Manchester Rd,Bld 2,Wheaton,IL,60187,"Monday-Friday, September 24-October 16: 8:00AM-4:30PM, Saturday, September 26-October 17: 9:00AM-12:00AM, Monday-Friday, October 19-November 2: 8:30AM-7:00PM, Saturday-Sunday, October 24-November 1: 9:00AM-5:00AM", 
Illinois ,DuPage County,The Annex at Abbington Banquet,Community Venue,3S002 IL Rt 53,The annex,Glen Ellyn,IL,60137,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM, Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Bartlett Community Center,Community Venue,700 S Bartlett Rd,Program Room 5,Bartlett,IL,60103,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM , Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,The Courtyard,Community Venue,3s200 Rt 59,Main dining hall,Warrenville,IL,60555,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM , Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Fox Valley Mall,Community Venue,195 Fox Valley Center Dr,NW entrance #1 between Macy’s &amp; Carson's,Aurora,IL,60504,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM , Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Lisle Park Dist Wheatstack Resturant,Community Venue,5900 S Rt 53,Wheatstack restaurant Dinning Room,Lisle,IL,60532,"Monday-Friday, October 19-October 30: 8:30AM-7:00PM , Saturday, October 24 & October 31: 9:00AM-5:00PM", 
Illinois ,DuPage County,Islamic Center of Naperville,Community Venue,25w530 75th St,East wing meeting room,Naperville,IL,60565,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM , Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Kings Hall Banquets,Community Venue,1000 Rohlwing Rd,Unit #40,Lombard,IL,60148,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM, Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Old Farm Market Place,Community Venue,2011 S Washington St,South half of building,Naperville,IL,60565,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM , Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Stratford Square Mall,Community Venue,152 Stratford Square,"Entrance 3, Lower Level",Bloomingdale,IL,60108,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM, Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,Yorktown Center,Community Venue,203 Yorktown Mall Dr,The Plaza Shops at Yorktown #42,Lombard,IL,60148,"Monday-Friday, October 19-November 2: 8:30AM-7:00PM, Saturday-Sunday, October 24-November 1: 9:00AM-5:00PM", 
Illinois ,DuPage County,VBM Ballot Dropbox in Parking Lot,Community Venue,421 N County Farm Rd,,Wheaton,IL,60187,"September 24-November 2: 12:00AM-11:59PM, Monday-Friday, September 24-November 3: 7:00AM-4:30PM, Tuesday, November 3: 12:00AM-7:00PM",In south 421 parking lot in middle row
Illinois ,Lake County,Gurnee Village Hall,Community Venue,325 N O'Plaine RD,,Gurnee,IL,60031,Begins on October 19 and concludes November 1: Monday-Friday: 8:30AM-7:00PM; Saturday-Sunday: 9:00AM-5:00PM ,Inside door to Early Voting room
