state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
iowa,Adair,Auditor,Elections Office,400 Public Square,Ste 5,Greenfield,IA,50849,641-743-2546,www.adaircountyiowa.org/departments/auditor/,auditor@adaircountyiowa.org,641-743-2565
iowa,Adams,Auditor,Elections Office,500 9th Street,,Corning,IA,50841,641-322-3340,www.adamscountyia.com,acaudit@adamscountyia.com,641-322-4647
iowa,Allamakee,Auditor,Elections Office,110 Allamakee,,Waukon,IA,52172,563-568-3522,www.allamakee.us/auditor,dbeyer@co.allamakee.ia.us,563-568-4978
iowa,Appanoose,Auditor,Elections Office,201 N. 12th Street,,Centerville,IA,52544,641-856-6191,www.appanoose.org,khoward@appanoosecounty.net,641-856-8023
iowa,Audubon,Auditor,Elections Office,318 Leroy Street,#4,Audubon,IA,50025,712-563-2584,www.auduboncounty.com/county-information/auditor.aspx,audcoaud@auduboncountyia.gov,712-563-2428
iowa,Benton,Auditor,Elections Office,111 E. 4th Street,,Vinton,IA,52349,319-472-2365,www.bentoncountyiowa.org/departments/administration-business-finance/auditor/,hrippel@co.benton.ia.us,319-472-3692
iowa,Black Hawk,Auditor,Elections Office,316 E. 5th Street,,Waterloo,IA,50703,319-833-3007,www.co.black-hawk.ia.us,gveeder@co.black-hawk.ia.us,319-833-3119
iowa,Boone,Auditor,Elections Office,201 State Street,,Boone,IA,50036,515-433-0502,www.boonecounty.iowa.gov,boonecoaud@boonecounty.iowa.gov,515-432-8102
iowa,Bremer,Auditor,Elections Office,415 E. Bremer Ave.,,Waverly,IA,50677,319-352-0340,www.co.bremer.ia.us,swolf@co.bremer.ia.us,319-352-0290
iowa,Buchanan,Auditor,Elections Office,210 5th Avenue NE,,Independence,IA,50644,319-334-4109,www.buchanancountyiowa.org/departments/auditor/index.php,cgosse@co.buchanan.ia.us,319-334-4234
iowa,Buena Vista,Auditor,Elections Office,215 E. 5th Street,,Storm Lake,IA,50588,712-749-2542,www.bvcountyiowa.com/index.php/auditor/,slloyd@bvcountyiowa.com,712-749-2703
iowa,Butler,Auditor,Elections Office,428 6th Street,,Allison,IA,50602,319-267-2670,www.butlercoiowa.org,auditor@butlercoiowa.org,319-267-2625
iowa,Calhoun,Auditor,Elections Office,416 4th Street,Ste. 1,Rockwell City,IA,50579,712-297-7741,www.calhouncountyiowa.com,rbatz@calhouncountyiowa.com,712-297-7382
iowa,Carroll,Auditor,Elections Office,114 E. 6th Street,,Carroll,IA,51401,712-792-9802,carrollcountyiowa.org/pview.aspx?id=20961&catid=563,kirlbeck@carrollcountyiowa.org,712-775-2148
iowa,Cass,Auditor,Elections Office,5 W. 7th Street,,Atlantic,IA,50022,712-243-4570,www.atlanticiowa.com/county/county-departments/auditors-office/,auditor@casscoia.us,712-243-4572
iowa,Cedar,Auditor,Elections Office,400 Cedar Street,,Tipton,IA,52772,563-886-3168,www.cedarcounty.org,cdauber@cedarcounty.org,563-886-3339
iowa,Cerro Gordo,Auditor,Elections Office,220 N. Washington Ave.,,Mason City,IA,50401,641-421-3034,www.cerrogordoauditor.gov,awedmore@cgcounty.org,641-421-3139
iowa,Cherokee,Auditor,Elections Office,520 W. Main,Drawer H,Cherokee,IA,51012,712-225-6704,www.cherokeecountyiowa.com/offices/auditor/index.htm,kglienke@co.cherokee.ia.us,712-225-6708
iowa,Chickasaw,Auditor,Elections Office,8 E. Prospect,Box 311,New Hampton,IA,50659,641-394-2100,www.chickasawcoia.org/auditor-elections/,ccauditor@hotmail.com,641-394-5541
iowa,Clarke,Auditor,Elections Office,100 S. Main,,Osceola,IA,50213,641-342-3315,www.clarkecountyiowa.org,jwhite@clarkecountyiowa.org,641-342-1592
iowa,Clay,Auditor,Elections Office,300 W. 4th St.,Ste. 4,Spencer,IA,51301,712-262-1569,www.co.clay.ia.us,mpitts@co.clay.ia.us,712-262-5793
