state,county,location_name,location_type,address_1,address_2,city,zip,state_2,phone,email,fax,hours,Timezone
Kansas,Allen,County Election Officer,Elections Office,1 N. Washington ,,Iola,66749,KS,(620)365-1407,coclerk@allencounty.org,(620)365-1441,Monday-Friday:8:00AM - 5:00PM,
Kansas,Anderson,County Election Officer,Elections Office,100 E 4th Ave ,,Garnett,66032,KS,(785)448-6841,jwettstein@andersoncountyks.org,(785)448-3205,Monday-Friday:8:00AM - 5:00PM,
Kansas,Atchison,County Election Officer,Elections Office,423 N 5th St. ,,Atchison,66002,KS,(913)804-6030,mphillips@atcoks.org,(913)367-0227,Monday-Friday:8:30AM - 5:00PM,
Kansas,Barber,County Election Officer,Elections Office,120 E Washington ,,Medicine Lodge,67104,KS,(620)886-3961,dwesley@barber.ks.gov,(620)886-5425,Monday-Friday:8:30AM - 5:00PM,
Kansas,Barton,County Election Officer,Elections Office,1400 Main Street ,Ste 202,Great Bend,67530,KS,(620)793-1835,clerk@bartoncounty.org,(620)793-1990,Monday-Friday:8:00AM - 5:00PM,
Kansas,Bourbon,County Election Officer,Elections Office,210 S. National Fort ,,Scott,66701,KS,(620)223-3800,countyclerk@bourboncountyks.org,(620)223-5832,Monday-Friday:8:30AM - 4:30PM,
Kansas,Brown,County Election Officer,Elections Office,601 Oregon St ,,Hiawatha,66434,KS,(785)742-2581,mgormley@brcoks.org,(785)742-7705,Monday-Friday:8:00AM - 5:00PM,
Kansas,Butler,County Election Officer,Elections Office,205 W Central Ave  ,2nd Floor,El Dorado,67042,KS,(316)322-4229,elections@bucoks.com,(316)321-1011,Monday-Friday:8:00AM - 5:00PM,
Kansas,Chase,County Election Officer,Elections Office,PO Box 529,, Cottonwood Falls,66845,KS,(620)273-6423,clerk@chasecountyks.com,(620)273-6581,Monday-Friday:8:00AM - 5:00PM,
Kansas,Chautauqua,County Election Officer,Elections Office,215 N Chautauqua ,,Sedan,67361,KS,(620)725-5800,cqclerk@gmail.com,(620)725-5801,Monday-Friday:8:00AM - 4:00PM,
Kansas,Cherokee,County Election Officer,Elections Office,110 W. Maple St. ,,Columbus,66725,KS,(620)429-2042,kyle.clerk@cherokeecounty-ks.gov,(620)429-1042,Monday-Friday:8:00AM - 5:00PM,
Kansas,Cheyenne,County Election Officer,Elections Office,212 E Washington St ,,Francis,67756,KS,(785)332-8800,cnclerk@cncoks.us,(785)332-8825,Monday-Friday: 08:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Clark,County Election Officer,Elections Office, 913 Highland ,,Ashland,67831,KS,(620)635-2813,cacoclrk@ucom.net,(620)635-2051,Monday-Friday:8:00AM - 5:00PM,
Kansas,Clay,County Election Officer,Elections Office,712 5th Street ,Suite 102,Clay Center,67432,KS,(785)632-2552,cyclerk@claycountykansas.org,(785)632-5856,Monday-Friday:8:00AM - 5:00PM,
Kansas,Cloud,County Election Officer,Elections Office,811 Washington ,,Concordia,66901,KS,(785)243-8110,clerk@cloudcountyks.org,(785)243-8123,Monday-Friday:8:00AM - 4:30PM,
Kansas,Coffey,County Election Officer,Elections Office,110 S. 6th ,Rm 202,Burlington,66839,KS,(620)364-2191,angiek@coffeycountyks.org,(620)265-0022,Monday-Friday:8:00AM - 5:00PM,
Kansas,Comanche,County Election Officer,Elections Office, 201 S New York ,,Coldwater,67029,KS,(620)582-2361,bbayne@cmcounty.co,(620)582-2426,Monday-Friday:09:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Cowley,County Election Officer,Elections Office,321 E. 10th Avenue ,,Winfield,67156,KS,(620)221-5495,kmadison@cowleycounty.org,(620)221-5498,Monday-Friday:8:00AM - 5:00PM,
Kansas,Crawford,County Election Officer,Elections Office,111 E Forest,,Girard,66743,KS,(620)724-6115,countyclerk@ckt.net,(620)724-6007,Monday-Friday:8:30AM - 4:30PM,
