state,county,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,notes
Kentucky,Adair,County Clerk,424 Public Square,Suite 3,Columbia,KY,42728-1465,(270) 384-2801,http://adairwp.clerkinfo.net/,lisa.greer@ky.gov,(270) 384-4805,"424 Public Square, Suite 3, Columbia, KY 42728-1465"
Kentucky,Allen,County Clerk,201 West Main Street,Room 6,Scottsville,KY,42164,(270) 237-3706,https://allen.countyclerk.us/,elaine.williams@ky.gov,(270) 237-9206,"201 West Main Street, Room 6 PO Box Scottsville, KY 42164"
Kentucky,Anderson,County Clerk,100 South Main Street,,Lawrenceburg,KY,40342,(502) 839-3041,https://anderson.countyclerk.us/,andersonountyclerk@ky.gov,(502) 839-3043,"100 South Main Street, Lawrenceburg, KY 40342"
Kentucky,Ballard,County Clerk,132 North 4th Street,,Wickliffe,KY,42087-0145,(270) 335-5168,https://ballardwp.clerkinfo.net/,katie.mercer@ky.gov,(270) 335-3081,"132 North 4th Street, PO Box 145 Wickliffe, KY 42087-0145"
Kentucky,Barren,County Clerk,117-1A North Public Square,,Glasgow,KY,42141,(270) 651-3783,https://barren.countyclerk.us/,Helena.Birdwell@ky.gov,(270) 651-1083,"117-1A North Public Square, Glasgow, KY 42141"
Kentucky,Bath,County Clerk,17 West Main Street,,Owingsville,KY,40360-0609,(606) 674-2613,http://bath.clerkinfo.net/,roger.coyle@ky.gov,(606) 674-9526,"17 West Main Street, PO Box 609 Owingsville, KY 40360-0609"
Kentucky,Bell,County Clerk,101 Courthouse Square,Suite 200,Pineville,KY,40977-0157,(606) 337-6143,https://bellcountyclerk.ky.gov/,debbie.gambrel@ky.gov,(606) 337-5415,"101 Courthouse Square, Suite 200, P.O. Box 157 Pineville, KY 40977-0157"
Kentucky,Boone,County Clerk,2950 East Washington Street,,Burlington,KY,41005-0874,(859) 334-2108,https://boone.countyclerk.us/,jcrigler@boonecountyky.org,(859) 334-2193,"2950 East Washington Street, P.O. Box 874 Burlington, KY 41005-0874"
Kentucky,Bourbon,County Clerk,301 Main Street,Suite 106,Paris,KY,40362-0312,(859) 987-2142,http://bourbon.clerkinfo.net,richard.eads@ky.gov,(859) 987-5660,"301 Main Street, Suite 106, PO Box 312 Paris, KY 40362-0312"
Kentucky,Boyd,County Clerk,2800 Louisa Street,,Catlettsburg,KY,41129-0523,(606) 739-5116,https://boyd.countyclerk.us,scampbell@boydky.com,(606) 739-0430,"2800 Louisa Street, PO Box 523 Catlettsburg, KY 41129-0523"
Kentucky,Boyle,County Clerk,321 West Main Street,Room 123,Danville,KY,40422,(859) 238-1110,https://boyle.countyclerk.us,trille.bottom@ky.gov,(859) 238-1114,"321 West Main Street, Room 123, Danville, KY 40422"
Kentucky,Bracken,County Clerk,116 West Main Street,,Brooksville,KY,41004,(606) 735-2952,https://brackencountyclerk.ky.gov,raejean.poe@ky.gov,(606) 735-2687,"321 West Main Street, Room 123, Danville, KY 40422"
Kentucky,Breathitt,County Clerk,1137 Main Street,,Jackson,KY,41339,(606) 666-3800 x 282,https://breathittcounty.ky.gov,beckycurtis04@yahoo.com,(606) 666-3817,"1137 Main Street, Jackson, KY 41339"
Kentucky,Breckinridge,County Clerk,208 South Main Street,,Hardinsburg,KY,40143-0538,(270) 756-6166,,jaredbutler@ky.gov,(270) 756-1569,"208 South Main Street, P.O. Box 538 Hardinsburg, KY 40143-0538"
Kentucky,Bullitt,County Clerk,149 North Walnut Street,,Shepherdsville,KY,40165,(502) 543-2513,https://www.bullittcountyclerk.com/,kevin.mooney@ky.gov,(502) 543-9121,"149 North Walnut Street, P.O. Box 6 Shepherdsville, KY 40165"
Kentucky,Butler,County Clerk,110 North Main Street,,Morgantown,KY,42261,(270)-526-5676,https://butlercounty.ky.gov/County-Government/Pages/County-Clerk.aspx,sherrye.johnson@ky.gov,(270) 526-2658,"110 North Main Street, P.O. Box 449 Morgantown, KY 42261"
Kentucky,Caldwell,County Clerk,100 East Market Street,Room 23,Princeton,KY,42445,(270) 365-6754,https://caldwellcounty.ky.gov/,toni.watson@ky.gov,(270) 365-7447,"100 East Market Street, Room 23, Princeton, KY 42445"
Kentucky,Calloway,County Clerk,101 South 5th Street,Suite 5,Murray,KY,42071-2569,(270) 753-3923,http://calloway.clerkinfo.net/,antonia.faulkner@ky.gov,(270) 759-9611,"101 South 5th Street, Suite 5, Murray, KY 42071-2569"
Kentucky,Campbell,County Clerk,8330 West Main Street,,Alexandria,KY,41001,859 635-2151,http://campbellcountyclerkky.com,jim.luersen@ky.gov,(859) 292-3887,"8330 West Main Street Alexandria, KY 41001"
Kentucky,Carlisle,County Clerk,985 US HWY 62,,Bardwell,KY,42023-0176,(270) 628-3233,https://carlisle.countyclerk.us/,Becky.Martin@ky.gov,(270) 628-0191,"985 US HWY 62, PO Box 176 Bardwell, KY 42023-0176"
Kentucky,Carroll,County Clerk,440 Main Street,1st Floor Courthouse,Carrollton,KY,41008,(502) 732-7005,http://www.carrollcountygov.us/clerk.asp,alice.marsh@ky.gov,(502) 732-7007,"440 Main Street, 1st Floor Courthouse, Carrollton, KY 41008"
Kentucky,Carter,County Clerk,300 West Main Street,Room 232,Grayson,KY,41143,(606) 474-5188,http://www.cartercountyclerksoffice.org/,mike.johnston@ky.gov,(606) 474-2719,"300 West Main Street, Room 232, Grayson, KY 41143"
Kentucky,Casey,County Clerk,625 Campbellsville Street,,Liberty,KY,42539-0310,(606) 787-6471,http://casey.clerkinfo.net/,casey.davis@ky.gov,(606) 787-9155,"625 Campbellsville Street, P.O. Box 310 Liberty, KY 42539-0310"
Kentucky,Christian,County Clerk,511 South Main Street,,Hopkinsville,KY,42240,(270) 887-4105,http://www.christiancountyky.gov/county-clerk.htm,michael.kem@ky.gov,(270) 887-4186,"511 South Main Street, Hopkinsville, KY 42240"
