state,county,location_name,location_type ,address_1,address_2,city,state_2,zip,phone,email,fax
Louisiana,Acadia,,Elections Office,568 NW COURT CIRCLE,,CROWLEY,LA,70526-4363,(337) 788-8841,ACADIAROV@SOS.LA.GOV,(337) 788-3571
Louisiana,Allen,ALLEN PARISH REGISTRAR OF VOTERS OFFICE,Elections Office,105 N FIFTH ST,,OBERLIN,LA,70655,(337) 639-4966,ALLENROV@SOS.LA.GOV,(337) 639-4691
Louisiana,Ascension,COURTHOUSE ANNEX,Elections Office,828 S IRMA BLVD,RM #205,GONZALES,LA,70737-3631,(225) 621-5780,ASCENSIONROVA@SOS.LA.GOV,(225) 621-5783
Louisiana,Ascension,COURTHOUSE WEST,Elections Office,300 HOUMAS ST,STE B,DONALDSONVILLE,LA,70346,(225) 473-7906,ASCENSIONROVB@SOS.LA.GOV,(225) 473-7574
Louisiana,Assumption,COURTHOUSE,Elections Office,4809 HIGHWAY 1,,NAPOLEONVILLE,LA,70390-0578,(985) 369-7347,ASSUMPTIONROV@SOS.LA.GOV,(985) 369-2976
Louisiana,Avoyelles,AVOYELLES PARISH COURTHOUSE,Elections Office,312 N MAIN,SUITE E,MARKSVILLE,LA,71351-2409,(318) 253-7129,AVOYELLESROV@SOS.LA.GOV,(318) 253-0359
Louisiana,Beauregard,,Elections Office,204 S STEWART,,DERIDDER,LA,70634-4050,(337) 463-7955,BEAUREGARDROV@SOS.LA.GOV,(337) 463-7986
Louisiana,Bienville,BIENVILLE PARISH COURTHOUSE,Elections Office,100 COURTHOUSE DR,STE 1400 (200 GAP FARM RD),ARCADIA,LA,71001-1001,(318) 263-7407,BIENVILLEROV@SOS.LA.GOV,(318) 263-4101
Louisiana,Bossier,BOSSIER PARISH COURTHOUSE,Elections Office,204 BURT BLVD,SECOND FLOOR,BENTON,LA,71006,(318) 965-2301,BOSSIERROV@SOS.LA.GOV,(318) 965-3760
Louisiana,Caddo,,Elections Office,525 MARSHALL,SUITE 103,SHREVEPORT,LA,71101,(318) 226-6891,CADDOROV@SOS.LA.GOV,(318) 226-6969
Louisiana,Calcasieu,PARISH COURTHOUSE,Elections Office,1000 RYAN ST,RM 7,LAKE CHARLES,LA,70601-5250,(337) 721-4000,CALCASIEUROV@SOS.LA.GOV,(337) 437-3389
Louisiana,Caldwell,COURTHOUSE,Elections Office,201 MAIN ST,SUITE 4,COLUMBIA,LA,71418-1107,(318) 649-7364,CALDWELLROV@SOS.LA.GOV,(318) 649-7320
Louisiana,Cameron,CAMERON WEST ANNEX,Elections Office,148 SMITH CIRCLE,,CAMERON,LA,70631-0001,(337) 775-5493,CAMERONROV@SOS.LA.GOV,(337) 775-8014
Louisiana,Catahoula,COURTHOUSE,Elections Office,301 BUSHLEY ST,RM 103,HARRISONBURG,LA,71340,(318) 744-5745,CATAHOULAROV@SOS.LA.GOV,(318) 744-2010
Louisiana,Claiborne,CLAIBORNE PARISH POLICE JURY OFFICE COMPLEX,Elections Office,507 W. MAIN ST,STE 1,HOMER,LA,71040-3929,(318) 927-3332,CLAIBORNEROV@SOS.LA.GOV,(318) 927-3345
Louisiana,Concordia,NEW CRTHSE,Elections Office,4001 CARTER ST,SUITE K,VIDALIA,LA,71373-3021,(318) 336-7770,CONCORDIAROV@SOS.LA.GOV,(318) 336-9906
Louisiana,De Soto,,Elections Office,104 CROSBY ST,,MANSFIELD,LA,71052-2046,(318) 872-1149,DESOTOROV@SOS.LA.GOV,(318) 872-1153
Louisiana,East Baton Rouge,CITY HALL,Elections Office,222 ST.LOUIS ST,#201,BATON ROUGE,LA,70802-5860,(225) 389-3940,EASTBATONROUGEROVA@SOS.LA.GOV,(225) 389-5340
Louisiana,East Baton Rouge,MOTOR VEHICLE BLDG,Elections Office,2250 MAIN ST,,BAKER,LA,70714-2529,(225) 389-5206,EASTBATONROUGEROVA@SOS.LA.GOV,
Louisiana,East Baton Rouge,FIRE STATION BLDG,Elections Office,11010 COURSEY BLVD,,BATON ROUGE,LA,70816,(225) 389-7682,EASTBATONROUGEROVA@SOS.LA.GOV,
Louisiana,East Carroll,NEW COURTHOUSE BLDG.,Elections Office,400 1ST ST,,LAKE PROVIDENCE,LA,71254-2695,(318) 559-2015,EASTCARROLLROV@SOS.LA.GOV,(318) 559-5110
Louisiana,East Feliciana,,Elections Office,11048 BANK ST,,CLINTON,LA,70722,(225) 683-3105,EASTFELICIANAROV@SOS.LA.GOV,(225) 683-9464
Louisiana,Evangeline,EVANGELINE PARISH COURTHOUSE,Elections Office,200 COURT ST,STE 102,VILLE PLATTE,LA,70586-4463,(337) 363-5538,EVANGELINEROV@SOS.LA.GOV,(337) 363-5530
Louisiana,Evangeline,MAMOU LIBRARY,Elections Office,317 2ND ST,,MAMOU,LA,70554,(337) 468-5750,EVANGELINEROV@SOS.LA.GOV,
Louisiana,Evangeline,BASILE CITY HALL,Elections Office,3211 RAILROAD ST,,BASILE,LA,70515,(337) 432-6692,EVANGELINEROV@SOS.LA.GOV,
Louisiana,Franklin,,Elections Office,6560 MAIN ST,,WINNSBORO,LA,71295-2750,(318) 435-4489,FRANKLINROV@SOS.LA.GOV,(318) 435-4416
Louisiana,Grant,COURTHOUSE,Elections Office,200 MAIN ST,,COLFAX,LA,71417-1828,(318) 627-9938,GRANTROV@SOS.LA.GOV,(318) 627-9940
Louisiana,Iberia,IBERIA PARISH COURTHOUSE,Elections Office,300 S. IBERIA ST,STE 110,NEW IBERIA,LA,70560-4543,(337) 369-4407,IBERIAROV@SOS.LA.GOV,(337) 369-4409
Louisiana,Iberville,IBERVILLE PARISH COURTHOUSE- REGISTRAR OF VOTERS,Elections Office,58050 MERIAM ST,ROOM 209,PLAQUEMINE,LA,70764-2717,(225) 687-5201,IBERVILLEROV@SOS.LA.GOV,(225) 687-5235
Louisiana,Jackson,JACKSON PARISH COURTHOUSE,Elections Office,500 E. COURT ST,ROOM 102,JONESBORO,LA,71251-3400,(318) 259-2486,JACKSONROV@SOS.LA.GOV,(318) 259-5671
Louisiana,Jefferson,JOSEPH YENNI PARISH BUILDING,Elections Office,1221 ELMWOOD PARK BLVD,RM 502,HARAHAN,LA,70123,(504) 736-6191,JEFFERSONROVA@SOS.LA.GOV,(504) 736-6197
Louisiana,Jefferson,CHARLES ODOM BUILDING,Elections Office,5001 WEST BANK EXPRESSWAY,SUITE C-2,MARRERO,LA,70072,(504) 349-5690,JEFFERSONROVB@SOS.LA.GOV,(504) 349-5695
Louisiana,Jefferson,,Elections Office,408 MINOR ST,,KENNER,LA,70062,(504) 467-5168,JEFFERSONROVC@SOS.LA.GOV,(504) 469-4193
Louisiana,Jefferson Davis,,Elections Office,302 N CUTTING AVE,,JENNINGS,LA,70546-5361,(337) 824-0834,JEFFERSONDAVISROV@SOS.LA.GOV,(337) 824-0821
Louisiana,Lafayette,,Elections Office,1010 LAFAYETTE ST,SUITE 313,LAFAYETTE,LA,70501-6885,(337) 291-7140,LAFAYETTEROV@SOS.LA.GOV,(337) 291-7143
Louisiana,Lafourche,LAFOURCHE GOVERNMENT COMPLEX,Elections Office,307 WEST 4TH STREET,,THIBODAUX,LA,70301-3105,(985) 447-3256,LAFOURCHEROVA@SOS.LA.GOV,(985) 447-3277
Louisiana,Lafourche,SOUTH LAFOURCHE LIBRARY,Elections Office,16241 EAST MAIN STREET,SUITE B23,GALLIANO,LA,70354,(985) 632-5520,LAFOURCHEROVA@SOS.LA.GOV,(985) 632-1133
Louisiana,Lasalle,LASALLE PARISH HOMELAND SECURITY BLDG,Elections Office,1009 COURTHOUSE ST,SUITE B,JENA,LA,71342,(318) 992-2254,LASALLEROV@SOS.LA.GOV,(318) 992-7309
Louisiana,Lincoln,LINCOLN PARISH COURTHOUSE,Elections Office,100 W. TEXAS AVE,RM 10,RUSTON,LA,71270-4463,(318) 251-5110,LINCOLNROV@SOS.LA.GOV,(318) 251-5126
Louisiana,Livingston,,Elections Office,29938 S MAGNOLIA ST,,LIVINGSTON,LA,70754,(225) 686-3054,LIVINGSTONROV@SOS.LA.GOV,(225) 686-3055
Louisiana,Madison,COURTHOUSE,Elections Office,100 N CEDAR ST,,TALLULAH,LA,71282-3892,(318) 574-2193,MADISONROV@SOS.LA.GOV,(318) 574-2193
Louisiana,Morehouse,COURTHOUSE ANNEX,Elections Office,129 N. FRANKLIN,,BASTROP,LA,71220-3815,(318) 281-1434,MOREHOUSEROV@SOS.LA.GOV,(318) 281-0929
Louisiana,Natchitoches,NATCHITOCHES PARISH COURTHOUSE,Elections Office,200 CHURCH ST,OFFICE 103,NATCHITOCHES,LA,71457-4673,(318) 357-2211,NATCHITOCHESROV@SOS.LA.GOV,(318) 357-2212
Louisiana,Orleans,CITY HALL,Elections Office,1300 PERDIDO ST,#1W24,NEW ORLEANS,LA,70112-2127,(504) 658-8300,ORLEANSROVA@SOS.LA.GOV,(504) 658-8315
Louisiana,Orleans,ALGIERS COURTHOUSE,Elections Office,225 MORGAN ST,RM#105,NEW ORLEANS,LA,70114,(504) 658-8323,ORLEANSROVC@SOS.LA.GOV,(504) 658-0196
Louisiana,Ouachita,REGISTRAR OF VOTERS,Elections Office,1650 DESIARD ST,SUITE 125,MONROE,LA,71201-7722,(318) 327-1436,OUACHITAROV@SOS.LA.GOV,(318) 327-1337
Louisiana,Plaquemines,PLAQUEMINES PARISH GOVT. BLDG.,Elections Office,28028 HWY 23,,PORT SULPHUR,LA,70083,(504) 934-3620,PLAQUEMINESROV@SOS.LA.GOV,(504) 934-3625
Louisiana,Pointe Coupee,COURTHOUSE,Elections Office,211 EAST MAIN STREET,,NEW ROADS,LA,70760-3661,(225) 638-5537,POINTECOUPEEROV@SOS.LA.GOV,(225) 638-5545
Louisiana,Rapides,RAPIDES PARISH COURTHOUSE,Elections Office,701 MURRAY ST,,ALEXANDRIA,LA,71301-8060,(318) 473-6770,RAPIDESROV@SOS.LA.GOV,(318) 473-6601
Louisiana,Red River,RED RIVER PARISH COURTHOUSE,Elections Office,615 E. CARROLL ST,#104,COUSHATTA,LA,71019-8537,(318) 932-5027,REDRIVERROV@SOS.LA.GOV,(318) 932-5086
Louisiana,Richland,COURTHOUSE,Elections Office,708 JULIA ST,#B-102,RAYVILLE,LA,71269-0368,(318) 728-3582,RICHLANDROV@SOS.LA.GOV,(318) 728-7028
Louisiana,Sabine,COURTHOUSE,Elections Office,400 CAPITOL ST,#107,MANY,LA,71449-3098,(318) 256-3697,SABINEROV@SOS.LA.GOV,(318) 256-5944
Louisiana,St. Bernard,ST BERNARD PARISH GOVERNMENT,Elections Office,8201 W. JUDGE PEREZ DR,RM #104,CHALMETTE,LA,70043-1696,(504) 278-4232,ST.BERNARDROV@SOS.LA.GOV,(504) 277-0470
Louisiana,St. Charles,COURTHOUSE,Elections Office,15045 RIVER RD,#189,HAHNVILLE,LA,70057-2106,(985) 783-5120,ST.CHARLESROVA@SOS.LA.GOV,(985) 783-5121
Louisiana,St. Helena,NFC BUILDING - 1ST FLOOR,Elections Office,23 S. MAIN ST,SUITE A,GREENSBURG,LA,70441,(225) 222-4440,ST.HELENAROV@SOS.LA.GOV,(225) 222-3040
Louisiana,St. James,ST JAMES PARISH COURTHOUSE,Elections Office,5800 LA 44,SECOND FLOOR,CONVENT,LA,70723-0106,(225) 562-2445,ST.JAMESROVA@SOS.LA.GOV,(225) 562-2331
Louisiana,St. James,ST JAMES PARISH COURTHOUS ANNEX,Elections Office,2631 LA 20 WEST,,VACHERIE,LA,70090,(225) 562-2403,ST.JAMESROVB@SOS.LA.GOV,(225) 562-2331
Louisiana,St. John The Baptist,,Elections Office,1811 W. AIRLINE HWY,,LAPLACE,LA,70068-3345,(985) 359-0175,ST.JOHNROVA@SOS.LA.GOV,(985) 359-0335
Louisiana,St. John The Baptist,,Elections Office,2393 HWY. 18,,EDGARD,LA,70049-3344,(985) 331-4559,ST.JOHNROVB@SOS.LA.GOV,(985) 652-9797
Louisiana,St. Landry,COURTHOUSE,Elections Office,118 S. COURT ST,SUITE 114,OPELOUSAS,LA,70570-5166,(337) 948-0572,ST.LANDRYROV@SOS.LA.GOV,(337) 948-0575
Louisiana,St. Landry,EUNICE CITY HALL,Elections Office,300 S. SECOND STREET,,EUNICE,LA,70535,(337) 948-0572,ST.LANDRYROV@SOS.LA.GOV,(337) 948-0575
Louisiana,St. Martin,ST. MARTIN PARISH COURTHOUSE ANNEX,Elections Office,415 SAINT MARTIN STREET,,ST MARTINVILLE,LA,70582-4549,(337) 394-2204,ST.MARTINROV@SOS.LA.GOV,(337) 342-2164
Louisiana,St. Mary,ST MARY PARISH COURTHOUSE,Elections Office,500 MAIN ST,STE. 301,FRANKLIN,LA,70538-6144,(337) 828-4100,ST.MARYROVA@SOS.LA.GOV,(337) 829-9901
Louisiana,St. Mary,ST MARY PARISH ANNEX BUILDING,Elections Office,301 THIRD ST,,MORGAN CITY,LA,70380,(985) 384-8638,ST.MARYROVB@SOS.LA.GOV,(985) 384-8660
Louisiana,St. Tammany,ST. TAMMANY JUSTICE CENTER PARKING GARAGE,Elections Office,601 N JEFFERSON AVE,,COVINGTON,LA,70433,(985) 809-5500,ST.TAMMANYROVA@SOS.LA.GOV,(985) 809-5508
