state,county,location_type,location_name,address1,address2,city,state_2,zip,notes,dates,hours
Maryland,Allegany,dropbox,Allegany County Office Complex,701 Kelly Road,,Cumberland,MD,21502,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Annapolis High School,2700 Riva Road,,Annapolis,MD,21401,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Anne Arundel County Board of Elections,6740 Baymeadow Drive,,Glen Burnie,MD,21060,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Arundel High School,1001 Annapolis Road,,Gambrills,MD,21054,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Broadneck High School,1265 Green Holly Drive,,Annapolis,MD,21409,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Brock Bridge Elementary School,405 Brock Bridge Road,,Laurel,MD,20724,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Chesapeake High School,4798 Mountain Road,,Pasadena,MD,21122,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Crofton Middle School,2301 Davidsonville Road,,Gambrills,MD,21054,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Earleigh Heights Volunteer Fire Hall,161 Ritchie Highway,,Severna Park,MD,21146,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Glen Burnie High School,7550 Baltimore Annapolis Boulevard,,Glen Burnie,MD,21060,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Meade High School,1100 Clark Road,,Ft Meade,MD,20755,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,North County High School,10 East 1st Avenue,,Glen Burnie,MD,21061,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Northeast High School,1121 Duvall Highway,,Pasadena,MD,21122,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Old Mill High School,600 Patriot Lane,,Millersville,MD,21108,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Pip Moyer Recreation Center,273 Hilltop Lane,,Annapolis,MD,21403,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Severna Park High School,60 Robinson Road,,Severna Park,MD,21146,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,South River High School,201 Central Avenue East,,Edgewater,MD,21037,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Southern High School,4400 Solomons Island Road,,Harwood,MD,20776,,2020/09/30,continuously
Maryland,Anne Arundel,dropbox,Van Bokkelen Elementary School,1140 Reece Road,,Severn,MD,21144,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Achievement Academy at Harbor City High School 413,2201 Pinewood Avenue,,Baltimore,MD,21214,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Baltimore City Board of Elections,417 E Fayette Street,,Baltimore,MD,21202,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Baltimore Museum of Art,10 Museum Drive,,Baltimore,MD,21218,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Baltimore City Community College (BCCC) - Liberty Heights Campus,2901 Liberty Heights Avenue,,Baltimore,MD,21215,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Cross Country @ Northwestern School 247,6900 Park Heights Avenue,,Baltimore,MD,21215,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Edmondson High School 400,501 N Athol Avenue,,Baltimore,MD,21229,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Holabird Academy 229,1500 Imla Street,,Baltimore,MD,21224,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Morgan State University (Hurt Gymnasium),1700 E Cold Spring Lane,,Baltimore,MD,21251,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Mount Pleasant Church and Ministries,6000 Radecke Avenue,,Baltimore,MD,21206,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,New Era Academy,2700 Seamon Avenue,,Baltimore,MD,21225,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Oriole Park @ Camden Yards (2 boxes),333 W Camden Street,,Baltimore,MD,21201,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Paul Laurence Dunbar High School 414,1400 Orleans Street,,Baltimore,MD,21231,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Public Safety Training Center,3500 W Northern Parkway,,Baltimore,MD,21215,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Reach! Partnership School 341,2555 Harford Road,,Baltimore,MD,21218,,2020/09/30,continuously
Maryland,Baltimore City,dropbox,Southeast Anchor Library,3601 Eastern Avenue,,Baltimore,MD,21224,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Arbutus Recreation Center,865 Sulphur Spring Road,,Baltimore,MD,21227,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Baltimore County Board of Elections,11112 Gilroy Road,,Hunt Valley,MD,21031,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,County Campus Metro Centre at Owings Mills,10302 Grand Central Avenue,,Owings Mills,MD,21117,,2020/09/30,continuously
