state,county,location_type,authority_name,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
Maryland,Allegany,Elections Office,Diane Loibel Election Director,701 Kelly Road Suite 231 ,,Cumberland,MD,21502-3401,301-777-5931,http://alleganygov.org/158/Election-Office,elections@alleganygov.org,301-777-2430
Maryland,Anne Arundel,Elections Office,Joseph A. Torre III Election Director,417 E. Fayette Street Room 129 ,,Hunt Valley,MD,21031,410-222-6600,https://www.aacounty.org/boards-and-commissions/board-of-elections/,elections@aacounty.org,410-222-6833
Maryland,Baltimore City,Elections Office,Armstead B. C. Jones Sr. Election Director,417 E. Fayette Street Room 129 ,,Hunt Valley,MD,21031,410-396-5550,http://boe.baltimorecity.gov,election.judge@baltimorecity.gov,410-962-8747
Maryland,Baltimore County,Elections Office,Katie Brown Election Director,11112 Gilroy Road Suite 104 ,,Hunt Valley,MD,21031,410-887-5700,http://www.baltimorecountymd.gov/Agencies/elections/index.html,lections@baltimorecountymd.gov,410-887-0894
Maryland,Calvert,Elections Office,Gail L. Hatfield Election Director,30 Duke Street - Lower Level ,,Prince Frederick,MD,20678,410-535-2214,https://www.co.cal.md.us/154/Election-Board,elections@calvertcountymd.gov,410-535-5009
Maryland,Caroline,Elections Office,Allison Murphy Election Director,403 S. Seventh Street Suite 247 ,,Westminster,MD,21157-5248,410-479-8145,http://www.carolinemdelections.org/,election@carolinemd.org,410-479-5736
Maryland,Carroll,Elections Office,Katherine Berry Election Director,300 South Center Street Room 212 ,,Westminster,MD,21157-5248,410-386-2080,https://elections.carrollcountymd.gov/,ccboe@carrollcountymd.gov,410-876-3925
Maryland,Cecil,Elections Office,Ruie Lavoie Election Director,200 Chesapeake Blvd. Suite 1900 ,,Elkton,MD,21921-6395,410-996-5310,http://www.ccgov.org/government/election-board,voting@ccgov.org,888-979-8183
Maryland,Charles,Elections Office,Tracy Dickerson Election Director,201 East Charles Street ,,La Plata,MD,20646,301-934-8972,www.CharlesCounty.org/boe/,elections@charlescountymd.gov,301-934-6487
Maryland,Dorchester,Elections Office,Gwendolyn Dales Election Director,501 Court Lane,,Cambridge,MD,21613,410-228-2560,https://www.docomdelections.org/,Gwendolyn.dales@maryland.gov,410-228-9635
Maryland,Frederick,Elections Office,Stuart Harvey Election Director,340A Montevue Lane ,,Frederick,MD,21702-8214,301-600-8683,www.FrederickCountyMD.gov/elections,electionboard@FrederickCountyMD.gov,301-600-2344
Maryland,Garrett,Elections Office,Steve Fratz Election Director,2008 Maryland Highway Suite 1 ,,Forest Hill,MD,21050,301-334-6985,http://garrettcounty.org/board-of-elections,sfratz@garrettcounty.org,301-334-6988
Maryland,Harford,Elections Office,Kim Slusar Acting Election Director,133 Industry Lane ,,Forest Hill,MD,21050,410-638-3565,http://www.harfordvotes.info/,elections@harfordcountymd.gov,410-638-3310
Maryland,Howard,Elections Office,Guy Mickley Election Director,9770 Patuxent Woods Drive Suite 200 ,,Columbia,MD,21046,410-313-5820,http://www.howardcountymd.gov/BOE,gmickley@howardcountymd.gov,410-313-5899
Maryland,Kent,Elections Office,Cheemoandia Blake Election Director,135 Dixon Drive ,,Chestertown,MD,21620-1141,410-778-0038,www.kentcountyelections.org,elections@kentgov.org,410-778-0265
Maryland,Montgomery,Elections Office,"Margaret A. Jurgensen, Election Director",18753-210 N. Frederick Avenue ,,Gaithersburg,MD,20879-3121,240-777-8500,www.777vote.org/,elections@montgomerycountymd.gov,240-777-8505
Maryland,Prince George's,Elections Office,Alisha Alexander Election Director,1100 Mercantile Lane Suite 115A ,,Largo,MD,20774,301-341-7300,http://www.princegeorgescountymd.gov/559/Board-of-Elections,election@co.pg.md.us,301-341-7391
Maryland,Queen Anne's,Elections Office,Christine Jones Election Director,110 Vincit Street Suite 102 ,,Leonardtown,MD,20650,410-758-0832,www.qacelections.com/,Christine.Jones@maryland.gov,410-758-1119
Maryland,St. Mary's,Elections Office,Wendy Adkins Election Director,23250 Hollywood Road ,,Leonardtown,MD,20650,301-475-4200 ext 71614,http://www.co.saint-marys.md.us/supervisorofelections/,,301-475-4077
Maryland,Somerset,Elections Office,Joanna Emely Election Director,11916 Somerset Avenue ,,Hagerstown,MD,21740,410-651-0767,https://www.somersetmd.us/departments/departments_-_a_-_m/board_of_elections.php,joanna.emely@maryland.gov,410-651-5130
Maryland,Talbot,Elections Office,Jeri Cook Election Director,215 Bay Street ,,Easton,MD,21601,410-770-8099,http://www.talbotcountymd.gov/index.php?page=Election_Board,Jeri.Cook@maryland.gov,410-770-8078
Maryland,Washington,Elections Office,Kaye Robucci Election Director,35 W. Washington Street Room 101 ,,Hagerstown,MD,21740,240-313-2050,http://www.washco-mdelections.org/,WashCo.Elections@maryland.gov,240-313-2062
Maryland,Wicomico,Elections Office,Anthony Gutierrez Election Director,345 Snow Hill Road ,,Salisbury,MD,21804,410-548-4830,http://www.wicomicocounty.org,election@wicomicocounty.org,410-548-4849
Maryland,Worcester,Elections Office,Patricia Jackson Election Director,201 Belt Street Suite C ,,Snow Hill,MD,21863-1310,410-632-1320,http://www.co.worcester.md.us/departments/elections,Worcester.Elections@maryland.gov,410-632-3031
