state,address_1,address_2,city,state_2,email,fax,dropbox_address,dropbox_city,dropbox_notes
Massachusetts,500 Gliniewicz Way,,ABINGTON,MA,lmadams@abingtonma.gov,(781) 982-2138,,,
Massachusetts,472 Main Street,,ACTON,MA,clerk@acton-ma.gov,(978) 929-6340,472 Main Street,,To the right of main entry to Town Hall
Massachusetts,130 Main Street,,ACUSHNET,MA,plabonte@acushnet.ma.us,(508) 998-0216,,,
Massachusetts,8 Park Street,,ADAMS,MA,hmeczywor@town.adams.ma.us,(413) 743-8316,8 Park Street,,In front of Town Hall
Massachusetts,36 Main Street,,AGAWAM,MA,vote@agawam.ma.us,(413) 786-9927,,,
Massachusetts,5 Alford Center Road,,ALFORD,MA,clerk@townofalford.org,(413) 528-4581,5 Alford Center Road,,
Massachusetts,62 Friend Street,,AMESBURY,MA,clerklist@amesburyma.gov,(978) 388-8150,62 Friend Street,,In front of City Hall
Massachusetts,4 Boltwood Avenue,,AMHERST,MA,vote@amherstma.gov,(413) 259-2499,4 Boltwood Avenue,,Main Street side of Town Hall
Massachusetts,36 Bartlet Street,,ANDOVER,MA,townclerk@andoverma.us,(978) 623-8295,36 Bartlet Street,,
Massachusetts,955 State Road,,AQUINNAH,MA,townclerk@aquinnah-ma.gov,(508) 645-7884,955 State Road,,On wall inside first entryway in Town Office building
Massachusetts,730 Massachusetts Avenue,,ARLINGTON,MA,townclerk@town.arlington.ma.us,(781) 316-3079,730 Massachusetts Avenue,,Front of Town Hall
Massachusetts,32 Main Street,,ASHBURNHAM,MA,townclerk@ashburnham-ma.gov,(978) 827-4105,,,
Massachusetts,895 Main Street,,ASHBY,MA,tclerk@ashbyma.gov,(978) 386-2490,895 Main Street,,Next to Town Hall
Massachusetts,412 Main Street,,ASHFIELD,MA,townclerk@ashfield.org,(413) 628-0228,412 Main Street,,By flagpole in front of Town Hall
Massachusetts,101 Main Street,,ASHLAND,MA,townclerkoffice@ashlandmass.com,(508) 881-0145,101 Main Street,,
Massachusetts,584 Main Street,,ATHOL,MA,vote@townofathol.org,(978) 249-2491,584 Main Street,,To the right of main entrance staircase
Massachusetts,77 Park Street,,ATTLEBORO,MA,elections1@cityofattleboro.us,(774) 203-1805,77 Park Street,,By Pine Street entrance to City Hall
Massachusetts,104 Central Street,,AUBURN,MA,townclerkemail@town.auburn.ma.us,(508) 832-4192,104 Central Street,,In front of town Hall
Massachusetts,65 East Main Street,,AVON,MA,vote@avon-ma.gov,(508) 559-0209,65 East Main Street,,
Massachusetts,1 Main Street,,AYER,MA,clerk@ayer.ma.us,(978) 772-3017,1 Main Street,,Facing Main Street
Massachusetts,367 Main Street,,BARNSTABLE,MA,vote@town.barnstable.ma.us,(508) 790-6326,367 Main Street,Hyannis,Facing Main Street
Massachusetts,40 West Street,,BARRE,MA,clerk@townofbarre.com,(978) 355-5025,40 West Street,,To the right of main entrance staircase
Massachusetts,557 Main Street,,BECKET,MA,townclerk@townofbecket.org,(413) 623-6036,557 Main Street,,Town Hall front porch
Massachusetts,10 Mudge Way,,BEDFORD,MA,clerk@bedfordma.gov,(781) 275-5757,10 Mudge Way,,On wall to right of front door
Massachusetts,2 Jabish Street,,BELCHERTOWN,MA,clerk@belchertown.org,(413) 323-0107,,,
Massachusetts,10 Mechanic Street,,BELLINGHAM,MA,lsposato@bellinghamma.org,(508) 657-2832,10 Mechanic Street,,Front door
Massachusetts,455 Concord Avenue,,BELMONT,MA,voting@belmont-ma.gov,(617) 993-2601,455 Concord Avenue,,"Town Hall at base of stairs, parking lot level"
Massachusetts,1 North Main Street,,BERKLEY,MA,townclerk@berkleyma.us,(508) 828-6755,1 North Main Street,,On Town Hall walkway
Massachusetts,23 Linden Street,,BERLIN,MA,townclerk@townofberlin.com,(978) 838-0014,23 Linden Street,,"In lobby, open 24/7"
Massachusetts,38 Church Street,,BERNARDSTON,MA,townclerk@townofbernardston.org,(413) 648-9318,,,
Massachusetts,191 Cabot Street,,BEVERLY,MA,lkent@beverlyma.gov,(978) 921-8511,191 Cabot Street,,"Back of City Hall, outside near accessible parking"
