state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,email,notes
Michigan,Alcona County,Alcona Township,Municipal Office,4892 Lavergne Rd,,Black River,MI,48721,(989) 471-2948,alconaclerk@yahoo.com,Dawn Lalonde
Michigan,Alcona County,Caledonia Township,Municipal Office,6252 Hansen Road,PO Box 7,Spruce,MI,48762,(989) 471-5377,kerryscottclerk@gmail.com,Kerry Scott
Michigan,Alcona County,Curtis Township,Municipal Office,4875 F-30,PO Box 90,Glennie,MI,48737,(989) 370-8855,curtistownshipclerk@hotmail.com,Teresa Perkins
Michigan,Alcona County,Greenbush Township,Municipal Office,5070 Woodland Drive,PO Box 9,Greenbush,MI,48738,(989) 569-3519,shannonstory@charter.net,Shannon Story
Michigan,Alcona County,Gustin Township,Municipal Office,113 S. Second,PO Box 25,Lincoln,MI,48742,(989) 335-0635,gustintownshipclerk@gmail.com,Renee Lavergne
Michigan,Alcona County,Harrisville City,Municipal Office,200 5th St,PO Box 278,Harrisville,MI,48740,(989) 724-6666,harrisville1905@hotmail.com,Barbara Pierce
Michigan,Alcona County,Harrisville Township,Municipal Office,1054 S. Poor Farm Rd.,,Harrisville,MI,48740,(989) 724-6388,rogjamieson@gmail.com,Roger Jamieson
Michigan,Alcona County,Hawes Township,Municipal Office,1341 Fawn Drive,,Lincoln,MI,48742,(989) 736-6919,jrichardson13@frontier.com,Janette Richardson-Stover
Michigan,Alcona County,Haynes Township,Municipal Office,3110 Lake View Circle,,Lincoln,MI,48742,(989) 736-8801,scheffes@charter.net,Sharon Schefferly
Michigan,Alcona County,Mikado Township,Municipal Office,2268 Hamilton Rd,PO Box 60,Mikado,MI,48745,(989) 736-7721,rdsands@allband.org,Rita Sands
Michigan,Alcona County,Millen Township,Municipal Office,1433 W Trask Lake Rd,PO Box 292,Barton City,MI,48705,(989) 736-3401,clerk@millentownship.com,Gloria Burger
Michigan,Alcona County,Mitchell Township,Municipal Office,2101 North Reeves Road,,Curran,MI,48728,(989) 884-1354,donitalcharron@gmail.com,Donita Charron
Michigan,Alger County,Au Train Township,Municipal Office,N7569 Spruce Street,PO Box 33,Au Train,MI,49806,(906) 361-2373,maryfrogers@charter.net,Mary Walther Johnson
Michigan,Alger County,Burt Township,Municipal Office,E21837 Grand Marais Avenue,,Grand Marais,MI,49839,(906) 494-2381,clerk@burttownship.com,Lori McShane
Michigan,Alger County,Grand Island Township,Municipal Office,N7795 Anthony Rd,PO Box 215,Munising,MI,49862,(906) 387-3889,grandislandtownship@gmail.com,Deanna Boyak
Michigan,Alger County,Limestone Township,Municipal Office,N2690 Hwy M-67,,Limestone,MI,49816,(906) 439-5448,limestone@tds.net,Danita Rask
Michigan,Alger County,Mathias Township,Municipal Office,E2997 State Hwy M-67,PO Box 317,Trenary,MI,49891,(906) 446-3226,mathiastownship@tds.net,Amy Richmond
Michigan,Alger County,Munising City,Municipal Office,301 E. Superior St.,,Munising,MI,49862,(906) 387-2095,muncity@jamadots.com,Sue Roberts
Michigan,Alger County,Munising Township,Municipal Office,E9630 Prospect St,,Wetmore,MI,49895,(906) 387-4404,muntwpclerk@jamadots.com,Patty Willson
Michigan,Alger County,Onota Township,Municipal Office,E1461 Deerton-Sandlake Rd,PO Box 100,Deerton,MI,49822,(906) 343-6535,onotatwp@tds.net,Catherine Kimar
Michigan,Alger County,Rock River Township,Municipal Office,E3667 State Hwy M94,,Chatham,MI,49816,(906) 439-5163,rockrivertwpclerk@tds.net,Dawn Leppanen
Michigan,Allegan County,Allegan City,Municipal Office,231 Trowbridge St,,Allegan,MI,49010,(269) 673-5511,ctapper@cityofallegan.org,Christopher Tapper
Michigan,Allegan County,Allegan Township,Municipal Office,3037 118th Avenue,,Allegan,MI,49010,(269) 673-5051,clerk@allegantownship.org,Linda Evans
Michigan,Allegan County,Casco Township,Municipal Office,7104 107th Ave,,South Haven,MI,49090,(269) 637-4441,cascoclerk@gmail.com,Cheryl  A Brenner
Michigan,Allegan County,Cheshire Township,Municipal Office,630 38th St,,Allegan,MI,49010,(269) 673-8191,cheshireclerk@yahoo.com,Donna Hetzel
Michigan,Allegan County,Clyde Township,Municipal Office,1679 56th St.,PO Box 671,Fennville,MI,49408,(269) 561-5655,cathyptak@yahoo.com,Cathy Ptak
Michigan,Allegan County,Dorr Township,Municipal Office,4196 18th St,,Dorr,MI,49323,(616) 681-9874,clerk@dorrtownship.org,Debbie Sewers
Michigan,Allegan County,Fennville City,Municipal Office,125 S. Maple Street,PO Box 666,Fennville,MI,49408,(269) 561-8321,dperez@fennville.com,Deborah Perez
Michigan,Allegan County,Fillmore Township,Municipal Office,4219 52nd St,,Holland,MI,49423,(269) 751-7655,fillmoreclerk@gmail.com,Elaine Mokma
Michigan,Allegan County,Ganges Township,Municipal Office,1904 64th Street,,Fennville,MI,49408,(269) 543-8316,gangestwp@i2k.com,Robin Phelps
Michigan,Allegan County,Gunplain Township,Municipal Office,381 8th Street,PO Box 146,Plainwell,MI,49080,(269) 685-9471,mmeert@gunplain.org,Marty Meert
Michigan,Allegan County,Heath Township,Municipal Office,3440 Lincoln Road,PO Box 241,Hamilton,MI,49419,(269) 751-2403,sheila@heathtownship.net,Sheila Meiste
Michigan,Allegan County,Holland City,Municipal Office,270 S. River Ave,,Holland,MI,49423,(616) 355-1301,k.grimm@cityofholland.com,Kathy Grimm
Michigan,Allegan County,Hopkins Township,Municipal Office,142 E Main Street,PO Box 217,Hopkins,MI,49328,(269) 806-7547,clerk@hopkinstownship.org,Eric Alberda
Michigan,Allegan County,Laketown Township,Municipal Office,4338 Beeline Road,,Holland,MI,49423,(616) 335-3050,jenifer@laketowntwp.org,Michelle Sall
Michigan,Allegan County,Lee Township,Municipal Office,877 56th Street,,Pullman,MI,49450,(269) 236-5129,clerk@leetwp.org,Jacquelyn King
Michigan,Allegan County,Leighton Township,Municipal Office,"4451 12th St., Suite A",,Wayland,MI,49348,(616) 891-8238,clerk@leightontownship.org,Mary Lou Nieuwenhuis
Michigan,Allegan County,Manlius Township,Municipal Office,3134 57th Street,,Fennville,MI,49408,(269) 561-8855,clerk@manliustwp.org,Kathryn Lubbers
Michigan,Allegan County,Martin Township,Municipal Office,998 Templeton,PO Box 27,Martin,MI,49070,(269) 672-5027,rsmit@martintownship.org,Rachelle Smit
Michigan,Allegan County,Monterey Township,Municipal Office,2888 130th Avenue,,Allegan,MI,49010,(616) 648-9488,montereyclerk@yahoo.com,Jennifer Frank
Michigan,Allegan County,Otsego City,Municipal Office,117 E Orleans Street,,Otsego,MI,49078,(269) 692-3391,acronen@cityofotsego.org,Angela Cronen
Michigan,Allegan County,Otsego Township,Municipal Office,400 N 16th Street,,Otsego,MI,49078,(269) 694-9434,jsquibbs@otsegotownship.com,Joan Squibbs
Michigan,Allegan County,Overisel Township,Municipal Office,A-4307 144th Ave,,Holland,MI,49423,(269) 751-7030,clerk@overiseltownship.org,Renee Hop
Michigan,Allegan County,Plainwell City,Municipal Office,211 North Main Street,,Plainwell,MI,49080-1370,(269) 685-6821,bkelley@plainwell.org,Brian Kelley
Michigan,Allegan County,Salem Township,Municipal Office,3003 142nd Ave,PO Box 49,Burnips,MI,49314,(616) 896-9857,betty@salemtownship.org,Betty Brower
Michigan,Allegan County,Saugatuck City,Municipal Office,102 Butler Street,PO Box 86,Saugatuck,MI,49453,(269) 857-2603,erin@saugatuckcity.com,Erin Wilkinson
Michigan,Allegan County,Saugatuck Township,Municipal Office,3461 Blue Star Hwy,PO Box 100,Saugatuck,MI,49453,(269) 857-7721,abigford@saugatucktownship.org,Abby Bigford
Michigan,Allegan County,South Haven City,Municipal Office,539 Phoenix Street,,South Haven,MI,49090,(269) 637-0750,tsullivan@south-haven.com,Travis Sullivan
Michigan,Allegan County,Trowbridge Township,Municipal Office,2535 111th Ave,,Allegan,MI,49010,(269) 673-5012,sangle@angleassociatespc.com,Steve Angle
Michigan,Allegan County,Valley Township,Municipal Office,2054 North M-40,,Allegan,MI,49010,(269) 673-5962,brandee.ellis@yahoo.com,Brandee Ellis
Michigan,Allegan County,Village Of Douglas City,Municipal Office,86 W Center Street,PO Box 757,Douglas,MI,49406,(269) 857-1438,clerk@ci.douglas.mi.us,Pamela Aalderink
Michigan,Allegan County,Watson Township,Municipal Office,1895 118th Avenue,,Allegan,MI,49010,(269) 672-7254,kellimorris11@gmail.com,Kelli Morris
Michigan,Allegan County,Wayland City,Municipal Office,103 S. Main St.,,Wayland,MI,49348,(269) 792-2265,lclausen@cityofwayland.org,Lee Ann Clausen
Michigan,Allegan County,Wayland Township,Municipal Office,1060 129th Avenue,PO Box 1,Bradley,MI,49311,(269) 792-6394,mcinerneya@waytwp.org,Ann McInerney
Michigan,Alpena County,Alpena City,Municipal Office,208 N First Ave,,Alpena,MI,49707,(989) 354-1720,clerk@alpena.mi.us,Anna Soik
Michigan,Alpena County,Alpena Township,Municipal Office,4385 Us-23 North,,Alpena,MI,49707,(989) 356-0297,palevichm@alpenatownship.com,Michele Palevich
Michigan,Alpena County,Green Township,Municipal Office,2650 Calcut Rd.,,Lachine,MI,49753,(989) 379-2398,sumerixclerk@gmail.com,Melony Sumerix
Michigan,Alpena County,Long Rapids Township,Municipal Office,5310 M-65,,Lachine,MI,49753,(989) 657-2095,marysuethomson2019@gmail.com,Mary Sue Thomson
Michigan,Alpena County,Maple Ridge Township,Municipal Office,6000 Lacomb Rd,,Alpena,MI,49707,(989) 356-0791,mapleridgetwpclerk@gmail.com,Judy Hall
Michigan,Alpena County,Ossineke Township,Municipal Office,10777 Kleve Road,,Hubbard Lake,MI,49747,(989) 255-8313,ossineketwp@gmail.com,Jo'lee Dorie
Michigan,Alpena County,Sanborn Township,Municipal Office,12025 Us Hwy 23 S,PO Box 428,Ossineke,MI,49766,(989) 471-1050,sanborntownshipclerk@gmail.com,Vicky Souva
Michigan,Alpena County,Wellington Township,Municipal Office,5848 Collins Rd,,Lachine,MI,49753,(989) 464-5164,wellingtonclerk@yahoo.com,Pam Madsen
Michigan,Alpena County,Wilson Township,Municipal Office,8303 Napper Rd,,Alpena,MI,49707,(989) 464-8392,mwerthclerk@gmail.com,Melissa Werth
Michigan,Antrim County,Banks Township,Municipal Office,6520 Center St,PO Box 68,Ellsworth,MI,49729,(231) 588-6126,clerk@bankstownship.net,Donna L. Heeres
Michigan,Antrim County,Central Lake Township,Municipal Office,1622 N M-88,PO Box 155,Central Lake,MI,49622,(231) 544-6687,clerk@centrallaketownship.com,Judy Kosloski
Michigan,Antrim County,Chestonia Township,Municipal Office,3955 Second St,PO Box 295,Alba,MI,49611,(231) 584-3222,nancyshepard49611@gmail.com,Nancy Shepard
Michigan,Antrim County,Custer Township,Municipal Office,2949 Alden Hwy,PO Box 814,Mancelona,MI,49659,(231) 587-4773,custertwpclerk@gmail.com,Stacy Simon
Michigan,Antrim County,Echo Township,Municipal Office,2021 Finkton Rd,,East Jordan,MI,49727,(231) 620-4661,echotownship@live.com,Carolyn Barnett
Michigan,Antrim County,Elk Rapids Township,Municipal Office,315 Bridge St.,PO Box 365,Elk Rapids,MI,49629-0365,(231) 264-9333,sboisvert@elkrapids.com,Shelley Boisvert
Michigan,Antrim County,Forest Home Township,Municipal Office,321 N Bridge St,PO Box 317,Bellaire,MI,49615-0317,(231) 533-8003,suemahan@yahoo.com,Suzanne Mahan
Michigan,Antrim County,Helena Township,Municipal Office,8751 Helena Rd.,,Alden,MI,49612-0177,(231) 331-4643,helena@torchlake.com,David Peterson
Michigan,Antrim County,Jordan Township,Municipal Office,574 N M-66 Hwy,,Mancelona,MI,49659,(231) 536-0443,theibertd@yahoo.com,Donna Theibert
Michigan,Antrim County,Kearney Township,Municipal Office,4820 Aero Park Dr,PO Box 51,Bellaire,MI,49615-0051,(231) 533-5719,kearneytwp@live.com,Sally Petrie
Michigan,Antrim County,Mancelona Township,Municipal Office,9610 S M-88 Hwy,PO Box 332,Mancelona,MI,49659-0332,(231) 587-8651,depclerk@mancelonatownship.com,Mike Biehl
Michigan,Antrim County,Milton Township,Municipal Office,7023 Cherry Avenue,PO Box 309,Kewadin,MI,49648,(231) 264-6612,sballclerk@gmail.com,Sandra Ball
Michigan,Antrim County,Star Township,Municipal Office,4081 Cinder Hill Rd,,Elmira,MI,49730,(231) 357-3353,phyfire@gmail.com,Phyllis Hoogerhyde
Michigan,Antrim County,Torch Lake Township,Municipal Office,2355  U.s. 31 North,PO Box 713,Eastport,MI,49627-0713,(231) 599-2036,clerk@torchlaketownship.org,Kathy Windiate
Michigan,Antrim County,Warner Township,Municipal Office,2434 Ray St,PO Box 176,Elmira,MI,49730,(231) 342-5628,warnertwpclerk@gmail.com,Pamela Zaremba
Michigan,Arenac County,Adams Township,Municipal Office,6175 Moores Junction,,Sterling,MI,48659,(989) 387-1501,simpkins.charity@gmail.com,Charity Sisco
Michigan,Arenac County,Arenac Township,Municipal Office,2596 Arenac State Rd,,Standish,MI,48658,(989) 653-2319,clerk@arenactownship.org,Jessica Schlanderer
Michigan,Arenac County,Au Gres City,Municipal Office,124 W Huron Road,PO Box 121,Au Gres,MI,48703,(989) 876-8811,cityofaugres@cityofaugresmi.com,Lavonne Pritchard
Michigan,Arenac County,Au Gres Township,Municipal Office,1865 Swenson Road,PO Box 783,Au Gres,MI,48703,(989) 876-7293,augrestownship@centurytel.net,Michael Oxley
Michigan,Arenac County,Clayton Township,Municipal Office,5483 Knight Rd.,,Sterling,MI,48659,(989) 654-3225,rinz1rc@yahoo.com,Robyn Fogarasi
Michigan,Arenac County,Deep River Township,Municipal Office,511 E. State Rd,,Sterling,MI,48659,(989) 654-3161,clerk@deeprivertwp.org,Ann Marie Borushko
Michigan,Arenac County,Lincoln Township,Municipal Office,4641 Duprie,,Standish,MI,48658,(989) 324-8008,ardith.demo@ascension.org,Ardith Demo
Michigan,Arenac County,Mason Township,Municipal Office,1199 Black Road,,Twining,MI,48766,(989) 873-5471,gmajanish@aol.com,Darlene S. Janish
Michigan,Arenac County,Moffatt Township,Municipal Office,1599 Blue Heron Dr.,,Alger,MI,48610,(989) 836-2734,allisonmchmielewski@hotmail.com,Allison Chmielewski
Michigan,Arenac County,Omer City,Municipal Office,201 E. Center,PO Box 160,Omer,MI,48749,(989) 653-2566,cityofomer@centurytel.net,Virginia  (ginger) Sanford
