state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,hours
Minnesota,Becker County,Becker County Courthouse,Courthouse ,915 Lake Ave,,Detroit Lakes,MN,56501,218-846-7311,http://www.co.becker.mn.us/,elections@co.becker.mn.us,218-846-7257,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Blue Earth County,Blue Earth County Historic Courthouse,Courthouse ,204 S 5th St,,Mankato,MN,56001,507-304-4341,http://www.blueearthcountymn.gov/index.aspx?nid=326,,507-304-4075,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Brown County,Brown County Courthouse,Courthouse ,14 South State St,,New Ulm,MN,56073,507-233-6616,http://www.co.brown.mn.us,cynthia.meyer@co.brown.mn.us,507-359-1430,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Chippewa County,Chippewa County Courthouse,Courthouse ,629 N 11th St,,Montevideo,MN,56265,320-269-7447,http://www.co.chippewa.mn.us,mmay@co.chippewa.mn.us,320-269-7412,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Clay County,Clay County Courthouse,Courthouse ,807 N 11th St,,Moorhead,MN,56560,218-299-5006,http://www.claycountymn.gov,auditor@co.clay.mn.us,218-299-5195,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Cook County,Cook County Courthouse,Courthouse ,411 W 2nd St,,Grand Marais,MN,55604,218-387-3640,http://www.co.cook.mn.us/,elections@co.cook.mn.us,218-387-3063,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Cottonwood County,Cottonwood County Courthouse,Courthouse ,900 3rd Ave,,Windom,MN,56101,507-831-1342,http://www.co.cottonwood.mn.us/,donna.torkelson@co.cottonwood.mn.us,507-831-4553,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Grant County,Grant County Courthouse,Courthouse ,10 2nd St NE,,Elbow Lake,MN,56531-4400,218-685-8236,http://www.co.grant.mn.us,hillary.risbrudt@co.grant.mn.us,218-685-4521,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Houston County,Houston County Courthouse,Courthouse ,304 S Marshall St,Rm 116,Caledonia,MN,55921,507-725-5803,http://co.houston.mn.us,election@co.houston.mn.us,507-725-2647,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Hubbard County,Hubbard County Courthouse,Courthouse ,301 Court Ave,,Park Rapids,MN,56470,218-732-3196,http://www.co.hubbard.mn.us,srittgers@co.hubbard.mn.us,218-732-3645,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Itasca County,Itasca County Courthouse,Courthouse ,123 NE 4th St,,Grand Rapids,MN,55744,218-327-2849,http://www.co.itasca.mn.us/,cari.alleman@co.itasca.mn.us,218-327-7426,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Jackson County,Jackson County Courthouse,Courthouse ,405 4th St,,Jackson,MN,56143,507-847-2763,http://www.co.jackson.mn.us/,elections@co.jackson.mn.us,507-847-4718,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Kanabec County,Kanabec County Courthouse,Courthouse ,18 N Vine St,Ste 261-A,Mora,MN,55051-1351,320-679-6430,http://www.kanabeccounty.org/,roberta.anderson@co.kanabec.mn.us,320-679-6431,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Koochiching County,Koochiching County Courthouse,Courthouse ,715 4th St,,International Falls,MN,56649,218-283-1112,http://www.co.koochiching.mn.us/,tom.west@co.koochiching.mn.us,218-283-1104,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Lake County,Lake County Courthouse,Courthouse ,601 3rd Ave,,Two Harbors,MN,55616,218-834-8316,http://www.co.lake.mn.us/,LakeCo.Elections@co.lake.mn.us,218-834-8358,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Le Sueur County,Le Sueur County Courthouse,Courthouse ,88 S Park Ave,,Le Center,MN,56057,507-357-2251,http://www.co.le-sueur.mn.us/,cblaschko@co.le-sueur.mn.us,507-357-8628,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
