state,county,location_name,location_type,address_1,address_2,pobox,city,state_2,zip,phone,email,fax
Nebraska,Adams ,Election Officials,Elections Office,500 W 4th St.,Ste. 109,,Hastings,NE,68901,(402) 461-7107,earlyvote@adamscounty.org,(402) 461-7185
Nebraska,Antelope ,Election Officials,Elections Office,501 Main Street,,PO Box 26,Neligh,NE,68756,(402) 887-4410,clerk@antelopecounty.org,(402) 887-4719
Nebraska,Arthur ,Election Officials,Elections Office,205 Fir St.,,PO Box 126,Arthur,NE,69121,(308) 764-2203,becky.swanson@nebraska.gov,(308) 764-2216
Nebraska,Banner,Election Officials,Elections Office,PO Box 67,,,Harrisburg,NE,69345,(308) 436-5265,clerk.banner@outlook.com,(308) 436-4180
Nebraska,Blaine ,Election Officials,Elections Office,145 Lincoln Ave.,,,Brewster,NE,68821,(308) 547-2222 ext.201,clerk@blainecountyne.com,(308) 547-2228
Nebraska,Boone ,Election Officials,Elections Office,222 S. 4th St.,,,Albion,NE,68620,(402) 395-2055,clerk@boone.nacone.org,(402) 395-8531
Nebraska,Box Butte ,Election Officials,Elections Office,PO Box 678,,,Alliance,NE,69301,(308) 762-6565,boxbutteclerk@yahoo.com,(308) 762-2867
Nebraska,Boyd,Election Officials,Elections Office,401 Thayer,,PO Box 26,Butte,NE,68722,(402) 775-2391,clerk@boyd.nacone.org,(402) 775-2146
Nebraska,Brown,Election Officials,Elections Office,148 W. 4th St.,,,Ainsworth,NE,69210,(402) 387-2705,travis.hobbs@nebraska.gov,(402) 387-0918
Nebraska,Buffalo,Election Officials,Elections Office,1512 Central Ave.,,PO Box 1270,Kearney,NE,68848,(308) 236-1233,elections@buffalocounty.ne.gov,(308) 236-1868
Nebraska,Burt,Election Officials,Elections Office,111 N. 13th St.,Ste. 8,PO Box 87,Tekamah,NE,68061,(402) 374-2955,clerk@burtcounty.org,(402) 374-2956
Nebraska,Butler ,Election Officials,Elections Office,451 N 5th St.,Ste. 10,,David City,NE,68632,(402) 367-7430,clerk@butlercountyne.net,(402) 367-7436
