county,phone,phone2,county_website_url,fax
Atlantic County,609-645-5867,,www.atlantic-county.org/board-of-elections/,609-645-5875
Bergen County,201-336-6225,,www.co.bergen.nj.us/bergen-county-board-of-elections/about-bergen-county-board-of-elections,201-336-6234
Burlington County,609-265-5062,,www.co.burlington.nj.us/297/Election-Board,609-265-3131
Camden County,856-401-8683,,www.camdencounty.com/service/board-of-elections/,856-401-8689
Cape May County,609-465-1050,,www.capemaycountyvotes.com,609-465-1639
Cumberland County,856-453-5801,,cumberlandcountyvotes.com/contact/board-of-elections/,856-451-3172
Essex County,973-621-5071,,essexboardofelections.com,973-621-2540
Hudson County,201-369-3435,,,201-369-3436
Hunterdon County,908-788-1190,,www.co.hunterdon.nj.us/ depts/elect/electbd.htm,908-806-4686
Mercer County,609-989-6522,,www.mercercounty.org/ boards-commissions/board-of-elections,609-278-2713
Middlesex County,732-745-3471,,http://www.middlesexcountynj.gov/Government/Departments/CS/Boardofelections/Pages/default.aspx,732-296-6560
Monmouth County,732-431-7802 ext 7150,,co.monmouth.nj.us/page.aspx?ID=897,732-303-7648
Morris County,973-285-6715,,elections.morriscountynj.gov,973-285-5208
Ocean County,732-929-2167,,www.co.ocean.nj.us/ electionboard,732-506-5110
Passaic County,973-881-4527,,www.passaiccountynj.org/ government/boards_committees_and_commissions/ board_of_elections/index.php,973-523-9121
Salem County,856-935-7510 ext 8329,856-935-7510 ext 8330,elections.salemcountynj.gov,856-935-6725
Somerset County,908-231-7084,,www.co.somerset.nj.us/elections/,908-231-9465
Sussex County,973-579-0950,,www.sussex.nj.us/cit-e-access/ webpage.cfm?TID=7&TPID=1503,973-579-0955
Union County,908-527-4123,,ucnj.org/board-of-elections/,908-527-4127
Warren County,908-475-6313,,www.co.warren.nj.us/Election.html,908-475-6221
