county,location_type,location_name1,location_name2,address_1,address_2,zip,city,note,schedule_date,schedule_type
Atlantic County,Unknown,Absecon,Absecon Municipal Bldg,500 Mill Rd,,8201,Absecon ,Drop box is located in Heritage Park by the entrance to the municipal building,10/5/2020,continuous
Atlantic County,Unknown,Atlantic City,Atlantic County Office Bldg,1333 Atlantic Ave,,8401,Atlantic City ,Drop box is located in Police & Firemen Plaze between City Hall & County Office Building,10/5/2020,continuous
Atlantic County,Unknown,Brigantine,Brigantine City Municipal Hall,1417 W. Brignatine Blvd,,8203,Brigantine ,Drop box is located at front entrance of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Buena Vista Twp,Buena Vista Twp Municipal Hall,890 Harding Hwy,,8310,Buena Vista Twp ,Drop box is located on side of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Egg Harbor Twp,Egg Harbor Twp Municipal Hall,3515 Bargaintown Rd,,8234,Egg Harbor Twp ,Drop box is located in front of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Egg Harbor Twp,Egg Harbor Twp Community Center,5045 English Creek Ave,,8234,Egg Harbor Twp ,Drop box is located in front of the Community Center,10/5/2020,continuous
Atlantic County,Unknown,Galloway Twp,Galloway Twp Municipal Hall,300 E Jimmie Leeds Rd,,8205,Galloway Twp ,Drop box is located on left side of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Mays Landing,Hamilton Twp Historic Court House,5901 Main St,,8330,Mays Landing ,Drop box is located In front of Historic Court House,10/5/2020,continuous
Atlantic County,Unknown,Hammonton,Hammonton Municipal Hall,100 Central Ave,,8037,Hammonton ,Drop box is located on right side of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Northfield,Northfield Municipal Hall,1600 Shore Rd,,8225,Northfield ,Drop box is located in front of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Pleasantville,Pleasantville Municipal Hall,18 N. First St,,8232,Pleasantville ,Drop box is located in front of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Somers Point,Somers Point Municipal Hall,1 West Jersey Ave,,8244,Somers Point ,Drop box is located in front of municipal building,10/5/2020,continuous
Atlantic County,Unknown,Ventnor,Ventnor Municipal Hall,6201 Atlantic Ave,,8406,Ventnor ,Drop box is located in front of municipal building,10/5/2020,continuous
