State,County,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
New Mexico,Bernalillo ,County Clerk,"One Civic Plaza, NW",6th Floor ,Albuquerque,NM,87102,(505) 468-1290,www.bernco.gov/clerk,clerk@bernco.gov,(505) 468-1293
New Mexico,Catron,County Clerk,101 Main St,,Reserve,NM,87830,(575) 533-6400,http://www.catroncounty.us,keith.riddle@catroncountynm.gov,(575) 533-6453
New Mexico,Chaves,County Clerk,,,Roswell,NM,88202,(575) 624-6614,http://www.co.chaves.nm.us/159/Clerks-Office​,dkunko@co.chaves.nm.us ,(575) 624-6523
New Mexico,Cibola,County Clerk,700 East Roosevelt ,Ste. 50 ,Grants,NM,87020,(505) 285-2535,http://www.cibolacountynm.com/elected_officials/clerk_s_office.php​,mdominguez@co.cibola.nm.us ,(505) 285-2562
New Mexico,Colfax,County Clerk,,,Raton,NM,87740,(575) 445-5551,http://www.co.colfax.nm.us/,rtrujillo@co.colfax.nm.us,(575) 445-4031
New Mexico,Curry,County Clerk,417 Gidding St.,Suite 130,Clovis,NM,88101,(575) 763-5591,https://www.currycounty.org/elected-officials/clerk-s-office,ahogland@currycounty.org,(575) 763-4232
New Mexico,De Baca,County Clerk,,,Fort Sumner,NM,88119,(575) 355-2601,,rosaliej@plateautel.net,(575) 355-2441
New Mexico,Doña Ana,County Clerk,845 N. Motel Blvd.,,Las Cruces,NM,88007,(575) 647-7421,http://www.donaanacounty.org,amanda@donaanacounty.org,(575) 527-9857
New Mexico,Eddy,County Clerk,325 S. Main Street ,,Carlsbad,NM,88220,(575) 885-3383,http://www.co.eddy.nm.us/185/County-Clerk,rvan@co.eddy.nm.us ,(575) 234-1793
New Mexico,Grant,County Clerk,,,Silver City,NM,88062,(575) 574-0042,https://grantcountynm.gov,grantmcastri@cybermesa.com,(575) 574-0073
New Mexico,Guadalupe ,County Clerk,"1448 Historic Route 66, ",Suite 1 ,Santa Rosa,NM,88435,(575) 472-3791,https://www.guadalupecountynm.org/clerk-s-office​,pmartinez@guadco-nm.us,(575) 472-4791
New Mexico,Harding,County Clerk,35 Pine Street ,,Mosquero,NM,87733,(575) 673-2301,http://hardingcounty.org/clerk.html,hardingcc@plateautel.net,(575) 673-2922
New Mexico,Hidalgo,County Clerk,300 South Shakespeare St.,,Lordsburg,NM,88045,(575) 542-9213,http://www.hidalgocounty.org/index.php/government/county-departments/county-clerk/,countyclerk@hidalgocounty.org,(575) 542-3193
New Mexico,Lea,County Clerk,,,Lovington,NM,88260,(575) 396-8619,http://www.leacounty.net/clerk.htm,kmanes@leacounty.net​,(575) 396-3293
New Mexico,Lincoln,County Clerk,,,Carrizozo,NM,88301-0338,(575) 648-2394 ext. 130,http://www.lincolncountynm.gov Email: wwhittaker@lincolncountynm.gov,wwhittaker@lincolncountynm.gov,(575) 648-2576
