state,county,authority_name,location_type,location_name,address_1,address_2,pobox,city,state_2,zip,phone,email,fax
New York,Albany, Board of Elections,Elections Office, Board of Elections,260 South Pearl Street,,,Albany,NY,12202,518-487-5060,boardofelections@albanycounty.com,
New York,Allegany, Board of Elections,Elections Office, Board of Elections,8 Wille tts Ave.,,,Belmont,NY,14813,585-268-9294,ACBOE@alleganyco.com,
New York,Bronx, Board of Elections,Elections Office, Board of Elections,780 Grand Concourse,5th Floor,,Bronx,NY,10457,718-299-9017,voterreg@boe.nyc.ny.us,
New York,Broome, Board of Elections,Elections Office, Board of Elections,60 Hawley St. Government Plaza,,PO Box 1766,Binghamton,NY,13902,607-778-2172,bcboe@co.broome.ny.us,
New York,Cattaraugus, Board of Elections,Elections Office, Board of Elections,207 Rock City Street,Suite 100,,Little Valley,NY,14755,716-938-2400,BOE,
New York,Cayuga, Board of Elections,Elections Office, Board of Elections,157 Genesee Street ,Basement,,Auburn ,NY,13021,315-253-1285,election@cayugacounty.us,
New York,Chautauqua, Board of Elections,Elections Office, Board of Elections,7 North Erie Street,,,Mayville,NY,14757,716-753-4580,vote@co.chautauqua.ny.us,
New York,Chemung, Board of Elections,Elections Office, Board of Elections,378 So. Main Street,,PO Box 588,Elmira,NY,14902-0588,607-737-5475,votechemung@chemungcountyny.gov,
New York,Chenango, Board of Elections,Elections Office, Board of Elections,5 Court Street,,,Norwich,NY,13815,607-337-1760,boe@co.chenango.ny.us,
New York,Clinton, Board of Elections,Elections Office, Board of Elections,137 Margaret Street,Suite 104,,Plattsburgh,NY,12901,518-565-4740,BOE@clintoncountygov.com,
New York,Columbia, Board of Elections,Elections Office, Board of Elections,401 State St.,,,Hudson,NY,12534,518-828-3115,elections@columbiacountyny.com,
New York,Cortland, Board of Elections,Elections Office, Board of Elections,112 River Street,Suite 1,,Cortland,NY,13045-2828,607-753-5032,elections@cortland-co.org,
New York,Delaware, Board of Elections,Elections Office, Board of Elections,3 Gallant Ave.,,,Delhi,NY,13753,607-832-5321,boe.move@co.delaware.ny.us,
New York,Dutchess, Board of Elections,Elections Office, Board of Elections,47 Cannon St.,,,Poughkeepsie,NY,12601,845-486-2473,dutchesselections@dutchessny.gov,
New York,Erie, Board of Elections,Elections Office, Board of Elections,134 West Eagle St.,,,Buffalo,NY,14202,716-858-8891,https://www.elections.erie.gov/contact,
New York,Essex, Board of Elections,Elections Office, Board of Elections,7551 Court Street,,PO Box 217,Elizabethtown,NY,12932,518-873-3474,elections@essexcountyny.gov,
New York,Franklin, Board of Elections,Elections Office, Board of Elections,355 West Main Street,Suite 161,,Malone,NY,12953-1823,518-481-1663,boe@franklincony.org,
New York,Fulton, Board of Elections,Elections Office, Board of Elections,2714 STHWY 29 ,Suite 1,,Johnstown,NY,12095-9946,518-736-5526,boe@fultoncountyny.gov,
New York,Genesee, Board of Elections,Elections Office, Board of Elections,15 Main Street,,,Batavia,NY,14020,585-815-7804,election@co.genesee.ny.us,
New York,Greene, Board of Elections,Elections Office, Board of Elections,411 Main Street ,Suite 437,,Catskill,NY,12414,518-719-3550,elections@discovergreene.com,
New York,Hamilton, Board of Elections,Elections Office, Board of Elections,Route 8,,PO Box 175,Lake Pleasant,NY,12108,518-548-4684,elections@hamiltoncountyny.gov,
New York,Herkimer, Board of Elections,Elections Office, Board of Elections,109  Mary Street ,Suite 1306,,Herkimer,NY,13350,315-867-1102,HCBoe@herkimercounty.org,
New York,Jefferson, Board of Elections,Elections Office, Board of Elections,175 Arsenal St.,,,Watertown,NY,13601,315-785-3027,elections@co.jefferson.ny.us,
New York,Kings, Board of Elections,Elections Office, Board of Elections,345 Adams Street,4th Floor,,Brooklyn,NY,11201,718-797-8800,voterreg@boe.nyc.ny.us,
New York,Lewis, Board of Elections,Elections Office, Board of Elections,7660 N. State Street,,,Lowville,NY,13367,315-376-5329,elections@lewiscountyny.org,
New York,Livingston, Board of Elections,Elections Office, Board of Elections,6 Court Street ,Room 104,,Geneseo,NY,14454-1043,585-243-7090,election@co.livingston.ny.us,
New York,Madison, Board of Elections,Elections Office, Board of Elections,POBox 666,,,Wampsville,NY,13163,315-366-2231,BOEcommissioners@madisoncounty.ny.gov,
New York,Monroe, Board of Elections,Elections Office, Board of Elections,39 Main St. West,,,Rochester,NY,14614,585-753-1550,mcboe@monroecounty.gov,
New York,Montgomery, Board of Elections,Elections Office, Board of Elections,9 Park Street,,PO Box 1500,Fonda,NY,12068-1500,518-853-8180,boe@co.montgomery.ny.us,
New York,Nassau, Board of Elections,Elections Office, Board of Elections,240 Old Country Road,5th Floor,PO Box 9002,Mineola,NY,11501,516-571-8683,InfoBOE@nassaucountyny.gov,
New York,New York City, Board of Elections,Elections Office, Board of Elections,32 Broadway ,7th Floor,,New York,NY,10004,212-487-5300,electioninfo@boe.nyc.ny.us,
New York,New York County, Board of Elections,Elections Office, Board of Elections,200 Varick Street,10th Floor,,New York,NY,10014,212-886-2100,voterreg@boe.nyc.ny.us,
