state,county,location_name ,location_type,address_1,address_2,pobox,city,state_2,zip,phone,email,fax
North Dakota,Slope,County Auditor,Elections Office,206 Main St ,,,Amidon,ND,58620-0449,(701) 879-6276,lbuzalsky@nd.gov,(701) 879-6278
North Dakota,McIntosh,County Auditor,Elections Office,,,PO Box 39 ,Ashley,ND,58413-0039,(701) 288-5141,gketterl@nd.gov,(701) 288-3671
North Dakota,Golden Valley,County Auditor,Elections Office,,,PO Box 67 ,Beach,ND,58621-0067,(701) 872-4331,tsperry@nd.gov,(701) 872-4383
North Dakota,Burleigh,County Auditor,Elections Office,,,PO Box 5518 ,Bismarck,ND,58506-5518,(701) 222-6718 Ext.,burleighauditor@nd.gov,(701) 222-7528
North Dakota,Bottineau,County Auditor,Elections Office,314 W. 5th St.,Ste 10,,Bottineau,ND,58318-1268,(701) 228-2225,lisa.herbel@co.bottineau.nd.us,(701) 228-5181
North Dakota,Burke,County Auditor,Elections Office,,,PO Box 310 ,Bowbells,ND,58721-0310,(701) 377-2861,jsjensen@nd.gov,(701) 377-2866
North Dakota,Bowman,County Auditor,Elections Office,"104 1st Street NW,",Ste 10,,Bowman,ND,58623-4342,(701) 523-3130,stivis@bowmancountynd.gov,(701) 523-4899
North Dakota,Towner,County Auditor,Elections Office,,,PO Box 603 ,Cando,ND,58324-0603,(701) 968-4340 Ext. 1,jmmorlock@nd.gov,(701) 968-4342
North Dakota,Foster,County Auditor,Elections Office,,,PO Box 104 ,Carrington,ND,58421-0104,(701) 652-2441,bradsolberg@nd.gov,(701) 652-2173
North Dakota,Grant,County Auditor,Elections Office,,,PO Box 227 ,Carson,ND,58529-0227,(701) 622-3275 Ext.,sarmeier@nd.gov,(701) 622-3005
North Dakota,Pembina,County Auditor,Elections Office,301 Dakota St W,Unit 1,,Cavalier,ND,58220-4100,(701) 265-4231,lschlitt@nd.gov,(701) 265-4876
North Dakota,Oliver,County Auditor,Elections Office,,,PO Box 188 ,Center,ND,58530-0188,(701) 794-8721,jhintz@nd.gov,(701) 794-3476
North Dakota,McKenzie,County Auditor,Elections Office,201 5th St NW,Ste 543,,Watford City,ND,58854,(701) 444-3616,ejohnsrud@co.mckenzie.nd.us,(701) 444-4113
North Dakota,Barnes,County Auditor,Elections Office,230 4th St NW,Room 202,,Valley City,ND,58072-2947,(701) 845-8500 Ext. 6666,bdidier@barnescounty.us,(701) 845-8548
North Dakota,Griggs,County Auditor,Elections Office,,,PO Box 511 ,Cooperstown,ND,58425-0511,(701) 797-3117,samantha.larson@griggscountynd.gov,(701) 797-3587
North Dakota,Divide,County Auditor,Elections Office,,,PO Box 49 ,Crosby,ND,58730-0049,(701) 965-6351,gjastrze@nd.gov,(701) 965-4370
North Dakota,Stark,County Auditor,Elections Office,,,PO Box 130 ,Dickinson,ND,58602-0130,(701) 456-7630,khaag@starkcountynd.gov,(701) 456-7634
North Dakota,Dickey,County Auditor,Elections Office,,,PO Box 215 ,Ellendale,ND,58436-0215,(701) 349-3249,wsheppard@nd.gov,(701) 349-4639
North Dakota,Cass,County Auditor,Elections Office,,,PO Box 2806 ,Fargo,ND,58108-2806,(701) 241-5600,montplaisirm@casscountynd.gov,(701) 241-5728
North Dakota,Wells,County Auditor,Elections Office,700 Railway St N #37 ,,,Fessenden,ND,58438,(701) 547-3521,jkrosbakken@nd.gov,(701) 547-3719
North Dakota,Steele,County Auditor,Elections Office,,,PO Box 275 ,Finley,ND,58230-0275,(701) 524-2110,ewigen@nd.gov,(701) 524-1715
North Dakota,Grand Forks,County Auditor,Elections Office,,,PO Box 5726,Grand Forks,ND,58206-5726,(701) 780-8200 Ext.,elections@gfcounty.org,(701) 780-8207
North Dakota,Sargent,County Auditor,Elections Office,355 Main St S,Ste 1,,Forman,ND,58032-4149,(701) 724-6241 Ext. 101,pam.maloney@co.sargent.nd.us,(701) 724-6244
