address_1,state ,county ,location_name,location_type ,address_2,city,state_2,zip,phone,phone2,county_website_url,email,fax,hours
215 N. Cross St.,Ohio,Adams County,Board of Elections,Elections Office,Room 103  ,West Union,OH,45693,(937) 544-2633,,www.boe.ohio.gov/adams/,adams@OhioSoS.gov,(937) 544-5111,Monday-Friday:8:30AM-4:00PM
204 N. Main St.,Ohio,Allen County,Board of Elections,Elections Office,,Lima,OH,45801,(419) 223-8530,,www.allen.boe.ohio.gov,allen@OhioSoS.gov,(419) 222-0311,Monday-Friday:8:30AM-4:30PM
110 Cottage St.,Ohio,Ashland County,Board of Elections,Elections Office,Suite 106 ,Ashland,OH,44805,(419) 282-4224,,boe.ashland.oh.gov,ashland@OhioSoS.gov,(419) 282-4260,Monday-Friday:8:00AM-4:00PM
8 W. Walnut St. ,Ohio,Ashtabula County,Board of Elections,Elections Office,,Jefferson,OH,44047,(440) 576-6915,,www.boe.ohio.gov/ashtabula/,ashtabul@OhioSoS.gov,(440) 576-1445,Monday-Friday:8:30AM-4:30PM
15 S. Court St.,Ohio,Athens County,Board of Elections,Elections Office,Room 130 ,Athens,OH,45701,(740) 592-3201,,www.boe.ohio.gov/athens/,athens@OhioSoS.gov,(740) 592-3262,Monday-Friday:8:00AM-4:00PM
209 S. Blackhoof,Ohio,Auglaize County,Board of Elections,Elections Office,Room 205 ,Wapakoneta,OH,45895,(419) 739-6720,,www.boe.ohio.gov/auglaize,auglaize@OhioSoS.gov,(419) 739-6721,Monday-Friday:8:00AM-4:30PM
52180 National Road,Ohio,Belmont County,Board of Elections,Elections Office,PO Box 994 ,St. Clairsville,OH,43950,(740) 526-0188,,www.boe.ohio.gov/belmont/,belmont@OhioSoS.gov,(740) 526-0512,Monday-Friday:8:30AM-4:30PM
800 Mt. Orab Pike,Ohio,Brown County,Board of Elections,Elections Office,Suite 111 ,Georgetown,OH,45121,(937) 378-3008,,www.boe.ohio.gov/brown/,brown@OhioSoS.gov,(937) 378-6457,Monday-Friday:8:30AM-4:00PM
1802 Princeton Rd.,Ohio,Butler County,Board of Elections,Elections Office,Suite 600 ,Hamilton,OH,45011,(513) 887-3700,,elections.bcohio.gov,butler@OhioSoS.gov,(513) 887-5535,Monday-Friday:8:30AM-4:30PM
119 S. Lisbon St.,Ohio,Carroll County,Board of Elections,Elections Office,Suite 102 ,Carrollton,OH,44615,(330) 627-2610,,www.carrollcountyohioelections.gov,carroll@OhioSoS.gov,(330) 627-5387,Monday-Friday:8:00AM-4:00PM
1512 South U.S. Hwy 68,Ohio,Champaign County,Board of Elections,Elections Office,Suite L100 ,Urbana,OH,43078,(937) 484-1575,,www.boe.ohio.gov/champaign/,champaig@OhioSoS.gov,(937) 484-1578,Monday-Friday:8:00AM-4:00PM
3130 E. Main St. ,Ohio,Clark County,Board of Elections,Elections Office,,Springfield,OH,45501,(937) 521-2120,,www.boe.ohio.gov/clark/,elections@clark.boe.ohio.gov,(937) 328-2603,Monday-Friday:8:00AM-4:30PM
76 S. Riverside Dr. ,Ohio,Clermont County,Board of Elections,Elections Office,,Batavia,OH,45103,(513) 732-7275,,boe.clermontcountyohio.gov,clermont@OhioSoS.gov,(513) 732-7330,Monday-Friday:8:00AM-4:30PM
111 S. Nelson Ave.,Ohio,Clinton County,Board of Elections,Elections Office,Suite 4,Wilmington,OH,45177,(937) 382-3537,,www.boe.ohio.gov/clinton/,clinton@OhioSoS.gov,(937) 383-3538,Monday-Friday:8:30AM-4:00PM
7989 Dickey Dr.,Ohio,Columbiana County,Board of Elections,Elections Office,Suite 3 ,Lisbon,OH,44432,(330) 424-1448,,www.columbiana.boe.ohio.gov,columbia@OhioSoS.gov,(330) 424-6661,Monday-Friday:8:00AM-4:00PM
724 S. 7th St.,Ohio,Coshocton County,Board of Elections,Elections Office,Room 100 ,Coshocton,OH,43812,(740) 622-1117,,www.coshocton.boe.ohio.gov,coshocto@OhioSoS.gov,(740) 623-6524,Monday-Friday:8:00AM-4:00PM
112 East Mansfield St.,Ohio,Crawford County,Board of Elections,Elections Office,Suite A ,Bucyrus,OH,44820,(419) 562-8721,,crawfordcountyohioboe.gov,crawford@OhioSoS.gov,(419) 562-2235,Monday-Friday:8:30AM-4:30PM
2925 Euclid Ave. ,Ohio,Cuyahoga County,Board of Elections,Elections Office,,Cleveland,OH,44115,(216) 443-8683,,boe.cuyahogacounty.gov,electioninfo@cuyahogacounty.us,(216) 443-6633,Monday-Friday:8:30AM-4:30PM
300 Garst Ave.,Ohio,Darke County,Board of Elections,Elections Office,Suite 7 ,Greenville,OH,45331,(937) 548-1835,,www.boe.ohio.gov/darke/,darke@OhioSoS.gov,(937) 548-2820,Monday-Friday:8:30AM-4:30PM
1300 E. Second St.,Ohio,Defiance County,Board of Elections,Elections Office,Suite 103 ,Defiance,OH,43512,(419) 782-8543,,www.defiance.boe.ohio.gov,defiance@OhioSoS.gov,(419) 782-5773,Monday-Friday:8:30AM-4:30PM
2079 U.S. HWY 23 North ,Ohio,Delaware County,Board of Elections,Elections Office,,Delaware,OH,43015,(740) 833-2080,,vote.delawarecountyohio.gov,BOE@delawarecountyohio.gov,(740) 833-2079,Monday-Friday:8:00AM-4:30PM
2900 Columbus Ave.,Ohio,Erie County,Board of Elections,Elections Office,Room 101 ,Sandusky,OH,44870,(419) 627-7601,,www.boe.ohio.gov/erie/,erie@OhioSoS.gov,(419) 626-0034,Monday-Friday:8:00AM-4:00PM
951 Liberty Dr. ,Ohio,Fairfield County,Board of Elections,Elections Office,,Lancaster,OH,43130,(740) 652-7000,(614) 322-5270,www.fairfieldcountyohioelections.gov,fairfiel@OhioSoS.gov,(740) 681-4727,Monday-Friday:8:00AM-5:00PM
135 S. Main St.  ,Ohio,Fayette County,Board of Elections,Elections Office,,Washington Court House,OH,43160,(740) 335-1190,,www.boe.ohio.gov/fayette/,fayette@OhioSoS.gov,(740) 333-3574,Monday-Friday:8:30AM-4:00PM
1700 Morse Road ,Ohio,Franklin County,Board of Elections,Elections Office,,Columbus,OH,43229,(614) 525-3100 ,,vote.franklincountyohio.gov,franklin@OhioSoS.gov,(614) 525-3489,Monday-Friday:8:00AM-5:00PM
135 Court House Plaza ,Ohio,Fulton County,Board of Elections,Elections Office,,Wauseon,OH,43567,(419) 335-6841,,www.fulton.boe.ohio.gov,fulton@OhioSoS.gov,(419) 337-2363,Monday-Friday:9:00AM-4:00PM
18 Locust St.,Ohio,Gallia County,Board of Elections,Elections Office,2nd Floor ,Gallipolis,OH,45631,(740) 446-1600,,www.boe.ohio.gov/gallia,gallia@OhioSoS.gov,(740) 441-2049,Monday-Friday:8:30AM-4:00PM
470 Center St,Ohio,Geauga County,Board of Elections,Elections Office,Building 6A,Chardon,OH,44024,(440) 279-2030,,boelections.geauga.oh.gov,geauga@OhioSoS.gov,(440) 285-0959,Monday-Friday:8:00AM-4:30PM
551 Ledbetter Rd,Ohio,Greene County,Board of Elections,Elections Office,,Xenia,OH,45385,(937) 562-6170,,www.greene.boe.ohio.gov,greene@OhioSoS.gov,(937) 562-6171,Monday-Friday:8:00AM-4:30PM
627 Wheeling Ave.,Ohio,Guernsey County,Board of Elections,Elections Office,Suite 101 ,Cambridge,OH,43725,(740) 432-2680,,boe.guernseycounty.gov,guernsey@OhioSoS.gov,(740) 432-6784,Monday-Friday:9:00AM-4:30PM
