State,County,location_type,address_1,address_2,city,state_2,zip,phone,email,fax,hours
Oklahoma,Adair,County Election Board,220 W Division St,,Stilwell,OK,74960-0006,918-696-7221,AdairCounty@elections.ok.gov,918-696-4905,Monday-Friday: 8:00-4:00
Oklahoma,Alfalfa,County Election Board,602 W 5th St,Ste 3,Cherokee,OK,73728-2560,580-596-2718,AlfalfaCounty@elections.ok.gov,580-596-2778,Monday-Friday: 8:30-2:30
Oklahoma,Atoka,County Election Board,200 E Court St.,Ste 106E,Atoka,OK,74525-2056,580-889-5297,AtokaCounty@elections.ok.gov,580-889-5311,Monday-Friday: 8:30-2:30
Oklahoma,Beaver,County Election Board,111 W 2nd St,,Beaver,OK,73932-0639,580-625-4742,BeaverCounty@elections.ok.gov,580-625-4743,Monday-Friday: 8:30-2:30
Oklahoma,Beckham,County Election Board,306 E Main St,,Sayre,OK,73662-2923,580-928-3314,BeckhamCounty@elections.ok.gov,580-928-9266,Monday-Friday: 8:00-2:00
Oklahoma,Blaine,County Election Board,212 N Weigle Ave,Ste 6,Watonga,OK,73772-3844,580-623-5518,BlaineCounty@elections.ok.gov,580-623-5519,Monday-Friday: 8:00-4:00
Oklahoma,Bryan,County Election Board,402 W Evergreen St.,Ste A2,Durant,OK,74702-1396,580-924-3228,BryanCounty@elections.ok.gov,580-924-2785,Monday-Friday: 9:00-3:00
Oklahoma,Caddo,County Election Board,110 SW 2nd St,Ste 112,Anadarko,OK,73005-0277,405-247-5001,CaddoCounty@elections.ok.gov,405-247-2052,Monday-Friday: 8:00-2:30
Oklahoma,Canadian,County Election Board,200 S Bickford Ave,,El Reno,OK,73036-0307,405-422-2422,CanadianCounty@elections.ok.gov,405-422-2450,Monday-Friday: 8:00-4:30
Oklahoma,Carter,County Election Board,25 A St NW,Ste 100,Ardmore,OK,73401-9272,580-223-5290,CarterCounty@elections.ok.gov,580-223-8203,Monday-Friday: 8:00-5:00
Oklahoma,Cherokee,County Election Board,914 S College Ave,,Tahlequah,OK,74464-4726,918-456-2261,CherokeeCounty@elections.ok.gov,918-453-2022,Monday-Friday: 8:00-4:30
Oklahoma,Choctaw,County Election Board,300 E Duke St,,Hugo,OK,74743-0517,580-326-5164,ChoctawCounty@elections.ok.gov,580-317-8245,Monday-Friday: 9:00-3:00
Oklahoma,Cimarron,County Election Board,County Courthouse,,Boise City,OK,73933-0331,580-544-3377,CimarronCounty@elections.ok.gov,580-544-3377,Monday-Friday: 8:30-2:30
Oklahoma,Cleveland,County Election Board,641 E Robinson St,Ste 200,Norman,OK,73071-6656,405-366-0210,info@clevelandcountyelectionboard.com,405-366-0209,Monday-Friday: 8:00-5:00
Oklahoma,Coal,County Election Board,18 N Michigan St,,Coalgate,OK,74538-2823,580-927-3456,CoalCounty@elections.ok.gov,580-927-3710,Monday-Friday: 9:00-3:00
Oklahoma,Comanche,County Election Board,315 SW 5th St.,Rm 206,Lawton,OK,73501-4326,580-353-1880,ComancheCounty@elections.ok.gov,580-353-0049,Monday-Friday: 8:30-5:00
Oklahoma,Cotton,County Election Board,301 N Broadway St.,Rm 206,Walters,OK,73572-1271,580-875-3403,CottonCounty@elections.ok.gov,580-875-3403,Monday-Friday: 9:00-3:00
Oklahoma,Craig,County Election Board,210 W Delaware Ave.,Ste 108,Vinita,OK,74301-4236,918-256-7559,CraigCounty@elections.ok.gov,918-256-8173,Monday-Friday: 8:30-4:30
Oklahoma,Creek,County Election Board,230 E Hobson Ave,,Sapulpa,OK,74067-0990,918-224-3529,CreekCounty@elections.ok.gov,918-227-6332,Monday-Friday: 8:00-5:00
Oklahoma,Custer,County Election Board,633 N 6th St,,Clinton,OK,73601-1326,580-323-5124,CusterCounty@elections.ok.gov,580-323-5130,Monday-Friday: 8:00-4:00
Oklahoma,Delaware,County Election Board,225 S 5th St,,Jay,OK,74346-0589,918-253-8762,DelawareCounty@elections.ok.gov,918-253-3286,Monday-Friday: 9:00-3:00
Oklahoma,Dewey,County Election Board,County Courthouse,Basement,Taloga,OK,73667-0115,580-328-5668,DeweyCounty@elections.ok.gov,580-328-5768,Monday-Friday: 8:00-4:00
Oklahoma,Ellis,County Election Board,101 S Washington St,,Arnett,OK,73832-0492,580-885-7721,EllisCounty@elections.ok.gov,580-885-7943,Monday-Friday: 8:30-2:30
