state ,county,location_name,location_type,address_1,address_2,city,state_2,zip,hours,notes
Oregon,Baker,Baker County Clerk's Office,Unknown,1995 3rd St,#150,Baker City,OR,97814,,Inside County Clerk's office
Oregon,Baker,Baker County Drive Up Drop Box,Unknown,1995 3rd St,,Baker City,OR,97814,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Baker,Halfway City Hall,Unknown,155-B East Record St,,Halfway,OR,97834,,Inside
Oregon,Baker,Huntington City Hall,Unknown,50 E Adams,,Huntington,OR,97907,,Inside
Oregon,Baker,Richland City Hall,Unknown,89 Main St,,Richland,OR,97870,,Inside
Oregon,Benton,Adair Village City Hall,Unknown,6030 NE William R Carr Ave,,Adair Village,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box next to the City Hall parking lot access
Oregon,Benton,Benton County Courthouse,Unknown,120 NW 4th St,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box on Courthouse lawn on Fourth St
Oregon,Benton,Benton County Courthouse,Unknown,120 NW 4th St,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at accessible entrance to the building on Fifth St
Oregon,Benton,Benton County Elections Office,Unknown,120 NW 4th St,Room 13,Corvallis,OR,97330,,Inside basement room 13 of County Courthouse
Oregon,Benton,Benton County Law Enforcement Building,Unknown,180 NW 5th St,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box across the street from the Courthouse
Oregon,Benton,Benton County Sunset Building,Unknown,4077 SW Research Way,,Corvallis,OR,97333,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in parking lot
Oregon,Benton,City Limits Market,Unknown,5800 NW OR-99,,Corvallis,OR,97330,,Inside
Oregon,Benton,Corvallis Community Center (C3),Unknown,2601 NW Tyler Ave,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour Drop box near main entrance
Oregon,Benton,Corvallis Public Library,Unknown,645 NW Monroe Ave,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour Drop box next to bike rack at corner of 6th and Monroe
Oregon,Benton,John Boy’s Alsea Mercantile Store,Unknown,186 E Main St,,Alsea,OR,97324,,Inside
Oregon,Benton,LBCC Benton Center,Unknown,757 NW Polk Ave,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour Drop box near main entrance
Oregon,Benton,Lincoln Health Center,Unknown,121 SE Viewmont Ave,,Corvallis,OR,97333,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box next to bike rack at the parking lot entrance
Oregon,Benton,Monroe Community Library,Unknown,380 N 5th St,,Monroe,OR,97456,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in parking lot
Oregon,Benton,North Albany Shopping Center,Unknown,621 Hickory Ave NW,,Albany,OR,97321,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in front of IGA Supermarket
Oregon,Benton,OSU Gill Coliseum,Unknown,660 SW 26th St,,Corvallis,OR,97331,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box Corner of Ralph Miller Ln and 26th St
Oregon,Benton,Philomath Public Library,Unknown,1050 Applegate St,,Philomath,OR,97370,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box near main entrance
Oregon,Benton,Wells Fargo Bank - Timberhill Shopping Center,Unknown,2543 NW Kings Blvd,,Corvallis,OR,97330,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in the outside drive up banking lane
Oregon,Clackamas,Boring - Clackamas County Bank,Unknown,28500 SE Hwy 212,,Boring,OR,97009,Monday-Sunday:12:00AM-12:00AM,Drive-up 24 hour drop box
Oregon,Clackamas,Canby - Arneson Garden,Unknown,249 Sequoia Pkwy,,Canby,OR,97013,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Canby Civic Building,Unknown,222 NE 2nd Ave,,Canby,OR,97013,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Clackamas CC - Harmony,Unknown,7738 SE Harmony Rd,,Milwaukie,OR,97222,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Clackamas County Elections Drop Box,Unknown,1710 Red Soils Ct,,Oregon City,OR,97045,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,ColtonTel,Unknown,20983 S Hwy 211,,Colton,OR,97017,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Damascus Square,Unknown,19850 SE Hwy 212,,Damascus,OR,97089,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Estacada City Hall,Unknown,475 SE Main St,,Estacada,OR,97023,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Estacada Public Library,Unknown,825 NW Wade St,,Estacada,OR,97023,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Gladstone Civic Center,Unknown,18505 Portland Ave,,Gladstone,OR,97027,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Happy Valley City Hall,Unknown,16000 SE Misty Dr,,Happy Valley,OR,97086,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Happy Valley Library,Unknown,13793 SE Sieben Park Way,,Happy Valley,OR,97015,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Hoodland Library,Unknown,24525 E Welches Rd,,Welches,OR,97067,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Lake Oswego - Westlake Park,Unknown,14165 Bunick Dr,,Lake Oswego,OR,97035,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Lake Oswego City Hall,Unknown,380 A Ave,,Lake Oswego,OR,97034,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Milwaukie City Hall,Unknown,10722 SE Main St,,Milwaukie,OR,97222,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Milwaukie Public Safety Building,Unknown,3200 SE Harrison St,,Milwaukie,OR,97222,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Molalla Public Library,Unknown,201 E 5th St,,Molalla,OR,97038,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,Oak Lodge Library,Unknown,16201 SE McLoughlin Blvd,,Oak Grove,OR,97267,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Oregon City - City Hall,Unknown,625 Center St,,Oregon City,OR,97045,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
