state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,source_data,email,fax,hours,notes
Pennsylvania,Allegheny County,North Park Ice Rink,Community Venue,1200 Pearce Mill Rd,,Wexford,PA,15090,,,,,,"Oct 10, 11, 24, 25 Saturday: 9AM-5PM, Sunday: 11AM-7PM",Drop Box;Satellite Election Office
Pennsylvania,Allegheny County,South Park Ice Rink,Community Venue,30 Corrigan Dr,,South Park,PA,15102,,,,,,"Oct 10, 11, 17, 18 Saturday: 9AM-5PM, Sunday: 11AM-7PM",Drop Box;Satellite Election Office
Pennsylvania,Allegheny County,Boyce Park Ski Lodge,Community Venue,901 Centerview Dr,,Plum,PA,15239,,,,,,"Oct 17, 18, 24, 25 Saturday: 9AM-5PM, Sunday: 11AM-7PM",Drop Box;Satellite Election Office
Pennsylvania,Allegheny County,"Shop N Save Hill District, Centre-Heldman Plaza",Community Venue,1850 Centre Ave,,Pittsburgh,PA,15219,,,,,,"Oct 17, 18 Saturday: 9AM-5PM, Sunday: 11AM-7PM",Drop Box;Satellite Election Office
Pennsylvania,Bucks County,Lower Bucks Government Services Center ,Community Venue,7321 New Falls Road,,Levittown,PA,19055,,,,,,10/5-10/26: 8AM-4:30PM; 10/27-10/30: 8AM-7PM; 10/31-11/1: 12PM-5PM; 11/2: 8AM-7PM; 11/3: 8AM-8PM,Monday-Friday beginning October 5; Daily beginning October 26
Pennsylvania,Centre County,Bryce Jordan Center (Ticket Center),Community Venue,240 Bryce Jordan Center,,University Park,PA,16802,,,,,,"Wednesday-Saturday; Oct 8, 15, 16, 17: 12PM-7PM; Oct 9, 10, 14, 21: 10AM-4PM; Oct 22, 23, 24: 10AM-7PM",Satellite Election Office
Pennsylvania,Dauphin County,Northern Dauphin Human Services Center,Community Venue,295 State Drive,,Elizabethville,PA,,,,,,,Monday-Friday: 8:00AM-4:30PM,Remote Dropoff Location
Pennsylvania,Venango,Courthouse Annex,Courthouse ,1174 Elk Street,2nd Floor,Franklin,PA,16323,814-432-9500,https://www.co.venango.pa.us/,,,,Office M-F: 8:30am-4:30pm; Drop Box: 24/7,
Pennsylvania,Blair,Courthouse,Courthouse ,423 Allegheny St.,Suite 43,Hollidaysburg,PA,16648,(814) 693-3150,http://www.blairco.org/,http://www.blairco.org/Dept/Elections/Pages/default.aspx,,,,
Pennsylvania,Cameron,Courthouse,Courthouse ,20 E. 5th St.,,Emporium,PA,15834,(814) 486-2315,http://www.cameroncountypa.com/,http://www.cameroncountypa.com/resident/elections/index.php,brenda@cameroncountypa.com,,Monday - Friday: 8:30am - 4:00PM,
Pennsylvania,Cameron County,Cameron County Courthouse - East Entrance,Courthouse ,20 E. 5th St.,,Emporium,PA,15834,,,,,,continuously,Drop Box
Pennsylvania,Crawford,Courthouse,Courthouse ,903 Diamond Park,,Meadville,PA,16335,(814) 333-7307,https://www.crawfordcountypa.net/,https://www.crawfordcountypa.net/VoterServices/Pages/home.aspx,,,Monday-Friday: 8:30AM-4:30PM,
Pennsylvania,Huntington,Courthouse,Courthouse ,223 Penn St,,Huntingdon,PA,16652,(814) 643-3091,http://www.huntingdoncounty.net/,http://www.huntingdoncounty.net/Dept/Commissioners/Elections/Pages/default.aspx,,,Monday - Friday 8:30AM-4:30PM,
Pennsylvania,Tioga,Tioga County Courthouse,Courthouse ,118 Main St.,,Wellsboro,PA,16901,(570) 723-8230,http://www.tiogacountypa.us/Pages/default.aspx,,pwhipple@tiogacountypa.us,,"Monday - Friday	8am-4:30pm",
Pennsylvania,Montgomery,secure drop-off (election day only),Unknown,100 Parklane Drive,,Eagleville,PA,19403,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,,
Pennsylvania,Montgomery,secure drop-off (election day only),Unknown,1210 East Hector St,,Conshohocken,PA,19428,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,,
Pennsylvania,Montgomery,secure drop-off (election day only),Unknown,801 Loch Alsh Ave,, Fort Washington,PA,19034,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,"M, W, F: 9am-4pm; Tues, Thurs: 11am-6pm; Sat, Sun: 11am-4pm; 10/31-11/1: 10am-6pm; 11/2-11/3: 9am-8pm",
Pennsylvania,Montgomery,secure drop-off (election day only),Unknown,600 Church Road,,Elkins Park,PA,19027,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,,
Pennsylvania,Montgomery County,secure drop-off,Unknown,1 Wall Park Dr,,Elkins Park,PA,19027,,,,,,"M, W, F: 9am-4pm; Tues, Thurs: 11am-6pm; Sat, Sun: 11am-4pm; 10/31-11/1: 10am-6pm; 11/2-11/3: 9am-8pm",Drop Box
Pennsylvania,Montgomery,secure drop-off,Unknown,2144 Snyder Road,,Green Lane,PA,18054,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,"M, W, F: 9am-4pm; Tues, Thurs: 11am-6pm; Sat, Sun: 11am-4pm; 10/31-11/1: 10am-6pm; 11/2-11/3: 9am-8pm""",
Pennsylvania,Montgomery County,Montgomery County Airy Street Parking Lot,Unknown,Corner of DeKalb and Airy Streets,,Norristown,PA,19141,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,95 S Hanover St,,Pottstown,PA,19464,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,300 Main St,,Royersford,PA,19468,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,4089 Heckler Rd,,Skippack,PA,19474,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,801 Lock Alsh Ave,,Fort Washington,PA,19034,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,226 Station Square Blvd,,Lansdale,PA,19446,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,3300 Davisville Ave,,Hatboro,PA,19040,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,5 S Bryn Mawr Ave,,Bryn Mawr,PA,19010,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Montgomery County,secure drop-off,Unknown,225 Washington St.,,Conshohocken,PA,19428,,,,,,"Monday, Wednesday, Friday: 9AM-4PM; Tuesday, Thursday: 11AM-6PM; Saturday, Sunday: 11AM-4PM; 10/31-11/1: 10AM-6PM; 11/2-11/3: 9AM-8PM",Drop Box
Pennsylvania,Northampton County,secure drop-off,Unknown,2801 Emrick Blvd,,Bethlehem,PA,18020,,,,,,Monday-Friday: 8:30AM-7PM,Drop Box
Pennsylvania,Northampton County,secure drop-off,Unknown,100 Gracedale Ave,,Nazareth,PA,18064,,,,,,Monday-Friday: 8:30AM-4:30PM,Drop Box
Pennsylvania,Northampton County,secure drop-off,Unknown,10 E Church St,,Bethlehem,PA,18018,,,,,,Monday-Friday: 8AM-4PM,Drop Box
Pennsylvania,Chester,Secure Drop Off,Unknown,601 Westtown Road,,West Chester,PA,19382,(610) 344-6410,https://www.chesco.org/,https://www.chesco.org/CivicAlerts.aspx?AID=1109,ccelectionofficials@chesco.org,,"Monday - Saturday ; M, Tue, Thurs, Fri: 8:30am-4:30pm; Wed: 8:30am-7pm; Sat: 9am-1pm",
Pennsylvania,Adams,Board of Elections Office,Elections Office,117 Baltimore Street,Room 106,Gettysburg,PA,17325,717-337-9832,http://www.adamscounty.us/,http://www.adamscounty.us/Dept/ElectVoteReg/Pages/default.aspx,acrouse@adamscounty.us,717-337-9830,Monday - Friday 8:00AM-4:30PM ​,
Pennsylvania,Allegheny,Elections Office,Elections Office,542 Forbes Avenue,6th Floor,Pittsburg,PA,15219,(412) 350-4500,https://www.alleghenycounty.us/,https://www.alleghenycounty.us/elections/on-election-day.aspx,,,"Monday - Friday 8:00AM-8:00PM, Saturday and Sunday through 10/25 Sat: 9am-5pm, Sun: 11am-7pm","Mail-in and absentee ballots can be dropped off at the Elections Office (542 Forbes Avenue, 6th Floor, downtown Pittsburgh). The division is planning to have drop off in the lobby of the building on Election Day. Parking spaces will be marked on Forbes Avenue directly in front of the building for voters to just pull up outside and go into the lobby to drop off their ballot. Please note: Voters may only drop off their own ballots."
Pennsylvania,Armstrong,Elections Office,Elections Office,450 East Market St.,,Kittanning,PA,16201,(724) 548-3222,https://co.armstrong.pa.us/,jbbellas@co.armstrong.pa.us,,,,
Pennsylvania,Beaver,Elections Bureau,Elections Office,810 Third St,,Beaver,PA,15009,(724) 770-4440,http://www.beavercountypa.gov/,,,,Monday - Friday 8:30AM-4:30PM ​,
Pennsylvania,Bedford,Elections Office,Elections Office,200 S. Juliana Street,,Bedford,PA,15522,(814) 623-4807,http://www.bedfordcountypa.org/,,,,Monday - Friday 8:30AM-4:30PM ​,
Pennsylvania,Berks,Elections Office,Elections Office,633 Court St.,1st Floor,Reading,PA,19601,(610) 478-6490,https://www.co.berks.pa.us/,,,,Monday - Friday 8:00AM-5:00PM ​,
Pennsylvania,Berks County,Berks County Services Center - Lobby,Elections Office,633 Court St.,,Reading,PA,19601,,,,,,Monday-Friday: 8AM-5PM; 11/3: 8AM-8PM,Drop Box
Pennsylvania,Bradford,County Election Office,Elections Office,6 Court St.,Ste. 2,Towanda,PA,18848,(570) 265-1717,https://bradfordcountypa.org/,https://bradfordcountypa.org/department/elections/,smithkorsr@bradfordco.org,,,
