state,county,location_name,location_type,address_1,address_2,city,state_2,zip,mail_address1,mail_zip,phone,phone2,county_website_url,email,fax,hours
South Carolina,Abbeville,Board of Voter Registration,Elections Office,903 West Greenwood Street,Suite 2500,Abbeville,SC,29620,,29620,"(864) 366-2400, ext. 53",,https://www.scvotes.gov/abbeville,klondon@abbevillecountysc.com,(864) 366-5797,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Aiken,Board of Voter Registration,Elections Office,1930 University Parkway,,Aiken,SC,29802,PO Box 3127,29802,(803) 642-2028,,https://www.scvotes.gov/aiken,cholland@aikencountysc.gov,(803) 642-2029,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Allendale,Board of Voter Registration,Elections Office,158 McNair Street,,Allendale,SC,29810,,29810,(803) 584-4178,,https://www.scvotes.gov/allendale,Sprince@allendalecounty.com,(803) 584-8147,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Anderson,Board of Voter Registration,Elections Office,301 N. Main St.,,Anderson,SC,29621,PO Box 8002,29622,(864) 260-4035,,http://www.andersoncountysc.org/Departments/Registration-Elections,acvote@andersoncountysc.org,(864) 260-4203,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Bamberg,Board of Voter Registration,Elections Office,1234 North St.,,Bamberg,SC,29003,PO Box 947,29003,(803) 245-3028,,https://www.scvotes.gov/bamberg,johnsonmc@bambergcounty.sc.gov,(803) 245-7968,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Barnwell,Board of Voter Registration,Elections Office,367 Fuldner Rd.,,Barnwell,SC,29812,,29812,(803) 541-1060,,https://www.scvotes.gov/barnwell,ndefrenn@barnwellsc.com,(803) 541-3683,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Beaufort,Board of Voter Registration,Elections Office,15 John Galt Road,,Beaufort,SC,29901,PO Drawer 1228,29906-4290,(866) 851-8683,,http://www.bcgov.net/vote,vote.beaufort@elections.sc.gov,(843) 255-9429,MONDAY-FRIDAY:9:00AM-4:00PM
South Carolina,Berkeley,Board of Voter Registration,Elections Office,6 Belt Drive,,Moncks Corner,SC,29461,PO Box 6122,29461,(843) 719-4056,,https://www.scvotes.gov/berkeley,webvre@berkeleycountysc.gov,(843) 719-4060,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Calhoun,Board of Voter Registration,Elections Office,102 Courthouse Drive,Suite 115,St. Matthews,SC,29135,,29135,(803) 874-2929,,https://www.scvotes.gov/calhoun,sjenkins@calhouncounty.sc.gov,(803) 874-2014,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Charleston,Board of Voter Registration,Elections Office,4367 Headquarters Road,,Charleston,SC,29405,PO Box 71419,29405,(843) 744-8683,,https://www.scvotes.gov/charleston,voterregistration@charlestoncounty.org,(843) 745-2236,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Cherokee,Board of Voter Registration,Elections Office,110 Railroad Avenue,,Gaffney,SC,29340,,29340,(864) 902-2330,,https://www.scvotes.gov/cherokee,amanda.walker@cherokeecountysc.com,(864) 902-1127,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Chester,Board of Voter Registration,Elections Office,109 Ella Street,,Chester,SC,29706,PO Box 750,29706,(803) 385-2562,,https://www.scvotes.gov/chester,kroach@chestercounty.org,(855) 946-0429,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Chesterfield,Board of Voter Registration,Elections Office,205 West Main Street,,Chesterfield,SC,29709,,29709,(843) 623-2265,,https://www.scvotes.gov/chesterfield,kthurman1@shtc.net,(843) 623-3196,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Clarendon,Board of Voter Registration,Elections Office,411 Sunset Drive,,Manning,SC,29102,,29102,(803) 435-8215,,https://www.scvotes.gov/clarendon,sblackoliver@clarendoncountygov.org,(803) 435-9074,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Colleton,Board of Voter Registration,Elections Office,2471 Jefferies Highway,,Walterboro,SC,29488,PO Box 97,29488,(843) 549-2842,,https://www.scvotes.gov/colleton,aupchurch@colletoncounty.org,(843) 549-2812,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Darlington,Board of Voter Registration,Elections Office,131 Cashua Street,,Darlington,SC,29532,,29532,(843) 398-4900,,https://www.scvotes.gov/darlington,hcampbell@darcosc.net,(843)398-4907,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Dillon,Board of Voter Registration,Elections Office,305 West Hampton Street,,Dillon,SC,29536,PO Box 973,29536,(843) 774-1403,,https://www.scvotes.gov/dillon,lsedwards@dilloncountysc.org,(843) 841-3728,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Dorchester,Board of Voter Registration,Elections Office,201 Johnston Street,,St. George,SC,29477,,29477,(843) 563-0132 ,,https://www.scvotes.gov/dorchester,vote@dorchestercountysc.gov,(843) 563-0186,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Edgefield,Board of Voter Registration,Elections Office,"210 Penn Street,",Suite 1,Edgefield,SC,29824,PO Box 442,29824,(803) 637-4072,,https://www.scvotes.gov/edgefield,tbutler@edgefieldcounty.sc.gov,(803) 637-4134,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Fairfield,Board of Voter Registration,Elections Office,315 South Congress St.,,Winnsboro,SC,29180,PO Drawer 60,29180,(803) 635-6255,,https://www.scvotes.gov/fairfield,voter.registration@fairfield.sc.gov,(803) 635-5095,MONDAY-FRIDAY:8:30AM-5:00PM
