State,County,location_type,location_name,address_1,address_2,city,state_2,zip,phone,email,fax
South Dakota,Aurora,County Auditor,Elections Office,401 North Main St,,Witten,SD,57368,(605) 942-7752,susan.urban@state.sd.us,
South Dakota,Beadle,County Auditor,Elections Office,450 3rd St. SW,Ste. 201,Huron,SD,57350,(605) 353-8400,auditor@beadlesd.org,(605) 353-8402
South Dakota,Bennett,County Auditor,Elections Office,201 State St,,Martin,SD,57551,(605) 685-6931,bcauditor@gwtc.net,(605) 685-6311
South Dakota,Bon Homme,County Auditor,Elections Office,300 West 18th Avenue,,Tyndall,SD,57066-0605,(605) 589-4212,tamara.brunken@state.sd.us,(605) 589-4202
South Dakota,Brookings,County Auditor,Elections Office,520 3rd St.,Ste. 100,Brookings,SD,57006,(605) 696-8250,vbuseth@brookingscountysd.gov,(605) 696-8259
South Dakota,Brown,County Auditor,Elections Office,25 Market St,Ste. 1,Aberdeen,SD,57401-4293,(605) 626-7110,Cathy.McNickle@browncounty.sd.gov,(605) 626-4010
South Dakota,Brule,County Auditor,Elections Office,300 S Courtland,Ste. 103,Chamberlain,SD,57325-1599,(605) 234-4430,brulaud@midstatesd.net,(605) 234-4430
South Dakota,Buffalo,County Auditor,Elections Office,112 Osman Avenue,,Gann Valley,SD,57341-0146,(605) 293-3217,buffalo.aud@midstatesd.net,(605) 293-3240
South Dakota,Butte,County Auditor,Elections Office,117 5th Avenue,,Belle Fourche,SD,57717,(605) 892-4485,auditor@buttesd.org,(605) 723-0057
South Dakota,Campbell,County Auditor,Elections Office,111 2nd St NE,,Mound City,SD,57646-0037,(605) 955-3366,campbellcommission@yahoo.com%20%20%20%20%20,(605) 955-3308
South Dakota,Charles Mix,County Auditor,Elections Office,400 Main St East,,Lake Andes,SD,57356,(605) 487-7131,ddavenport@charlesmixcounty.org,(605) 487-7221
South Dakota,Clark,County Auditor,Elections Office,200 North Commerical St,,Clark,SD,57225-0294,(605) 532-5921,christine.tarbox@state.sd.us,(605) 532-5931
South Dakota,Clay,County Auditor,Elections Office,211 W. Main St.,Ste. 200,Vermillion,SD,57069,(605) 677-7120,carri.crum@claycountysd.org,(605) 677-6970
South Dakota,Codington,County Auditor,Elections Office,14 First Ave SE,,Watertown,SD,57201-3611,(605) 882-6297,cbrugman@codington.org,(605) 882-6288
South Dakota,Corson,County Auditor,Elections Office,108 1st St East,,McIntosh,SD,57641-0255,(605) 273-4229,corsonauditor@sdplains.com,(605) 273-4233
South Dakota,Custer,County Auditor,Elections Office,420 Mt. Rushmore Rd.,,Custer,SD,57730,(605) 673-8173,countyauditors@custercountysd.com,(605) 673-8121
South Dakota,Davison,County Auditor,Elections Office,200 E 4th Ave,,Mitchell,SD,57301-2692,(605) 995-8608,auditor@davisoncounty.org,(605) 995-8618
South Dakota,Day,County Auditor,Elections Office,711 W 1st St,,Webster,SD,57274,(605) 345-9500,auditor@daycounty.org,(605) 345-9515
South Dakota,Deuel,County Auditor,Elections Office,408 4th St West,,Clear Lake,SD,57226-0616,(605) 874-2312,dcaudit1@itctel.com,(605) 874-1306
South Dakota,Dewey,County Auditor,Elections Office,710 C Street,,Timber Lake,SD,57656-0277,(605) 865-3672,auditor@deweycounty.biz,(605) 865-3691
South Dakota,Douglas,County Auditor,Elections Office,706 Braddock St,,Armour,SD,57313-0159,(605) 724-2423,phyllis.barker@state.sd.us,(605) 724-2204
South Dakota,Edmunds,County Auditor,Elections Office,210 2nd Avenue,,Ipswich,SD,57451-0097,(605) 426-6762,kschurr@midco.net,(605) 426-6164
South Dakota,Fall River,County Auditor,Elections Office,906 N River St,,Hot Springs,SD,57747-1398,(605) 745-5130,sue.ganje@state.sd.us,(605) 745-6835
South Dakota,Faulk,County Auditor,Elections Office,110 9th Avenue South,,Faulkton,SD,57438-0309,(605) 598-6224,faulkaud@venturecomm.net,(605) 598-6680
South Dakota,Grant,County Auditor,Elections Office,210 E Fifth Ave,,Milbank,SD,57252-2499,(605) 432-6711,karen.layher@grantcountysd.us,(605) 432-9004
South Dakota,Gregory,County Auditor,Elections Office,221 East 8th St,,Burke,SD,57523,(605) 775-2664,Julie.Bartling@state.sd.us,(605) 775-2596
South Dakota,Haakon,County Auditor,Elections Office,140 South Howard,,Philip,SD,57567,(605) 859-2800,haakon@gwtc.net,(605) 859-2801
South Dakota,Hamlin,County Auditor,Elections Office,300 4th St,,Hayti,SD,57241-0237,(605) 783-3201,dixie.opdahl@state.sd.us,(605) 783-3201
South Dakota,Hand,County Auditor,Elections Office,415 West First Ave,Ste. 202,Miller,SD,57362-1346,(605) 853-2182,auditor@handcountysd.org,
South Dakota,Hanson,County Auditor,Elections Office,750 5th Street,,Alexandria,SD,57311-0500,(605) 239-4714,lesa.trabing@state.sd.us,(605) 239-4296
South Dakota,Harding,County Auditor,Elections Office,410 Ramsland St,,Buffalo,SD,57720-0026,(605) 375-3313,kathy.glines@state.sd.us,(605) 375-3318
South Dakota,Hughes,County Auditor,Elections Office,104 E. Capitol Avenue,,Pierre,SD,57501,(605) 773-7451,Jane.Naylor@co.hughes.sd.us,(605) 773-7479
South Dakota,Hutchinson,County Auditor,Elections Office,201 W Mentor St,,Olivet,SD,57052-2103,(605) 387-4212,dmurtha@hutchinsoncounty.org,(605) 387-4207
