state ,county ,location_name,location_type,address_1,address_2,city,state_2,zip,phone,email
Utah,Beaver County,County Clerk,election official office,105 E. Center St.,,Beaver,UT,84713,435-438-6463,gingermcmullin@beaver.utah.gov
Utah,Box Elder County,County Clerk,election official office,01 S. Main St.,,Brigham City,UT,84302,435-734-3393,myoung@boxeldercounty.org
Utah,Cache County,County Clerk,election official office,179 North Main St.,Suite 102,Logan,UT,84321,435-755-1460,jill.zollinger@cachecounty.org
Utah,Carbon County,County Clerk,election official office,751 E. 100 N.,Suite 1100,Price,UT,84501,435-636-3221,seth.marsing@carbon.utah.gov
Utah,Daggett County,County Clerk,election official office,,,,UT,,435-784-3154,braymond@daggettcounty.org
Utah,Davis County,County Clerk,election official office,61 S Main St.,,Farmington,UT,84025,801-451-3213,clerkauditor@daviscountyutah.gov
Utah,Duchesne County,County Clerk,election official office,734 N Center St.,,Duchesne,UT,84021,435-738-1228,jevans@duchesne.utah.gov
Utah,Emery County,County Clerk,election official office,,,,UT,,435-381-3550,brendat@emery.utah.gov
Utah,Garfield County,County Clerk,election official office,55 S Main,,Panguitch,UT,84759,435-676-1120,camille.moore@garfield.utah.gov
Utah,Grand County,County Clerk,election official office,125 E Center,,Moab,UT,84532,435-259-1321,qhall@grandcountyutah.net
Utah,Iron County,County Clerk,election official office,68 S 100 E,,Parowan,UT,84761,435-477-8340,jwhittaker@ironcounty.net
Utah,Juab County,County Clerk,election official office,160 North Main,,Nephi,UT,84648,435-623-3410,alainal@juabcounty.com
Utah,Kane County,County Clerk,election official office,76 N Main St.,,Kanab,UT,84741,435-644-2458,clerkkj@kane.utah.gov
Utah,Millard County,County Clerk,election official office,765 S Highway 99,Suite 6,Fillmore,UT,84631,435-743-6223,mrowley@co.millard.ut.us
Utah,Morgan County,County Clerk,election official office,48 West Young St.,Room 18,Morgan,UT,84050,801-845-4011,sclark@morgan-county.net
Utah,Piute County,County Clerk,election official office,,,,UT,,435-577-2840,kgleave@piute.utah.gov
Utah,Rich County,County Clerk,election official office,20 South Main,,Randolph,UT,84064,435-793-2415,bpeart@richcountyut.org
Utah,Salt Lake County,County Clerk,election official office,2001 South State St.,#S1200,Salt Lake City,UT,84190,385-468-7400,got-vote@slco.org
Utah,San Juan County,County Clerk,election official office,,,,UT,,435-587-3223,jdnielson@sanjuancounty.org
Utah,Sanpete County,County Clerk,election official office,160 North Main,Suite 202,Manti,UT,84642,435-835-2131,sneill@sanpetecountyutah.gov
Utah,Sevier County,County Clerk,election official office,,,,UT,,435-893-0401,elections@sevier.utah.gov
Utah,Summit County,County Clerk,election official office,60 N Main,,Coalville,UT,84017,435-336-3204,kentjones@summitcounty.org
Utah,Tooele County,County Clerk,election official office,47 S Main ,#318,Tooele,UT,84074,435-843-3140,mgillette@tooeleco.org
Utah,Uintah County,County Clerk,election official office,147 East Main,,Vernal,UT,84078,435-781-5360,Kvalencia@uintah.utah.gov
Utah,Utah County,County Clerk,election official office,100 E Center,Room 3100,Provo,UT,84606,801-851-8128,elections@utahcounty.gov
Utah,Wasatch County,County Clerk,election official office,25 North Main,,Heber City,UT,84032,435-657-3190,clerkauditor@wasatch.utah.gov
Utah,Washington County,County Clerk,election official office,197 East Tabernacle St.,,St. George,UT,84770,435-634-5712,kim.hafen@washco.utah.gov
Utah,Wayne County,County Clerk,election official office,18 South Main,,Loa,UT,84747,435-836-1300,ryan@wayne.utah.gov
Utah,Weber County,County Clerk,election official office,2380 Washington Blvd., #320,Ogden,UT,84401,801-399-8034,elections@weberelections.com
