town,county,mail_address1,mail_city,mail_state,mail_zip,address1,address2,city,state_2,zip,phone,phone2,phone3,fax,email,hours
Fair Haven,Rutland,3 North Park Place,Fair Haven,VT,05743,3 North Park Place,,Fair Haven,VT,05743,802 -265-3610 x.4,,,802 -265-3176,sdclerk@comcast.net,M W Th 7:30-4:30; T 7:30-7
Bradford,Orange,P.O. Box 339,Bradford,VT,05033,172 North Main Street,,Bradford,VT,05033,802 222-4727,,,802 222-3520,clerk@bradford-vt.us,M-Th 7-3:30; F 8-12
Marlboro,Windham,P.O. Box E,Marlboro,VT,05344,510 South Road,,Marlboro,VT,05344,802 254-2181,,,802 257-2447,marlborotownclerk@gmail.com,M W Th 9-4  
Colchester,Chittenden,781 Blakely Road,Colchester,VT,05446,781 Blakely Road,,Colchester,VT,05446,802 264-5520,,,802 264-5503,jgraeter@colchestervt.gov,M-F 7:30-12
Bennington,Bennington,205 South Street,Bennington,VT,05201,205 South Street,,Bennington,VT,05201,802 442-1043,,,802 442-1068,cbarbeau@benningtonvt.org,M-F 8-5 & The Day Before Any Election 8-12
Woodford,Bennington,1391 VT Route 9,Woodford,VT,05201,1391 VT Route 9,,Woodford,VT,05201,802 442-4895,,,802 442-4816,woodfordvt@comcast.net,M W Th 8:30-2; T 11-5
Woodbury,Washington,P.O. Box 10,Woodbury,VT,05681,1672 Route 14,,Woodbury,VT,05681,802 456 7051,,,802 456 8834,woodburyclerk@comcast.net,M-Th 9-1
Dover,Windham,P.O. Box 527,West Dover,VT,05356,102 Route 100,,West Dover,VT,05356,802-464-5100 x 2,,,802 464 8721,townclerk@doververmont.com,M-F 9-5
Maidstone,Essex,P.O. Box 118,Guildhall,VT,05905,508 Vermont Route 102,,Maidstone,VT,05905,802 676-3210,,,802 676-3607,maidstonetownclerk@gmail.com ,M Th 9-3
Vershire,Orange,6894 VT RT 113,Vershire,VT,05079,6894 VT RT 113,,Vershire,VT,05079,802-685-2227,,,802 685 1113,clerk-treasurer@vershirevt.org,T W Th 8:30-12 & 1-4:30
Lunenburg,Essex,P.O. Box 53,Lunenburg,VT,05906,9 West Main Street,,Lunenburg,VT,05906,802 892 5959,,,802 892 5100,lunenburg01@live.com,M-F 8:30-12 & 1:30-3
Middlesex,Washington,5 Church Street,Middlesex,VT,05602,5 Church Street,,Middlesex,VT,05602,802-223-5915,,,802-223-1298,mdxclerk@comcast.net,M-Th 8:30-4:30
East Montpelier,Washington,P.O. Box 157,E Montpelier,VT,05651,40 Kelton Road,,East Montpelier,VT,05651,802-223-3313 x201,,,802-223-4467,clerk@eastmontpeliervt.org,M-Th 9-5; F 9-12
Montpelier,Washington,39 Main Street - City Hall,Montpelier,VT,05602,39 Main Street,,Montpelier,VT,05602,802-223-9500,,,802-223-9523,jodum@montpelier-vt.org,M-F 8-4:30 & Saturdays before elections 10-2
Cavendish,Windsor,P.O. Box 126,Cavendish,VT,05142,37 High St,,Cavendish,VT,05142,802-226-7291, 802-226-7292,,802-226-7290,d.mcnamara@comcast.net,M-F 9-4:30
Ludlow,Windsor,P.O. Box 307,Ludlow,VT,05149,37 Depot Street,,Ludlow,VT,05149,802-228-3232,,,802-228-8399,treasure@ludlow.vt.us,M-F 8:30-4:30
Worcester,Washington,P.O. Box 161,Worcester,VT,05682,20 Worcester Village Road,,Worcester,VT,05682,802-223-6942,,,802-229-5216,worcestertclerk@comcast.net,M 3-7; T-Th 8-4; F 7-10am & after 10 by appt. 
Berlin,Washington,108 Shed Road,Berlin,VT,05602,108 Shed Road,,Berlin,VT,05602,802-229-9298,,,802-229-9530,townclerk@berlinvt.org,M-Th 8:30-3:30
Bethel,Windsor,P.O. Box 404,Bethel,VT,05032,134 South Main Street,,Bethel,VT,05032,802-234-9722,,,802-234-6840,betheltownclerk@comcast.net,M Th 8-12:30 & 1-4; T W F 8-1
Ira ,Rutland,53 West Road,Ira,VT,05777,53 West Road,,Ira  ,VT,05777,802-235-2745,,,802-235-1045,iraclerk@vermontel.com,T 2-6; T 8:30-2:30
Middletown Springs,Rutland,P.O. Box 1232,Middletown Springs,VT,05757,10 Park Avenue,,Middletown Springs,VT,05757,802-235-2220,,,802-235-2066,middletown@vermontel.net,M T Th F 8-1; T Th 4-7pm
Waterbury,Washington,"28 North Main Street, Suite. 1",Waterbury,VT,05676,"28 North Main Street, Suite. 1",,Waterbury,VT,05676,802-244-8447,,,802-244-1014,clawrence@waterburyvt.com,M-F 8-4:30
Duxbury,Washington,5421 VT Route 100,Duxbury,VT,05676,5421 VT Route 100,,Duxbury,VT,05676,802-244-6660,,,802-244-5442,duxtc@myfairpoint.net,T-F 7:30-3:30
Brandon,Rutland,49 Center Street,Brandon,VT,05733,49 Center Street,,Brandon,VT,05733,802-247-3635,,,802-247-5481,sgage@townofbrandon.com,M-F 8-4
Leicester,Addison,44 Schoolhouse Road,Leicester,VT,05733,44 Schoolhouse Road,,Leicester,VT,05733,802-247-5961 x 3,,,802-247-6501,leicestervt@comcast.net,M T Th 9-2
Goshen,Addison,50 Carlisle Hill Road,Goshen,VT,05733,50 Carlisle Hill Road,,Goshen,VT,05733,802-247-6455,,,802-247-6740,townclerk@goshenvt.org,T 9-1  
Stowe,Lamoille,P.O. Box 730,Stowe,VT,05672,67 Main Street,,Stowe,VT,05672,802-253-6133,,,802-253-6143,lwalker@stowevt.gov,M-F 8-4:30
Vernon,Windham,567 Governor Hunt Road,Vernon,VT,05354,567 Governor Hunt Road,,Vernon,VT,05354,802-257-0292,,,802-254-3561,clerk@vernonvt.org,M-Th 7-5
Brattleboro,Windham,"230 Main Street, Suite 108",Brattleboro,VT,05301,"230 Main Street, Suite 108",,Brattleboro,VT,05301,802-251-8157,,,802-257-2312,townclerk@brattleboro.org,M-F 8:30-5
Guilford,Windham,236 School Road,Guilford,VT,05301,236 School Road,,Guilford,VT,05301,802-254-6857 x 101,,,802-257-5764,pennymarine@guilfordvt.net,"M 7am-6, T-Th 7-5"
Dummerston,Windham,1523 Middle Road,E. Dummerston,VT,05346,1523 Middle Road,,Dummerston,VT,05346,802-257-1496,,,802-2574671,townclerk@dummerston.org,M T Th F 9-3; W 11-5
Mount Holly,Rutland,P.O. Box 248,Mount Holly,VT,05758,50 School St,,Mount Holly,VT,05758,802-259-2391,,,802-259-2635,mthollytc@yahoo.com,M-Th 8:30-4
Baltimore,Windsor,1902 Baltimore Road,Baltimore,VT,05143,1902 Baltimore Road,,Baltimore,VT,05143,802-263-5274,,,802-263-5274,baltimorevt@tds.net,W 4-6pm; Th 9-11
West Haven,Rutland,2919 Main Road,West Haven,VT,05743,2919 Main Road,,West Haven,VT,05743,802-265-4880,,,802-265-3828,townofwesthaven@myfairpoint.net,M W 1-3:30; and by appt.
Canaan,Essex,P.O. Box 159,Canaan,VT,05903,318 Christian Hill,,Canaan,VT,05903,802-266-3370,,,802-266-8253,nlabrecque@canaanschools.org,M-Th 8-4; F 8-3
