state,county,location_type,location_name,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,hours
Virginia,ACCOMACK COUNTY,Elections Office,Accomack County Voter Registration,24387 Joynes Neck Rd,"124 N. Main Street , 2nd Floor",Accomac,VA,23301,757-787-2935,,govote@co.accomack.va.us,757-787-4823,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,ALBEMARLE COUNTY,Elections Office,Albemarle County Voter Registration,1600 5th St,,Charlottesville,VA,22902,434-972-4173,https://www.albemarle.org/government/elections,VoterRegistration@albemarle.org,434-972-4178,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,ALEXANDRIA CITY,Elections Office,City of Alexandria,132 N Royal St ,Ste 100,Alexandria,VA,22314,703-746-4050,http://www.alexandriavoter.org,voters@alexandriava.gov,703-838-6449,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,ALLEGHANY COUNTY,Elections Office,Alleghany County Voter Registration,110 Rosedale Ave ,Ste D,Covington,VA,24426,540-965-1690,http://www.alleghanycounty.us/,govote5@ntelos.net,540-965-1692,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,AMELIA COUNTY,Elections Office,Amelia County General Registrar's Office,9127 Washington St,,Amelia Court House,VA,23002,804-561-3460,,govote007@tds.net,804-561-3490,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,AMHERST COUNTY,Elections Office,Dept of Elections & Voter Registration Office,113 Taylor St,,Amherst,VA,24521,434-946-9315,,dbrown@countyofamherst.com,434-946-9345,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,APPOMATTOX COUNTY,Elections Office,Appomattox,367 Virginia Ave,,Appomattox,VA,24522,434-352-5302,,govote011@appomattoxcountyva.gov,434-352-4409,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,ARLINGTON COUNTY,Elections Office,Arlington County Elections,2100 Clarendon Blvd,Ste 320,Arlington,VA,22201,703-228-3456,http://vote.arlingtonva.us,voters@arlingtonva.us,703-228-3659,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,AUGUSTA COUNTY,Elections Office,Augusta County Office of Voter Registration,18 Government Center Ln,,Verona,VA,24482,540-245-5656,,registrar@co.augusta.va.us,540-245-5037,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,BATH COUNTY,Elections Office,BATH COUNTY GENERAL REGISTRAR,65 Courthouse Hill Rd,Rm 103,Warm Springs,VA,24484,540-839-7266,http://www.bathcountyva.org,bathvoter@tds.net,540-839-7277,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,BEDFORD COUNTY,Elections Office,Bedford County Office of Elections,321 N Bridge St,Ste 200,Bedford,VA,24523,540-586-7649,https://www.bedfordcountyva.gov/departments/voter-information,b.gunter@bedfordcountyva.gov,540-586-8358,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,BLAND COUNTY,Elections Office,Bland County Voter Registration and Elections Office,20 Fairground ST,,Bland,VA,24315,276-688-4441,http://www.blandcountyva.gov/departments/voter-registration/,govote021@embarqmail.com,276-688-2135,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,BOTETOURT COUNTY,Elections Office,Dept of Elections & Voter Registration,2 E Main St,,Fincastle,VA,24090,540-928-2120,http://botetourtva.gov/your-government/voter-information/,tclark@botetourtva.gov,540-473-8657,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,BRISTOL CITY,Elections Office,Bristol Elections and Voter Registration,300 Lee St ,Ste 101,Bristol,VA,24201,276-645-7318,https://www.bristolva.org/,vote@bristolva.org,276-645-7331,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,BRUNSWICK COUNTY,Elections Office,Brunswick County Registrar's Office,100 Tobacco St ,Rm 103,Lawrenceville,VA,23868,434-848-4414,,govote025@brunswickco.com,434-848-9276,Monday:08:30-04:30;Tuesday:08:30-04:30;Wednesday:08:30-04:30;Thursday:08:30-04:30;Friday:08:30-04:30
Virginia,BUCHANAN COUNTY,Elections Office,Voter Registration and Elections,23784 Riverside Dr,,Grundy,VA,24614,276-935-6534,,registrar@buchanancounty-va.gov,276-935-4320,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,BUCKINGHAM COUNTY,Elections Office,County of Buckingham,13360 W James Anderson Hwy,,Buckingham,VA,23921,434-969-4304,,elections@buckinghamcounty.virginia.gov,434-969-2060,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,BUENA VISTA CITY,Elections Office,Office of the Registrar City of Buena Vista,2039 Sycamore Ave,,Buena Vista,VA,24416,540-261-8605,,estaton@bvcity.org,540-261-8618,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,CAMPBELL COUNTY,Elections Office,Campbell County Department of Elections,41 Court House Ln,,Rustburg,VA,24588,434-332-9579,http://www.co.campbell.va.us/depts/registrar/Pages/index.aspx,klmartin@co.campbell.va.us,434-332-9689,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,CAROLINE COUNTY,Elections Office,Caroline County General Registrars Office,212 N Main St,,Bowling Green,VA,22427,804-633-9083,http://co.caroline.va.us,kmcvay@co.caroline.va.us,804-633-0362,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-05:00
Virginia,CARROLL COUNTY,Elections Office,VOTER REGISTRATION OFFICE,605 Pine St ,Ste 3,Hillsville,VA,24343,276-730-3035,http://carrollcountyva.org/govt_template/voter_registration/,kimberly.cloud@carrollcountyva.gov,276-730-3040,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,CHARLES CITY COUNTY,Elections Office,Charles City County General Registrar Office,10900 Courthouse Rd,440 Market Street,Charles City,VA,23030,804-652-4606,http://www.co.charles-city.va.us/index.asp?,cbarneycastle@co.charles-city.va.us,804-829-6823,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,CHARLOTTE COUNTY,Elections Office,Charlotte County Voter Registration Office,420 Thomas Jefferson HWY,,Charlotte Court House,VA,23923,434-542-5856,,charlottecovotes037@gmail.com,434-542-4168,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,CHARLOTTESVILLE CITY,Elections Office,Charlottesville City Voter Registration & Elections,120 7th ST NE,,Charlottesville,VA,22902,434-970-3250,http://www.charlottesville.gov/vote,vote@charlottesville.gov,434-970-3249,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
