type,county,place,address,address_1,address_2,csz,city,zip,description
Dropbox,Adams,Adams County Public Services Building Drop Box,"425 E Main St, Othello WA  99344",425 E Main St,,Othello WA 99344,Othello,99344,"24-hour, convenient, safe, secure ballot drop box located just outside the front door. "
Dropbox,Adams,Ritzville City Hall,"216 E. Main Ave, Ritzville WA  99169",216 E. Main Ave,,Ritzville WA 99169,Ritzville,99169, 
Dropbox,Adams,Town of Washtucna City Hall,"165 S Main St, Washtucna  WA  99371",165 S Main St,,Washtucna WA 99371,Washtucna,99371, 
Dropbox,Adams,Town of Lind - Town Clerk,"116 1/2 W. 2nd St., Lind WA  99341",116 1/2 W. 2nd St.,,Lind WA 99341,Lind,99341, 
Dropbox,Asotin,Asotin County Courthouse Drop Box,"135 Second St., Asotin WA  99402",135 Second St.,,Asotin WA 99402,Asotin,99402,
Dropbox,Asotin,Clarkston City Hall,"829 5th Street, Clarkston WA  99403",829 5th Street,,Clarkston WA 99403,Clarkston,99403,located in the alley behind Clarkston City Hall
Dropbox,Asotin,Lincoln Middle School,"1945 4th Ave, Clarkston WA  99403",1945 4th Ave,,Clarkston WA 99403,Clarkston,99403,located behind Lincoln Middle School
Dropbox,Benton,West Richland Library,"3803 W. Van Giesen, West Richland WA  99353",3803 W. Van Giesen,,West Richland WA 99353,West Richland,99353,West Richland City Hall Drop Box 
Dropbox,Benton,Jefferson Park,"100 Symons St, Richland WA  99354",100 Symons St,,Richland WA 99354,Richland,99354,Jefferson Park Drive Thru Drop Box At the corner of George Washington Way and Symons St
Dropbox,Benton,Prosser Auditor's Office,"620 Market St, Prosser WA  99350",620 Market St,,Prosser WA 99350,Prosser,99350,
Dropbox,Benton,Kennewick Auditor's Annex,"5600 W Canal Dr, Kennewick WA  99336",5600 W Canal Dr,,Kennewick WA 99336,Kennewick,99336,
Dropbox,Benton,Kennewick City Hall,"210 W 6th Ave, Kennewick WA  99336",210 W 6th Ave,,Kennewick WA 99336,Kennewick,99336,Kennewick City Hall Drive Thru Drop Box 
Dropbox,Benton,Benton City Hall,"1009 Dale Ave, Benton City WA  99320",1009 Dale Ave,,Benton City WA 99320,Benton City,99320,Benton City City Hall Drop Box 
