county,location_type,county_website_url,address_1,address_2,address_city,address_zip,mail_address_1,mail_city,mail_zip,Email,Phone,phone2,fax,hours
Skamania,Elections Office,https://www.skamaniacounty.org/departments-offices/auditor/elections,240 NW Vancouver Ave,,Stevenson ,98648,PO Box 790,Stevenson ,98648-0790,elections@co.skamania.wa.us,509-427-3730,,509-427-3740,Monday-Thursday:07:30-17:30
Asotin,Elections Office,http://www.co.asotin.wa.us/index.php/auditor/elections-2,135 2nd St,,Asotin,99402,PO Box 129,Asotin,99402-0129,dmckay@co.asotin.wa.us,509-243-2084,,509-243-2087,Monday-Thursday:07:30-17:30;Friday:07:30-16:00
Wahkiakum,Elections Office,https://www.co.wahkiakum.wa.us/419/Elections,64 Main St,,Cathlamet,98612,PO Box 543,Cathlamet,98612-0543,bergsengn@co.wahkiakum.wa.us,360-795-3219,,360-795-0824,Monday-Friday:08:00-12:30;Monday-Friday:13:30-16:00
Ferry,Elections Office,https://ferrycountyauditor.com/,350 E. Delaware Ave,#2,Republic,99166-9747,,,,delections@co.ferry.wa.us,(509) 775-5225 ext. 1139,,509-775-5208,Monday-Friday:08:00-16:00
Okanogan,Elections Office,https://www.okanogancounty.org/auditor/elections/elections.html,149 3rd Avenue N,Rm.104,Okanogan,98840,PO Box 1010,Okanogan,98840-1010,elections@co.okanogan.wa.us,509-422-7240,,509-422-7163,Monday-Friday:08:00-16:00
Clallam,Elections Office,http://clallam.net/Auditor/,223 E 4th St,Suite #1,Port Angeles,98362-3026,,,,elections@co.clallam.wa.us,360-417-2221,,(360) 417-2312,Monday-Friday:08:00-16:30
Island,Elections Office,https://www.islandcountywa.gov/auditor,400 N Main St,,Coupeville,98239,PO Box 1410,Coupeville,98239-1410,elections@islandcountywa.gov,360-679-7366,,(360) 678-2326,Monday-Friday:08:00-16:30
Kitsap,Elections Office,https://www.kitsapgov.com/auditor/Pages/elections.aspx,619 Division Street,,Port Orchard,98366-4678,,,,auditor@co.kitsap.wa.us,360-337-7128,,360-337-5769,Monday-Friday:08:00-16:30
Lewis,Elections Office,http://elections.lewiscountywa.gov/,351 N.W. North Street,,Chehalis,98532,PO Box 29,Chehalis,98532-0029,elections@lewiscountywa.gov,360-740-1164,,360-740-1421,Monday-Friday:08:00-16:30
Pacific,Elections Office,https://co.pacific.wa.us/auditor/elections.htm,7013 Sandridge,,Long Beach,98631,PO Box 97,South Bend,98586-0097,jkidd@co.pacific.wa.us,360-875-9317,,360-875-9333,Monday-Friday:08:00-16:30
