address_1,state,county,location_name,location_type,address_2,city,state_2,zip,phone,email,fax
26 N. Main Philippi,West Virginia,Barbour,County Clerk ,Elections Office,,Phillippi,WV,26416,(304) 457-2232,barbourcounty@wvsos.com,(304) 457-5983
400 W. Stephen St. ,West Virginia,Berkeley,County Clerk ,Elections Office,Suite 106,Martinsburg,WV,25401,(304) 264-1989,berkeleycounty@wvsos.com,(304) 260-4882
200 State Street,West Virginia,Boone,County Clerk ,Elections Office,Suite 104,Madison,WV,25130,(304) 369-7330,boonecounty@wvsos.com,(304) 369-7329
300 Main Street ,West Virginia,Braxton,County Clerk ,Elections Office,P.O. Box 486,Sutton,WV,26601,(304) 765-2833,braxtoncounty@wvsos.com,(304) 765-2093
632 Main Street Wellsburg,West Virginia,Brooke,County Clerk ,Elections Office,,Wellsburg,WV,26070,(304) 737-3661,barbetta@mail.wvnet.edu,(304) 737-4023
750 5th Avenue ,West Virginia,Cabell,County Clerk ,Elections Office,Suite 108,Huntington,WV,25701,(304) 526-8625,psmith@cabellcountyclerk.org,(304) 526-8632
363 Main Street,West Virginia,Calhoun,County Clerk ,Elections Office,Suite 201,Grantsville,WV,26147,(304) 354-6725,calhouncounty@wvsos.com,(304) 354-6447
246 Main Street ,West Virginia,Clay,County Clerk ,Elections Office,P.O. Box 190,Clay,WV,25043,(304) 587-4259,claycounty@wvsos.com,(304) 587-4202
108 Court Street,West Virginia,Doddridge,County Clerk ,Elections Office,Suite 1,West Union,WV,26456,(304) 873-2631,doddridgecounty@wvsos.com,(304) 873-1840
100 Court Street ,West Virginia,Fayette,County Clerk ,Elections Office,"ATTN: Elections , Ste. 1",Fayetteville,WV,25840,(304) 574-4225,fayettecounty@wvsos.com,(304) 574-4335
10 Howard Street,West Virginia,Gilmer,County Clerk ,Elections Office,,Glenville,WV,26351,(304) 462-7641,gilmercounty@wvsos.com,(304) 462-8855
