state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,phone2,email,fax
Wyoming,Albany County,County Clerks ,Elections Office,525 Grand Avenue,Suite 202,Laramie,WY,82070,307.721.2546,,elections@co.albany.wy.us,307.721.2544
Wyoming,Big Horn County,County Clerks ,Elections Office,420 C St,,Basin,WY,82410-0031,307.568.2357,,Lori.Smallwood@bighorncountywy.gov,307.568.9375
Wyoming,Campbell County,County Clerks ,Elections Office,500 S Gillette Ave ,# 1600,Gillette,WY,82717-3010,307.686.1892,,cds02@ccgov.net,307.687.6455
Wyoming,Carbon County,County Clerks ,Elections Office,415 W Pine St,,Rawlins,WY,82301-0006,307.328.2650,,elections@carbonwy.com,307.328.2669
Wyoming,Converse County,County Clerks ,Elections Office,107 North 5th Street,Suite 114,Douglas,WY,82633-2448,307.358.2244,,janeen.morvee@conversecountywy.gov,307.358.5998
Wyoming,Crook County,County Clerks ,Elections Office,309 Cleveland Street,,Sundance,WY,82729-0037,307.283.1323,,LindaF@crookcounty.wy.gov,307.283.3038
Wyoming,Fremont County,County Clerks ,Elections Office,450 North 2nd Street,Room 220,Lander,WY,82520-0090,307.332.1089,,elections@fremontcountywy.gov,307.332.1132
Wyoming,Goshen County,County Clerks ,Elections Office,2125 E A St,,Torrington,WY,82240-0160,307.532.4051,,countyclerk@goshencounty.org,307.532.7375
Wyoming,Hot Springs County,County Clerks ,Elections Office,415 Arapahoe,,Thermopolis,WY,82443-2783,307.864.3515,,elections@hscounty.com,307.864.3333
Wyoming,Johnson County,County Clerks ,Elections Office,76 North Main Street,,Buffalo,WY,82834-1883,307.684.7272,,vedelman@johnsoncowy.us,307.684.2708
Wyoming,Laramie County,County Clerks ,Elections Office,309 West 20th Street,,Cheyenne,WY,82003-0608,307.633.4242,,election@laramiecountyclerk.com,307.633.4240
Wyoming,Lincoln County,County Clerks ,Elections Office,925 Sage Avenue,Suite 101,Kemmerer,WY,83101,307.877.2027,307.877.2021,jpainter@lcwy.org,307.877.3101
Wyoming,Natrona County,County Clerks ,Elections Office,200 North Center Street,,Casper,WY,82601-0863,307.235.9217,,elections@natronacounty-wy.gov,307.235.9367
Wyoming,Niobrara County,County Clerks ,Elections Office,424 S Elm St,,Lusk,WY,82225-0420,307.334.2211,,bfreeman@niobraracounty.org,307.334.3013
Wyoming,Park County,County Clerks ,Elections Office,1002 Sheridan,,Cody,WY,82414-3589,307.527.8620,,voterinfo@parkcounty.us,307.527.8626
Wyoming,Platte County,County Clerks ,Elections Office,800 9th St,,Wheatland,WY,82201-0728,307.322.2315,,pcelection@plattecountywyoming.com,307.322.2245
Wyoming,Sheridan County,County Clerks ,Elections Office,224 South Main Street,Suite B-17,Sheridan,WY,82801,307.674.2515,,elections@sheridancounty.com,307.674.2909
Wyoming,Sublette County,County Clerks ,Elections Office,21 S. Tyler,,Pinedale,WY,82941-0250,307.367.4372,,Carrie.Long@sublettewyo.com,307.367.6396
Wyoming,Sweetwater County,County Clerks ,Elections Office,80 West Flaming Gorge Way,Suite 155,Green River,WY,82935,307.872.3733,,elections@sweet.wy.us,307.872.3994
Wyoming,Teton County,County Clerks ,Elections Office,200 S Willow St,,Jackson,WY,83001-1727,307.733.4430,,elections@tetoncountywy.gov,307.739.8681
Wyoming,Uinta County,County Clerks ,Elections Office,225 9th St,,Evanston,WY,82931,307.783.0306,,kigoble@uintacounty.com,307.783.0376
Wyoming,Washakie County,County Clerks ,Elections Office,1001 Big Horn Avenue,,Worland,WY,82401,307.347.3131,,clerk@washakiecounty.net,307.347.9366
Wyoming,Weston County,County Clerks ,Elections Office,1 West Main,,Newcastle,WY,82701,307.746.4744,,clerk@westongov.com,307.746.9505
